id,name,code,binning project,project group,taxonomy,description,bin length,GC%,coverage,# contigs,# features,longest contig,RP Inventory (total: 55),RP multiple,BSCG Inventory (total: 51),BSCG multiple,ASCG Inventory (total: 38),ASCG multiple,curation status,completion status
461296,A1-16-all-fractions_conc_68,wsip-metawrap-drep-bins_Arthrobacter_phenanthrenivorans_65_3,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Arthrobacter phenanthrenivorans, Arthrobacter, Micrococcales, Actinobacteria, Actinobacteria, Bacteria",,4714014,65.3,3.3,812,5106,61631,47,3,49,7,13,2,Uncurated genome,near complete
461297,A1-16-all-fractions_metab_conc_72,wsip-metawrap-drep-bins_Actinobacteria_69_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Actinobacteria, Actinobacteria, Bacteria",,2388919,69.36,1.67,297,2780,40335,41,3,46,5,11,1,Uncurated genome,near complete
461298,A1-16-all-fractions_metab_conc_76,wsip-metawrap-drep-bins_Deltaproteobacteria_68_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Deltaproteobacteria, Proteobacteria, Bacteria",,3922472,68.06,1.15,105,3720,191127,27,0,27,3,12,0,Uncurated genome,partial
461299,A1-16-all-fractions_metab_conc_86,wsip-metawrap-drep-bins_Bacteria_72_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,Bacteria,,4791616,72.04,1.11,201,4991,86906,49,1,50,2,14,1,Uncurated genome,near complete
461300,A1-16-all-fractions_metab_conc_89,wsip-metawrap-drep-bins_Catenulispora_acidiphila_71_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Catenulispora acidiphila, Catenulispora, Catenulisporales, Actinobacteria, Actinobacteria, Bacteria",,6365638,71.37,1.55,849,6191,40672,34,1,38,4,11,1,Uncurated genome,partial
461301,A1-16-all-fractions_metab_91,wsip-metawrap-drep-bins_Actinobacteria_71_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Actinobacteria, Actinobacteria, Bacteria",,8156144,71.35,1.69,1995,9300,22865,30,7,33,13,14,6,Uncurated genome,partial
461302,A1-16-all-fractions_metab_conc_99,wsip-metawrap-drep-bins_Micromonosporales_71_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Micromonosporales, Actinobacteria, Actinobacteria, Bacteria",,4547789,71.42,1.98,279,4497,74369,44,0,43,3,13,1,Uncurated genome,near complete
461303,A1-18-all-fractions_metab_maxbC_14,wsip-metawrap-drep-bins_Bdellovibrionales_51_4,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Bdellovibrionales, Bdellovibrio, Bacteria",,4215251,50.96,4.41,74,4068,521090,49,1,50,0,10,1,Uncurated genome,near complete
461304,A1-18-all-fractions_metab_conc_18,wsip-metawrap-drep-bins_Caulobacterales_70_4,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Caulobacterales, Alphaproteobacteria, Proteobacteria, Bacteria",,3579377,69.96,4.1,491,3950,84946,52,3,51,2,11,1,Uncurated genome,near complete
461305,A1-18-all-fractions_metab_22,wsip-metawrap-drep-bins_Betaproteobacteria_63_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Betaproteobacteria, Proteobacteria, Bacteria",,3473589,62.96,1.21,1116,4062,12074,36,4,42,7,11,0,Uncurated genome,near complete
461306,A1-18-all-fractions_conc_32,wsip-metawrap-drep-bins_Bacteria_67_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,Bacteria,,5733532,66.58,2.47,1199,6263,21031,39,2,40,4,12,0,Uncurated genome,partial
461307,A1-18-all-fractions_metab_conc_35,wsip-metawrap-drep-bins_Caulobacterales_71_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Caulobacterales, Alphaproteobacteria, Proteobacteria, Bacteria",,3403305,70.99,2.15,547,3875,27784,38,0,40,2,12,1,Uncurated genome,partial
461308,A1-18-all-fractions_metab_conc_4,wsip-metawrap-drep-bins_Deltaproteobacteria_68_4,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Deltaproteobacteria, Proteobacteria, Bacteria",,5202567,68.38,4.4,181,4982,113115,52,7,51,9,12,0,Uncurated genome,near complete
461309,A1-18-all-fractions_metab_41,wsip-metawrap-drep-bins_Solirubrobacterales_74_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Solirubrobacterales, Thermoleophilia, Actinobacteria, Bacteria",,2390617,73.67,2.48,678,2948,17861,36,4,39,8,11,2,Uncurated genome,partial
461310,A1-18-all-fractions_metab_conc_42,wsip-metawrap-drep-bins_Sphingomonadales_61_3,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Sphingomonadales, Alphaproteobacteria, Proteobacteria, Bacteria",,2980871,60.57,2.93,274,3201,55530,36,4,37,1,12,1,Uncurated genome,partial
461311,A1-18-all-fractions_metab_conc_44,wsip-metawrap-drep-bins_Alphaproteobacteria_65_3,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Alphaproteobacteria, Proteobacteria, Bacteria",,5063428,64.54,3.27,125,4800,147901,51,1,51,0,11,0,Uncurated genome,near complete
461312,A1-18-all-fractions_conc_50,wsip-metawrap-drep-bins_Burkholderia_graminis_63_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Burkholderia graminis, Burkholderia, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria",,5546311,63.28,2.03,2092,6474,11079,41,6,44,10,12,3,Uncurated genome,near complete
461313,A1-18-all-fractions_metab_conc_51,wsip-metawrap-drep-bins_Gemmatimonadetes_62_3,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Gemmatimonadetes, Bacteria",,2590589,61.79,2.89,717,2950,14218,45,4,45,6,9,1,Uncurated genome,near complete
461314,A1-18-all-fractions_metab_conc_57,wsip-metawrap-drep-bins_Sphingomonadales_65_4,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Sphingomonadales, Alphaproteobacteria, Proteobacteria, Bacteria",,2782643,64.88,4.39,162,2913,111913,49,3,49,2,11,0,Uncurated genome,near complete
461315,A1-18-all-fractions_conc_60,wsip-metawrap-drep-bins_Alphaproteobacteria_66_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Alphaproteobacteria, Proteobacteria, Bacteria",,2879913,65.88,2.04,899,3475,13234,42,0,47,4,7,1,Uncurated genome,near complete
461316,A1-18-all-fractions_metab_conc_64,wsip-metawrap-drep-bins_Burkholderiales_71_4,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria",,5886940,70.76,3.98,1025,5990,44527,20,4,21,8,7,3,Uncurated genome,partial
461317,A1-18-all-fractions_metab_conc_65,wsip-metawrap-drep-bins_Rhizobiales_63_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Rhizobiales, Alphaproteobacteria, Proteobacteria, Bacteria",,3297799,62.67,1.25,706,3909,24102,50,2,51,3,10,1,Uncurated genome,near complete
461318,A1-18-all-fractions_metab_conc_67,wsip-metawrap-drep-bins_Propionibacteriales_68_3,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Propionibacteriales, Actinobacteria, Actinobacteria, Bacteria",,3216090,67.68,2.59,237,3321,54460,50,2,49,4,14,1,Uncurated genome,near complete
461319,A1-18-all-fractions_metab_conc_68,wsip-metawrap-drep-bins_Amycolatopsis_69_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Amycolatopsis, Pseudonocardiales, Actinobacteria, Actinobacteria, Bacteria",,7603314,69.07,1.4,1115,7789,39179,36,1,36,7,12,5,Uncurated genome,partial
461320,A1-18-all-fractions_metab_conc_9,wsip-metawrap-drep-bins_Rhizobiales_62_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Rhizobiales, Alphaproteobacteria, Proteobacteria, Bacteria",,3024080,62.19,1.2,155,3059,76556,39,1,42,1,8,2,Uncurated genome,near complete
461321,A2-16-all-fractions_metab_conc_100,wsip-metawrap-drep-bins_Sphingomonadales_65_5,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Sphingomonadales, Alphaproteobacteria, Proteobacteria, Bacteria",,2458447,64.9,5.24,129,2600,125942,51,1,51,2,13,0,Uncurated genome,near complete
461322,A2-16-all-fractions_metab_conc_113,wsip-metawrap-drep-bins_Actinobacteria_70_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Actinobacteria, Actinobacteria, Bacteria",,3433275,70.36,1.68,145,3459,118509,30,9,31,12,11,2,Uncurated genome,partial
461323,A2-16-all-fractions_metab_conc_14,wsip-metawrap-drep-bins_Burkholderiales_69_5,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria",,6200158,69.02,5.15,980,6360,50845,21,3,22,6,10,2,Uncurated genome,partial
461324,A2-16-all-fractions_metab_conc_2,wsip-metawrap-drep-bins_Sphingomonadales_61_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Sphingomonadales, Alphaproteobacteria, Proteobacteria, Bacteria",,1951083,60.71,1.36,181,2069,33899,25,0,26,1,10,0,Uncurated genome,partial
461325,A2-16-all-fractions_metab_22,wsip-metawrap-drep-bins_Alphaproteobacteria_65_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Alphaproteobacteria, Proteobacteria, Bacteria",,3702604,65.23,1.11,868,4194,31899,41,11,41,12,13,4,Uncurated genome,megabin
461326,A2-16-all-fractions_metab_conc_27,wsip-metawrap-drep-bins_Massilia_sp__JS1662_67_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Massilia sp. JS1662, Massilia, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria",,5743775,66.85,2.34,953,5734,51469,32,4,35,7,9,3,Uncurated genome,partial
461327,A2-16-all-fractions_metab_conc_31,wsip-metawrap-drep-bins_Deltaproteobacteria_69_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Deltaproteobacteria, Proteobacteria, Bacteria",,3835569,69.01,1.77,193,3713,73599,21,0,27,3,10,1,Uncurated genome,partial
461328,A2-16-all-fractions_metab_conc_41,wsip-metawrap-drep-bins_Actinobacteria_70_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Actinobacteria, Actinobacteria, Bacteria",,3093389,69.79,1.16,383,3314,40648,26,2,31,3,9,1,Uncurated genome,partial
461329,A2-16-all-fractions_metab_conc_44,wsip-metawrap-drep-bins_Burkholderia_graminis_63_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Burkholderia graminis, Burkholderia, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria",,6750721,63.28,1.91,564,6388,129653,20,2,23,2,12,1,Uncurated genome,partial
461330,A2-16-all-fractions_metab_conc_58,wsip-metawrap-drep-bins_Gemmatimonadetes_61_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Gemmatimonadetes, Bacteria",,2516938,60.86,1.38,313,2579,37523,45,1,43,2,11,2,Uncurated genome,near complete
461331,A2-16-all-fractions_metab_conc_59,wsip-metawrap-drep-bins_Bacteria_67_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,Bacteria,,4696797,66.58,1.03,913,5041,18220,35,1,39,4,11,2,Uncurated genome,partial
461332,A2-16-all-fractions_metab_63,wsip-metawrap-drep-bins_Cystobacter_violaceus_70_3,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Cystobacter violaceus, Cystobacter, Myxococcales, Deltaproteobacteria, Proteobacteria, Bacteria",,8532069,69.94,2.59,548,7441,125389,52,1,51,4,14,2,Uncurated genome,near complete
461333,A2-16-all-fractions_metab_conc_68,wsip-metawrap-drep-bins_Bacteria_66_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,Bacteria,,2091470,65.81,2.49,128,2213,66493,41,0,43,0,8,0,Uncurated genome,near complete
461334,A2-16-all-fractions_metab_conc_7,wsip-metawrap-drep-bins_Actinobacteria_71_4,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Actinobacteria, Actinobacteria, Bacteria",,6562770,71.49,4.44,1333,7228,23777,44,3,45,8,13,4,Uncurated genome,near complete
461335,A2-16-all-fractions_metab_conc_73,wsip-metawrap-drep-bins_Actinobacteria_72_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Actinobacteria, Actinobacteria, Bacteria",,4479102,71.83,1.73,500,4691,48909,38,2,46,4,12,0,Uncurated genome,near complete
461336,A2-16-all-fractions_metab_74,wsip-metawrap-drep-bins_Actinobacteria_73_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Actinobacteria, Actinobacteria, Bacteria",,4587838,72.86,2.13,809,5302,37190,30,4,34,7,11,3,Uncurated genome,partial
461337,A2-16-all-fractions_metab_conc_89,wsip-metawrap-drep-bins_Alphaproteobacteria_64_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Alphaproteobacteria, Proteobacteria, Bacteria",,5177889,63.98,1.6,330,5144,97343,27,2,28,3,11,2,Uncurated genome,partial
461338,A2-16-all-fractions_metab_maxb_93,wsip-metawrap-drep-bins_Betaproteobacteria_63_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Betaproteobacteria, Proteobacteria, Bacteria",,3658138,62.94,1.32,441,3738,52849,43,0,48,2,12,1,Uncurated genome,near complete
461339,A2-16-all-fractions_metab_conc_99,wsip-metawrap-drep-bins_Acidobacteriales_58_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Acidobacteriales, Acidobacteriia, Acidobacteria, Bacteria",,5194328,58.19,1.78,753,4952,41948,33,2,30,1,9,1,Uncurated genome,partial
461340,A2-18-all-fractions_metab_maxb_102,wsip-metawrap-drep-bins_Actinobacteria_69_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Actinobacteria, Actinobacteria, Bacteria",,1542696,68.71,0.83,282,1862,22048,48,2,50,6,11,3,Uncurated genome,near complete
461341,A2-18-all-fractions_metab_107,wsip-metawrap-drep-bins_Actinobacteria_69_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Actinobacteria, Actinobacteria, Bacteria",,2785108,68.74,0.89,159,2923,108532,41,1,43,4,13,2,Uncurated genome,near complete
461342,A2-18-all-fractions_metab_conc_111,wsip-metawrap-drep-bins_Actinobacteria_70_3,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Actinobacteria, Actinobacteria, Bacteria",,3101822,69.55,2.73,146,3273,93904,15,1,18,2,10,3,Uncurated genome,partial
461343,A2-18-all-fractions_metab_112,wsip-metawrap-drep-bins_Solirubrobacterales_74_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Solirubrobacterales, Thermoleophilia, Actinobacteria, Bacteria",,2700415,73.76,1.83,664,3317,18734,46,3,48,8,13,1,Uncurated genome,near complete
461344,A2-18-all-fractions_metab_conc_121,wsip-metawrap-drep-bins_Actinobacteria_67_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Actinobacteria, Actinobacteria, Bacteria",,3490494,67.21,0.72,655,4036,26640,34,1,38,3,9,2,Uncurated genome,partial
461345,A2-18-all-fractions_metab_conc_122,wsip-metawrap-drep-bins_Actinobacteria_71_6,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Actinobacteria, Actinobacteria, Bacteria",,6214547,71.43,5.78,1413,6994,26108,43,10,48,13,11,3,Uncurated genome,megabin
461346,A2-18-all-fractions_conc_14,wsip-metawrap-drep-bins_Deltaproteobacteria_69_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Deltaproteobacteria, Proteobacteria, Bacteria",,8228005,69,1.19,193,7405,323421,51,2,51,4,11,1,Uncurated genome,near complete
461347,A2-18-all-fractions_metab_conc_20,wsip-metawrap-drep-bins_Bacteria_69_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,Bacteria,,2074500,69.06,1.35,288,2382,33055,25,0,26,2,8,2,Uncurated genome,partial
461348,A2-18-all-fractions_metab_maxbC_23,wsip-metawrap-drep-bins_Bacteria_65_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,Bacteria,,4108933,65.1,2.26,393,4033,39653,46,0,45,5,14,2,Uncurated genome,near complete
461349,A2-18-all-fractions_metab_conc_29,wsip-metawrap-drep-bins_Bacteria_69_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,Bacteria,,5979491,69.04,1.61,322,6026,118962,47,0,49,3,14,2,Uncurated genome,near complete
461350,A2-18-all-fractions_metab_conc_33,wsip-metawrap-drep-bins_Actinobacteria_68_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Actinobacteria, Actinobacteria, Bacteria",,3303269,67.95,1.17,186,3382,54983,38,0,41,0,13,1,Uncurated genome,near complete
461351,A2-18-all-fractions_metab_conc_34,wsip-metawrap-drep-bins_Bacteria_65_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,Bacteria,,3364632,64.88,1.01,179,3570,298756,47,7,50,9,13,3,Uncurated genome,near complete
461352,A2-18-all-fractions_metab_conc_49,wsip-metawrap-drep-bins_Actinobacteria_68_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Actinobacteria, Actinobacteria, Bacteria",,4246576,67.58,0.9,223,4434,95902,48,0,50,3,12,1,Uncurated genome,near complete
461353,A2-18-all-fractions_metab_51,wsip-metawrap-drep-bins_Geodermatophilales_72_3,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Geodermatophilales, Actinobacteria, Actinobacteria, Bacteria",,4833049,72.39,3.35,831,5192,41005,22,3,22,4,10,3,Uncurated genome,partial
461354,A2-18-all-fractions_metab_54,wsip-metawrap-drep-bins_Actinobacteria_72_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Actinobacteria, Actinobacteria, Bacteria",,4145935,71.8,1.43,366,4399,83759,33,4,36,5,12,0,Uncurated genome,partial
461355,A2-18-all-fractions_metab_conc_61,wsip-metawrap-drep-bins_Gemmatimonadetes_63_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Gemmatimonadetes, Bacteria",,5014351,63.17,1.63,316,4664,99417,49,5,47,4,14,1,Uncurated genome,near complete
461356,A2-18-all-fractions_metab_conc_68,wsip-metawrap-drep-bins_Actinobacteria_70_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Actinobacteria, Actinobacteria, Bacteria",,3779428,69.54,1.5,155,4004,159349,27,2,31,5,10,2,Uncurated genome,partial
461357,A2-18-all-fractions_metab_conc_69,wsip-metawrap-drep-bins_Actinobacteria_69_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Actinobacteria, Actinobacteria, Bacteria",,2827530,68.7,1.39,135,3052,67012,23,2,23,1,11,3,Uncurated genome,partial
461358,A2-18-all-fractions_conc_77,wsip-metawrap-drep-bins_Actinobacteria_72_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Actinobacteria, Actinobacteria, Bacteria",,5416081,71.5,1.76,782,5791,65363,32,3,38,1,12,2,Uncurated genome,partial
461359,A2-18-all-fractions_metab_conc_82,wsip-metawrap-drep-bins_Actinobacteria_72_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Actinobacteria, Actinobacteria, Bacteria",,3564550,71.8,2.38,175,3752,109476,39,0,42,1,12,2,Uncurated genome,near complete
461360,A2-18-all-fractions_metab_conc_83,wsip-metawrap-drep-bins_Gemmatimonadetes_61_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Gemmatimonadetes, Bacteria",,2702507,60.83,1.68,353,2758,38931,37,0,30,1,10,1,Uncurated genome,partial
461361,A2-18-all-fractions_metab_conc_89,wsip-metawrap-drep-bins_Actinobacteria_70_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Actinobacteria, Actinobacteria, Bacteria",,3257068,69.56,1.71,256,3328,97816,35,0,40,0,11,0,Uncurated genome,partial
461362,A2-18-all-fractions_metab_90,wsip-metawrap-drep-bins_Elusimicrobia_70_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Elusimicrobia, Elusimicrobia, Bacteria",,3370750,70.05,0.89,666,3674,24661,50,1,49,1,13,0,Uncurated genome,near complete
461363,A2-18-all-fractions_metab_maxb_92,wsip-metawrap-drep-bins_Betaproteobacteria_63_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Betaproteobacteria, Proteobacteria, Bacteria",,3632998,63.12,1.49,550,3809,32850,41,0,44,3,10,0,Uncurated genome,near complete
461364,A2-18-all-fractions_metab_conc_94,wsip-metawrap-drep-bins_Bacteria_70_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,Bacteria,,2603686,69.79,1.21,130,2830,80315,49,1,49,4,13,1,Uncurated genome,near complete
461365,A2-18-all-fractions_metab_conc_98,wsip-metawrap-drep-bins_Gemmatimonadetes_69_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Gemmatimonadetes, Bacteria",,5091287,68.55,2.23,598,4880,71509,21,0,24,3,11,1,Uncurated genome,partial
461366,A3-16-all-fractions_metab_10,wsip-metawrap-drep-bins_Solirubrobacterales_71_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Solirubrobacterales, Thermoleophilia, Actinobacteria, Bacteria",,2765567,70.72,1.46,624,3135,21685,33,5,36,5,7,4,Uncurated genome,partial
461367,A3-16-all-fractions_conc_105,wsip-metawrap-drep-bins_Gemmatimonadetes_64_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Gemmatimonadetes, Bacteria",,5580570,64.37,1.3,320,5215,136343,42,2,44,1,12,0,Uncurated genome,near complete
461368,A3-16-all-fractions_metab_107,wsip-metawrap-drep-bins_Actinobacteria_69_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Actinobacteria, Actinobacteria, Bacteria",,2270386,68.79,1.58,366,2679,43135,44,9,44,12,12,6,Uncurated genome,megabin
461369,A3-16-all-fractions_metab_conc_15,wsip-metawrap-drep-bins_Massilia_sp__JS1662_66_3,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Massilia sp. JS1662, Massilia, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria",,6448865,66.02,2.66,265,5640,140335,23,0,22,2,8,3,Uncurated genome,partial
461370,A3-16-all-fractions_metab_17,wsip-metawrap-drep-bins_Actinobacteria_70_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Actinobacteria, Actinobacteria, Bacteria",,3416088,69.66,1.14,459,3511,71999,23,3,25,3,9,1,Uncurated genome,partial
461371,A3-16-all-fractions_metab_20,wsip-metawrap-drep-bins_Actinobacteria_73_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Actinobacteria, Actinobacteria, Bacteria",,4634452,72.87,1.69,807,5485,33151,28,9,28,7,11,4,Uncurated genome,partial
461372,A3-16-all-fractions_metab_conc_22,wsip-metawrap-drep-bins_Actinobacteria_72_3,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Actinobacteria, Actinobacteria, Bacteria",,4231846,71.93,2.77,562,4488,38188,28,2,33,4,10,2,Uncurated genome,partial
461373,A3-16-all-fractions_metab_conc_44,wsip-metawrap-drep-bins_Actinobacteria_69_3,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Actinobacteria, Actinobacteria, Bacteria",,3630224,69.38,2.92,249,3906,77778,34,1,37,3,12,2,Uncurated genome,partial
461374,A3-16-all-fractions_metab_46,wsip-metawrap-drep-bins_Actinobacteria_69_3,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Actinobacteria, Actinobacteria, Bacteria",,2936614,69.01,3.31,576,3513,30350,39,27,43,29,8,3,Uncurated genome,megabin
