id,Resource Acquisition:Substrate uptake:aromatic acid transport,Resource Acquisition:Substrate uptake:biopolymer transport,Resource Acquisition:Substrate uptake:carbohydrate transport,Resource Acquisition:Substrate uptake:carboxylate transport,Resource Acquisition:Substrate uptake:free amino acids transport,Resource Acquisition:Substrate uptake:ion transport,Resource Acquisition:Substrate uptake:lipid transport,Resource Acquisition:Substrate uptake:N compound transport,Resource Acquisition:Substrate uptake:nucleic acid component transport,Resource Acquisition:Substrate uptake:organophosphorus transport,Resource Acquisition:Substrate uptake:osmolyte transport,Resource Acquisition:Substrate uptake:other transport,Resource Acquisition:Substrate uptake:peptide transport,Resource Acquisition:Substrate uptake:S compound transport,Resource Acquisition:Substrate uptake:secondary metabolite transport,Resource Acquisition:Substrate uptake:vitamin transport,Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization,Resource Acquisition:Substrate degradation:simple compound degradation,Resource Acquisition:Substrate assimilation:C1 compounds,Resource Acquisition:Substrate assimilation:N compounds,Resource Acquisition:Substrate assimilation:S compounds,Resource Acquisition:Substrate assimilation:P compounds,Resource Use:Chemotrophy:chemoorganoheterotrophy:fermentation,Resource Use:Chemotrophy:chemoorganoheterotrophy:aerobic respiration,Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration,Resource Use:Chemotrophy:chemolithoautotrophy,Resource Use:Phototrophy:photosystem,Resource Use:Phototrophy:pigments:core,Resource Use:Phototrophy:pigments:accessory,Stress Tolerance:General,Stress Tolerance:Specific:temperature:high,Stress Tolerance:Specific:temperature:low,Stress Tolerance:Specific:desiccation/osmotic/salt stress,Stress Tolerance:Specific:pH stress,Stress Tolerance:Specific:oxidative stress,Stress Tolerance:Specific:oxygen limitation,§§,mingentime,ogt,bin length
H1-16-all-fractions_metab_conc_6,0,3,5,4,7,8,2,1,2,2,1,0,1,1,0,2,19,36,2,3,0,0,1,3,0,0,0,0,0,10,8,6,7,6,1,0,1,8.651096908,35.95296649,7516630
H1-16-all-fractions_metab_conc_65,0,2,5,2,3,6,1,1,2,1,0,0,1,1,1,2,31,37,3,3,1,1,3,3,1,2,0,0,0,10,8,3,5,8,1,0,3,11.422852,35.24608878,7136862
H1-16-all-fractions_metab_conc_68,0,0,16,5,5,10,1,2,2,4,0,0,0,0,0,3,27,30,3,2,0,1,2,4,0,0,0,0,0,9,8,2,2,6,1,0,1,14.029076,36.08976953,6314257
H1-16-all-fractions_metab_74,0,3,1,1,3,5,2,1,2,0,0,0,1,0,1,1,13,22,3,2,0,0,0,1,0,0,0,0,0,9,7,2,4,6,1,0,1,5.271567626,32.26154929,2545672
H1-16-all-fractions_conc_93,0,0,8,4,3,12,1,1,3,3,0,0,1,0,0,2,28,35,4,2,1,1,1,3,0,0,0,0,2,11,8,1,6,7,2,0,1,18.04626651,34.75062436,7976920
H1-16-all-fractions_metab_conc_94,1,0,4,2,5,11,2,2,1,1,0,0,0,2,1,2,9,24,2,3,1,0,1,3,0,0,0,0,0,8,6,4,5,4,3,1,1,3.118811965,31.22266765,4129197
H1-16-all-fractions_metab_conc_99,0,3,8,3,8,11,3,3,2,4,1,0,0,1,0,3,18,28,3,3,0,1,1,5,0,1,0,0,0,12,8,4,6,6,4,1,0,19.08184402,33.57976016,5962518
H1-18-all-fractions_metab_conc_10,0,0,1,1,3,6,2,1,0,1,0,0,0,1,1,0,19,27,1,3,1,0,1,4,0,1,0,0,0,10,8,2,5,5,3,1,0,6.021960801,37.31259772,3593456
H1-18-all-fractions_metab_maxb_101,0,0,13,2,3,13,1,1,0,2,1,0,1,0,0,1,21,28,2,3,0,0,0,1,0,0,0,0,0,8,7,2,4,4,1,0,1,24.72529222,42.41318128,5050636
H1-18-all-fractions_metab_conc_103,0,2,1,0,2,5,1,2,1,0,0,0,1,0,0,1,15,28,3,2,0,1,1,3,0,0,0,0,0,8,5,2,4,4,2,0,1,5.26297304,34.50336903,2194343
H1-18-all-fractions_metab_conc_105,0,3,2,2,2,4,1,1,2,2,0,0,0,0,0,1,26,29,1,4,0,0,1,1,0,0,0,0,0,11,8,3,3,3,2,0,1,15.6106122,32.33740861,3973080
H1-18-all-fractions_conc_108,0,3,5,3,5,8,2,1,2,2,1,0,1,1,0,2,19,35,2,3,0,0,1,3,0,0,1,0,0,10,7,5,7,5,2,0,1,11.8458446,36.64212931,6933267
H1-18-all-fractions_conc_118,0,3,4,2,8,9,2,3,0,1,1,0,1,1,0,2,20,29,2,3,0,0,1,2,0,0,0,0,0,11,8,4,5,7,3,1,1,4.001467519,37.30969025,4813784
H1-18-all-fractions_conc_122,0,0,7,3,3,15,1,1,0,1,1,0,0,1,0,1,19,22,1,2,0,0,1,3,1,0,0,0,0,6,5,2,5,5,2,1,0,6.405431167,34.77191717,4667634
H1-18-all-fractions_conc_125,0,0,18,7,8,13,2,2,3,1,2,0,2,0,1,2,39,42,2,4,1,1,1,3,0,0,0,0,4,8,7,3,4,7,2,1,1,4.727727783,29.84101549,10371010
H1-18-all-fractions_metab_conc_14,0,0,8,4,2,7,2,1,0,1,1,0,0,1,1,1,23,22,3,2,0,1,0,4,0,0,0,0,0,10,8,3,4,5,2,0,1,7.023739736,35.23069032,4276527
H1-18-all-fractions_metab_conc_17,0,2,2,1,6,7,1,0,0,2,0,0,1,0,0,1,19,26,1,3,1,0,0,2,0,0,0,0,0,8,6,2,3,4,1,0,0,21.98355354,35.69398278,3411861
H1-18-all-fractions_metab_conc_19,1,3,6,2,5,5,2,3,0,2,1,0,0,1,0,3,14,27,3,3,1,0,0,2,1,1,0,0,0,7,5,2,4,6,3,1,0,10.29552293,36.89678265,2604427
H1-18-all-fractions_metab_conc_2,1,3,23,10,23,16,7,7,6,2,2,1,4,2,1,5,15,38,6,2,1,0,1,6,2,2,0,0,0,11,8,3,9,8,4,1,1,1.788480965,28.90775241,6080508
H1-18-all-fractions_metab_conc_20,0,2,8,1,2,7,2,1,2,1,0,0,1,0,0,3,18,32,1,3,0,1,1,3,0,0,0,0,0,10,7,2,5,6,1,0,0,15.59378121,31.84777622,3502274
H1-18-all-fractions_metab_maxbC_21,0,2,1,1,1,4,2,1,1,1,0,0,0,0,0,2,10,20,1,3,0,0,1,0,0,0,0,0,0,8,6,2,3,2,0,0,0,12.85630405,36.22456546,2052034
H1-18-all-fractions_metab_conc_22,0,2,2,2,4,7,2,0,2,0,0,0,1,0,0,3,16,27,2,3,1,1,0,2,0,0,0,0,0,8,6,1,4,4,1,0,0,14.35227192,35.25319678,2680896
H1-18-all-fractions_metab_conc_23,0,0,7,1,3,9,0,1,0,1,0,0,1,0,0,3,14,19,2,3,0,0,0,3,1,0,0,0,0,7,8,2,2,3,0,0,0,5.25390499,34.12645839,2606019
H1-18-all-fractions_conc_24,0,3,8,4,5,9,3,2,1,2,1,0,1,0,1,3,19,36,3,2,0,0,1,2,0,0,0,0,0,8,7,3,3,6,1,0,1,4.437995665,33.88511687,4253190
H1-18-all-fractions_metab_conc_27,1,0,4,2,5,12,2,2,1,1,0,0,0,2,1,2,9,25,1,2,1,0,1,2,0,0,0,0,0,8,6,4,4,4,3,1,1,2.276947043,32.02265878,3916357
H1-18-all-fractions_metab_maxb_28,0,0,10,5,5,9,0,1,2,1,1,0,0,1,1,0,17,29,3,3,0,1,0,4,0,0,0,0,4,7,8,3,6,5,1,1,1,6.233056462,40.91335492,3823048
H1-18-all-fractions_conc_3,0,3,3,3,5,11,1,2,2,2,1,0,1,1,0,3,12,35,5,2,0,0,0,3,1,1,0,0,0,7,7,2,5,7,1,0,1,8.33625275,33.56143226,4313864
H1-18-all-fractions_conc_32,0,2,4,0,3,8,1,1,1,2,1,0,2,0,0,1,19,31,2,2,0,0,0,1,0,1,0,0,0,6,6,2,2,5,1,0,2,3.088058833,33.89092274,2751470
H1-18-all-fractions_metab_conc_36,0,3,8,6,8,11,1,5,2,1,1,0,1,1,0,3,9,23,2,3,0,2,0,2,0,1,0,0,0,8,8,4,4,7,2,1,0,14.04808476,37.87694972,4029404
H1-18-all-fractions_metab_conc_37,0,2,6,5,4,9,3,2,0,2,1,0,1,1,1,4,26,35,2,2,1,0,0,2,0,0,0,0,0,8,6,4,5,5,1,0,1,4.772964825,33.5739424,4706290
H1-18-all-fractions_metab_conc_40,0,2,4,2,3,10,2,0,1,2,0,0,1,1,0,4,12,31,4,1,0,0,0,2,1,1,0,0,0,8,7,2,2,5,2,0,1,7.641611638,34.64606664,3148417
H1-18-all-fractions_metab_conc_44,0,2,4,0,6,6,2,1,1,2,1,0,1,0,0,1,19,31,2,2,0,0,0,3,0,1,0,0,0,8,7,2,3,5,1,0,2,4.471106442,32.88640982,2902539
H1-18-all-fractions_metab_maxb_45,0,2,5,4,3,6,2,1,0,1,0,0,1,0,0,1,28,24,1,3,1,0,0,2,0,1,0,0,0,8,6,3,4,2,1,0,0,8.53937718,31.65579288,3620094
H1-18-all-fractions_metab_conc_47,1,3,21,6,10,14,4,5,1,2,2,0,2,2,1,3,31,36,3,2,1,1,1,4,0,0,0,0,0,7,4,4,6,7,3,0,0,4.535545134,28.47768947,6407978
H1-18-all-fractions_metab_conc_5,0,3,8,1,6,8,3,3,2,4,1,0,0,1,0,3,17,27,4,2,0,0,1,4,0,1,0,0,0,12,8,4,6,6,4,1,0,17.8708691,34.4474584,5243836
H1-18-all-fractions_conc_53,0,0,15,3,4,10,1,1,0,1,2,0,1,1,0,2,29,37,3,2,0,1,1,3,1,0,0,0,3,9,8,3,5,4,1,0,1,15.22329406,34.19888199,8784585
H1-18-all-fractions_conc_55,0,3,13,7,10,15,3,3,2,2,1,0,1,2,2,4,15,39,4,2,1,1,0,7,0,0,0,0,0,10,8,5,6,7,4,1,0,0.707483235,28.21878385,4935414
H1-18-all-fractions_metab_conc_56,0,0,13,4,6,12,1,1,2,1,0,0,1,0,0,2,28,31,5,2,1,1,1,4,0,0,0,0,0,9,6,1,5,6,2,0,1,16.57048401,34.77521911,7909950
H1-18-all-fractions_metab_conc_57,0,3,1,3,6,7,1,1,1,1,0,0,0,0,0,0,14,33,2,3,1,1,1,4,1,1,0,0,0,9,8,3,5,6,1,0,3,12.57927237,29.01376208,5425631
H1-18-all-fractions_metab_conc_61,0,0,5,2,2,5,0,0,1,1,0,0,0,1,0,4,15,25,1,3,0,0,0,2,1,1,0,0,0,6,7,2,3,4,0,0,0,5.859613724,37.03462419,2433400
H1-18-all-fractions_metab_conc_62,0,3,3,3,5,7,2,2,2,1,1,0,1,1,1,2,14,31,3,2,1,1,0,6,0,0,0,0,0,11,8,4,7,6,1,0,1,5.565595628,29.63068651,3602972
H1-18-all-fractions_metab_maxbC_65,0,2,1,3,2,5,1,2,1,1,0,0,1,0,0,2,14,26,1,3,0,1,0,1,0,0,0,0,0,6,4,2,3,4,1,0,0,11.2120019,37.03398402,2279898
H1-18-all-fractions_metab_69,0,2,5,4,2,6,1,3,1,0,0,0,1,0,0,1,14,31,3,2,0,1,1,5,0,0,0,0,0,10,7,3,4,5,2,0,1,7.700285451,33.87951235,2542617
H1-18-all-fractions_metab_conc_71,0,0,4,2,3,10,0,1,1,1,0,0,0,1,0,0,11,27,1,2,0,0,0,3,0,1,0,0,0,6,6,2,0,4,1,0,0,4.73066805,43.40328919,1950784
H1-18-all-fractions_metab_conc_80,0,0,2,1,3,11,1,1,0,1,0,0,0,1,0,1,10,22,1,2,0,1,0,3,0,0,0,0,0,9,8,3,3,4,1,0,0,14.59125587,37.25359719,2429613
H1-18-all-fractions_metab_85,0,0,8,2,3,9,1,0,2,1,0,0,0,0,0,1,26,28,3,2,1,1,2,3,0,0,0,0,0,6,5,1,2,5,1,0,1,14.58193191,37.71390797,6001450
H1-18-all-fractions_metab_conc_86,0,0,6,3,1,6,1,1,0,1,1,0,0,1,0,1,13,25,1,2,0,0,0,2,0,1,0,0,0,7,6,3,3,5,1,0,1,7.031418841,35.80762942,3022353
H1-18-all-fractions_conc_96,0,0,13,5,8,11,3,2,2,1,1,0,1,1,1,2,31,40,1,3,1,0,1,2,1,1,0,0,0,9,7,3,4,8,3,1,1,5.042025073,32.14200797,5967540
H1-18-all-fractions_maxb_99,0,0,5,3,3,11,0,1,2,2,0,0,0,1,0,3,13,27,2,3,1,0,1,3,0,1,0,0,0,8,8,2,4,3,1,1,0,7.370276733,36.18409318,2851814
H2-16-all-fractions_metab_conc_1,0,2,2,3,3,5,2,1,3,1,0,0,0,0,0,3,28,30,2,2,1,0,1,3,2,1,0,0,0,8,6,2,6,6,1,0,3,15.48824282,32.99118838,4412935
H2-16-all-fractions_metab_conc_100,1,3,24,9,23,15,7,4,6,2,2,1,4,2,2,5,15,37,6,2,1,0,1,6,2,2,0,0,0,12,8,3,9,9,4,1,1,3.121002989,29.0923585,6191342
H2-16-all-fractions_metab_conc_101,1,3,10,11,5,13,5,6,4,2,1,0,1,2,1,4,13,30,5,2,1,1,2,3,0,2,0,0,4,8,6,3,5,5,2,0,0,2.192713233,30.27401542,5351632
H2-16-all-fractions_metab_conc_111,0,0,7,3,2,8,2,1,1,1,1,0,0,1,1,1,23,23,2,2,0,1,0,3,0,0,0,0,0,10,8,4,4,6,2,0,1,5.929285805,36.02930782,4067991
H2-16-all-fractions_metab_114,0,2,5,3,6,13,1,1,2,2,1,0,1,1,0,3,14,29,4,2,0,0,1,1,1,1,0,0,2,4,3,2,5,6,2,0,0,6.64767728,35.63974089,4340102
H2-16-all-fractions_metab_conc_119,0,0,14,5,7,11,3,1,1,1,0,0,0,0,0,1,38,39,3,4,1,1,1,2,0,1,0,0,4,10,8,2,6,8,2,1,1,5.039617361,35.11101725,6865070
H2-16-all-fractions_metab_12,0,2,2,2,1,4,1,0,1,0,0,0,1,1,0,0,15,27,2,2,0,0,0,2,0,0,0,0,0,9,8,2,4,4,1,0,2,13.95146648,31.52529291,2834960
H2-16-all-fractions_metab_121,0,2,4,1,3,6,1,0,1,1,0,0,0,1,0,2,25,34,2,2,0,0,1,3,1,1,0,0,0,8,6,4,4,6,1,0,3,9.09779839,33.1699411,4992368
H2-16-all-fractions_metab_123,0,0,4,3,0,6,1,0,0,1,0,0,0,0,0,1,15,25,2,2,0,1,0,3,1,1,0,0,0,5,4,3,3,1,1,0,0,10.13292711,40.88703125,2386429
H2-16-all-fractions_metab_126,0,0,7,2,5,7,1,1,3,1,0,0,0,1,0,2,21,32,2,3,1,1,1,4,0,0,0,0,4,8,7,3,5,6,2,1,1,5.553195286,32.60520138,4566868
H2-16-all-fractions_metab_conc_131,1,0,14,3,5,7,2,1,2,1,1,0,0,1,1,2,27,30,1,3,1,1,1,4,2,2,0,0,2,5,5,3,6,6,2,1,0,2.798705289,36.71951982,3555524
H2-16-all-fractions_metab_conc_137,0,2,3,3,2,5,2,2,2,1,0,0,1,0,0,1,11,28,0,3,0,1,0,1,0,0,0,0,0,8,6,2,4,4,1,0,0,9.975472738,33.76104953,2790374
H2-16-all-fractions_metab_138,0,0,1,2,2,9,1,1,0,1,0,0,0,1,0,1,10,20,1,2,0,1,1,3,0,0,0,0,0,8,7,3,3,4,1,0,0,14.29636386,38.08771338,2699576
H2-16-all-fractions_metab_conc_16,0,3,5,3,5,8,2,1,2,3,1,0,1,1,1,0,30,37,2,3,1,0,1,2,1,1,0,0,0,10,8,4,6,7,1,0,2,11.26791075,31.60804449,6104098
H2-16-all-fractions_metab_conc_17,0,3,12,6,7,11,3,2,1,2,1,0,1,1,0,3,20,31,3,3,1,1,1,5,0,0,0,0,0,11,8,4,6,8,3,1,0,19.58093342,30.1604679,4401139
H2-16-all-fractions_metab_conc_19,0,0,5,2,4,5,0,1,1,1,1,0,0,1,0,0,17,29,1,2,0,0,1,4,0,0,0,0,0,4,4,2,3,3,1,0,0,6.029493954,41.58011295,2300719
H2-16-all-fractions_maxb_conc_24,0,0,15,4,5,10,1,2,2,3,0,0,1,0,0,1,25,33,3,2,1,1,0,1,0,0,0,0,0,7,6,2,3,6,1,0,1,13.00466814,36.87147619,5457381
H2-16-all-fractions_metab_conc_25,1,3,12,8,8,11,4,4,1,2,2,0,1,1,0,3,19,31,3,2,0,0,1,3,1,0,0,0,0,5,3,3,8,4,2,0,1,7.561767852,34.44692937,4732178
H2-16-all-fractions_metab_conc_33,0,2,5,0,3,5,1,2,1,2,0,0,1,0,1,1,19,28,3,2,0,0,1,1,0,0,0,0,0,4,4,0,2,4,0,0,1,4.366105137,34.63643718,2086231
H2-16-all-fractions_metab_conc_41,0,0,8,3,4,10,0,1,2,2,1,0,0,0,1,2,17,32,2,3,0,1,0,5,0,0,0,0,4,5,6,3,6,4,0,0,1,9.394757898,41.30384155,3538615
H2-16-all-fractions_metab_conc_42,0,3,3,4,4,8,1,3,1,4,0,0,2,1,0,3,14,28,3,3,1,1,1,2,0,0,0,0,0,9,7,4,6,7,2,1,0,9.606025398,34.06235964,3913082
H2-16-all-fractions_metab_conc_43,0,3,0,1,5,7,1,0,0,2,0,0,0,0,0,0,17,31,3,3,0,1,1,3,1,1,0,0,0,9,8,3,4,5,0,0,0,8.419480659,33.37122773,3128160
H2-16-all-fractions_metab_conc_47,0,3,11,9,10,21,5,4,1,2,0,0,0,2,0,4,14,23,3,2,1,0,1,6,2,0,1,1,2,11,7,2,5,5,3,0,0,7.525626172,29.24959268,7132915
H2-16-all-fractions_metab_conc_5,0,0,22,8,14,17,3,2,3,1,3,0,2,1,0,4,40,44,1,4,1,1,1,5,0,0,0,0,8,10,8,3,8,10,3,1,1,0.311330068,27.34457802,9032007
H2-16-all-fractions_metab_conc_54,0,0,1,2,3,11,1,1,0,1,0,0,0,1,0,1,9,21,1,2,0,1,0,1,0,1,0,0,0,8,7,4,2,4,2,0,0,8.948654186,36.07298594,2222060
H2-16-all-fractions_metab_56,0,0,5,4,5,8,2,1,2,1,0,0,0,1,0,0,14,31,1,3,1,0,1,4,0,0,0,0,4,9,7,2,4,4,2,1,1,6.071742853,38.07383114,4443026
H2-16-all-fractions_metab_57,0,2,5,3,3,6,1,1,1,1,0,0,1,0,0,1,19,30,3,2,0,1,1,4,0,0,0,0,0,9,6,3,5,5,2,0,1,6.509566531,32.49160927,3255206
H2-16-all-fractions_metab_conc_60,0,3,5,1,5,6,2,4,1,2,1,0,1,2,0,1,38,28,3,4,0,0,1,2,0,0,0,0,4,10,7,3,6,8,3,1,1,9.003197691,25.40111098,5887350
H2-16-all-fractions_metab_conc_62,1,0,4,2,5,12,2,2,1,1,0,0,0,2,1,2,9,19,1,3,1,0,0,3,0,0,0,0,0,7,5,3,5,3,3,1,1,2.062976965,32.26996119,3468110
H2-16-all-fractions_metab_63_CM_curated,0,0,5,2,2,14,0,1,2,1,1,0,0,1,0,1,13,29,1,2,0,0,1,4,1,1,0,0,0,9,8,1,2,3,2,0,1,8.323333531,38.13231311,2929297
H2-16-all-fractions_metab_conc_65,0,0,0,3,3,14,1,1,0,1,0,0,0,1,0,1,20,22,1,2,0,0,1,3,0,0,0,0,0,7,6,4,4,5,2,0,0,13.03855478,32.51608551,3216359
H2-16-all-fractions_metab_conc_71,1,3,20,9,8,14,4,4,1,2,2,0,2,2,1,3,30,37,3,2,1,1,1,4,0,0,0,0,0,10,7,4,6,8,3,0,0,4.99904784,28.91811198,5388556
H2-16-all-fractions_metab_75,0,2,4,1,3,5,1,2,0,1,0,0,1,0,0,1,14,32,3,2,0,1,1,4,0,0,0,0,0,9,7,2,4,5,2,0,1,6.525038495,34.64845979,2419722
H2-16-all-fractions_metab_conc_77,0,0,1,3,1,10,1,1,0,1,0,0,0,1,0,1,15,21,1,2,0,1,1,3,0,0,0,0,0,10,8,4,3,5,2,0,1,9.579455703,39.89991305,3438692
H2-16-all-fractions_metab_conc_97,0,0,2,0,1,6,1,1,0,1,0,0,0,1,0,1,17,23,2,2,0,1,1,3,0,0,0,0,0,8,7,4,2,3,2,0,1,9.86804292,36.11444284,3157618
H2-18-all-fractions_metab_conc_15,0,2,4,0,6,7,1,1,1,0,1,0,1,0,0,0,17,26,3,2,0,0,0,1,0,1,0,0,0,7,6,2,2,6,1,0,1,5.818283159,34.20511965,2281750
H2-18-all-fractions_metab_conc_22,0,3,5,3,6,14,4,1,2,2,1,0,2,1,2,3,27,37,4,3,1,1,1,8,1,0,0,0,0,11,8,4,8,9,3,1,1,8.665774357,26.42267231,8089889
H2-18-all-fractions_metab_conc_34,0,0,5,2,3,10,0,1,1,1,1,0,0,1,0,1,16,27,1,2,0,0,1,4,1,0,0,0,0,4,3,3,4,2,1,0,1,6.224474294,39.73284012,3126968
H2-18-all-fractions_metab_36,0,0,9,8,8,13,1,2,3,1,1,0,0,0,1,4,8,26,2,2,1,0,0,3,0,0,0,0,4,7,5,4,3,5,3,1,1,1.578439745,36.69229666,3892102
H2-18-all-fractions_metab_conc_39,0,2,3,1,5,7,1,0,0,2,0,0,1,1,0,0,14,21,2,2,1,0,0,2,1,1,0,0,0,9,6,1,3,2,2,0,1,13.5182173,39.55175249,5371659
H2-18-all-fractions_metab_conc_45,0,2,9,1,2,6,3,1,0,2,0,0,1,0,0,1,9,27,0,3,1,1,0,0,0,0,0,0,0,5,3,2,3,5,0,0,0,10.41409465,34.59747997,2391659
H2-18-all-fractions_metab_49,0,2,2,2,9,7,1,1,1,2,0,0,1,0,0,1,16,30,0,2,0,1,0,1,0,0,0,0,0,7,6,2,5,5,0,0,0,27.05920319,36.81949598,3234460
H2-18-all-fractions_metab_conc_56,0,3,4,4,3,6,2,1,2,1,0,0,0,0,1,1,28,35,2,3,0,0,2,4,0,0,0,0,2,10,8,2,4,6,2,0,1,10.49178043,27.12998544,7032272
H2-18-all-fractions_metab_conc_57,0,2,4,2,4,5,3,2,2,3,1,0,1,0,0,2,35,33,1,3,1,0,1,3,0,1,0,0,0,9,7,3,5,5,1,0,0,8.179614222,30.15489632,5480678
H2-18-all-fractions_metab_conc_62,0,0,4,4,3,10,1,1,0,0,0,0,0,1,0,1,22,24,2,2,0,0,1,2,0,1,0,0,0,8,6,5,3,5,2,0,1,5.512136087,30.31313787,4197783
H2-18-all-fractions_metab_63,0,3,11,9,8,13,4,6,3,1,1,0,1,1,1,3,20,44,4,2,1,1,1,7,0,0,0,0,0,11,8,4,6,6,4,1,1,2.298736609,30.16455424,5547559
H2-18-all-fractions_metab_conc_74,0,3,11,6,9,12,1,6,1,2,1,0,0,2,1,3,13,31,5,3,0,1,2,3,0,0,0,0,0,11,8,3,6,9,3,1,0,7.817368426,29.553047,5461542
H2-18-all-fractions_metab_maxbC_80,0,2,2,1,2,4,2,1,1,2,0,0,0,0,0,2,11,23,1,2,0,1,1,2,0,0,0,0,0,7,5,2,3,5,1,0,1,15.26593264,36.00827451,2456941
H2-18-all-fractions_metab_conc_82,0,0,9,0,4,5,0,1,1,1,1,0,0,1,1,1,11,27,1,2,0,0,0,3,0,0,0,0,0,7,8,2,1,3,1,0,1,6.351432199,42.07642073,2533234
