me,code,taxonomy,description,bin.length,GC,prop.gc,coverage,num.contigs,num.features,longest.contig,RP.Inventory.max.55,RP.multiple,BSCG.Inventory.max.51,BSCG.multiple,ASCG.Inventory.max.38,ASCG.multiple,curation.status,completion.status,domain,phylum,class,order,genus,species,misc,drep.filt,drep.set,drep.prim.clust,drep.sec.clust,R1.16,R1.18,R2.16,R2.18,R3.16,R3.18,mean.16,mean.18,afe.mean,afe.median,lower.ci,upper.ci,ci.range,phylum.afe.order,site,sample,cov,rel.abund,gtdb.domain,gtdb.phylum,gtdb.class,gtdb.order,gtdb.family,gtdb.genus,gtdb.species
A1-16-all-fractions_metab_conc_72,A1-16-all-fractions_Actinobacteria_69_12,"Actinobacteria, Actinobacteria, Bacteria",NA,2388919,69.36,0.6936,12.36,297,2783,40335,40,3,46,5,11,1,Uncurated genome,near complete,Bacteria,Actinobacteria,Actinobacteria,unknown,unknown,unknown,unknown,1,1,120,120_1,1.7354606,1.735944762,1.734902038,1.733825188,1.734698083,1.732659475,1.73502024,1.734143142,-0.012714625,-0.012867625,-0.029913305,0.00710118,0.037014485,134,A,A1-16,0.810254697,0.008803654,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__20CM-4-69-9,f__20CM-4-69-9,g__3-1-20CM-4-69-9,s__
A2-16-all-fractions_metab_conc_68,A2-16-all-fractions_Bacteria_66_15,Bacteria,NA,2091470,65.81,0.6581,14.61,128,2214,66493,39,0,43,0,8,0,Uncurated genome,near complete,Bacteria,unknown,unknown,unknown,unknown,unknown,unknown,1,1,43,43_1,1.723010295,1.721187151,1.720899646,1.722568968,1.722365948,1.720132082,1.722091963,1.721296067,-0.011420445,-0.011763314,-0.033011209,0.024689609,0.057700817,431,A,A2-16,1.843428331,0.013397421,d__Bacteria,p__Dormibacterota,c__Dormibacteria,o__,f__,g__,s__
A2-18-all-fractions_metab_conc_34,A2-18-all-fractions_Bacteria_65_10,Bacteria,NA,3364632,64.88,0.6488,10.46,179,3567,298756,44,7,49,9,13,3,Uncurated genome,near complete,Bacteria,unknown,unknown,unknown,unknown,unknown,unknown,1,1,44,44_0,1.722333494,1.720675169,1.720465697,1.722202338,1.721536204,1.71924549,1.721445132,1.720707666,-0.011060719,-0.010903658,-0.033867097,0.02569136,0.059558457,371,A,A2-18,0.8127756,0.00707823,d__Bacteria,p__Dormibacterota,c__Dormibacteria,o__,f__,g__,s__
A1-18-all-fractions_metab_conc_9,A1-18-all-fractions_Rhizobiales_62_10,"Rhizobiales, Alphaproteobacteria, Proteobacteria, Bacteria",NA,3024080,62.19,0.6219,10.27,155,3008,76556,38,1,41,1,8,3,Uncurated genome,near complete,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,unknown,unknown,unknown,1,1,54,54_0,1.719745152,1.719069234,1.71966557,1.720789104,1.718924827,1.71650568,1.719445183,1.718788006,-0.00933607,-0.009727437,-0.035818698,0.016628257,0.052446955,338,A,A1-18,0.972698322,0.008709954,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__BOG-931,s__
A2-18-all-fractions_metab_conc_96,A2-18-all-fractions_Bacteria_72_14,Bacteria,NA,4705294,72.03,0.7203,14.2,189,4952,205615,45,0,48,3,14,2,Uncurated genome,near complete,Bacteria,unknown,unknown,unknown,unknown,unknown,unknown,1,NA,105,105_1,1.726980285,1.725840196,1.724719702,1.726009128,1.725839459,1.724032015,1.725846482,1.725293779,-0.00825008,-0.00815197,-0.026658625,0.019030535,0.04568916,1716,A,A2-18,1.610201424,0.014022783,d__Bacteria,p__Dormibacterota,c__Dormibacteria,o__Dormibacterales,f__Dormibacteraceae,g__,s__
A2-18-all-fractions_metab_conc_29,A2-18-all-fractions_Bacteria_69_12,Bacteria,NA,5979491,69.04,0.6904,12.48,322,6007,118962,44,0,49,3,14,2,Uncurated genome,near complete,Bacteria,unknown,unknown,unknown,unknown,unknown,unknown,1,1,170,170_1,1.724384279,1.723205107,1.722625787,1.724174649,1.724358986,1.722337997,1.723789684,1.723239251,-0.008231602,-0.008127793,-0.029832435,0.022886225,0.05271866,370,A,A2-18,1.407204329,0.01225494,d__Bacteria,p__Chloroflexota,c__UBA6077,o__UBA6077,f__,g__,s__
A1-18-all-fractions_metab_conc_54,A1-18-all-fractions_Bacteria_72_13,Bacteria,NA,4933612,71.98,0.7198,13.26,235,5226,91621,46,1,47,2,13,1,Uncurated genome,near complete,Bacteria,unknown,unknown,unknown,unknown,unknown,unknown,1,NA,105,105_1,1.726962721,1.725786412,1.724701244,1.725979796,1.725798333,1.72401665,1.725820766,1.725260953,-0.007938666,-0.008256964,-0.026279263,0.018870234,0.045149497,1922,A,A1-18,1.300797472,0.011647893,d__Bacteria,p__Dormibacterota,c__Dormibacteria,o__Dormibacterales,f__Dormibacteraceae,g__,s__
A2-16-all-fractions_metab_conc_71,A2-16-all-fractions_Bacteria_72_17,Bacteria,NA,4729964,72.02,0.7202,17.06,214,4980,111417,48,1,49,1,12,1,Uncurated genome,near complete,Bacteria,unknown,unknown,unknown,unknown,unknown,unknown,1,NA,105,105_1,1.726961297,1.725806409,1.72472045,1.726001545,1.725801859,1.724021531,1.725827869,1.725276495,-0.007855738,-0.008132455,-0.026259235,0.018907564,0.045166799,1921,A,A2-16,1.537783533,0.011176097,d__Bacteria,p__Dormibacterota,c__Dormibacteria,o__Dormibacterales,f__Dormibacteraceae,g__,s__
A2-18-all-fractions_metab_conc_36,A2-18-all-fractions_Alphaproteobacteria_64_16,"Alphaproteobacteria, Proteobacteria, Bacteria",NA,5876188,64.35,0.6435,16.22,202,5632,269691,50,9,51,9,11,0,Uncurated genome,near complete,Bacteria,Proteobacteria,Alphaproteobacteria,unknown,unknown,unknown,unknown,1,NA,52,52_1,1.721431446,1.720917418,1.720724077,1.72155748,1.720681249,1.718790359,1.720945591,1.720421752,-0.007738832,-0.007747286,-0.027969533,0.012327166,0.040296699,1300,A,A2-18,2.094872477,0.018243645,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__BOG-931,s__
A3-16-all-fractions_metab_conc_104,A3-16-all-fractions_Bacteria_72_11,Bacteria,NA,4478313,72.31,0.7231,11.27,322,4837,77960,35,1,37,1,11,1,Uncurated genome,partial,Bacteria,unknown,unknown,unknown,unknown,unknown,unknown,1,NA,105,105_1,1.727157247,1.72600227,1.72485861,1.7261488,1.725977698,1.724203129,1.725997852,1.7254514,-0.007489916,-0.008059103,-0.026171755,0.019040366,0.045212122,1923,A,A3-16,0.721171512,0.006389713,d__Bacteria,p__Dormibacterota,c__Dormibacteria,o__Dormibacterales,f__Dormibacteraceae,g__,s__
A3-18-all-fractions_metab_conc_106,A3-18-all-fractions_Bacteria_69_11,Bacteria,NA,6301508,68.94,0.6894,11.45,410,6320,77657,44,0,49,2,14,1,Uncurated genome,near complete,Bacteria,unknown,unknown,unknown,unknown,unknown,unknown,1,NA,170,170_1,1.724330747,1.72320128,1.722593602,1.724144503,1.724316119,1.722307349,1.723746823,1.723217711,-0.007423665,-0.007813144,-0.02965275,0.022916739,0.052569489,1918,A,A3-18,0.424913366,0.004148479,d__Bacteria,p__Chloroflexota,c__UBA6077,o__UBA6077,f__,g__,s__
A3-18-all-fractions_metab_78,A3-18-all-fractions_Bacteria_72_11,Bacteria,NA,5019881,72.14,0.7214,11.09,332,5405,103776,37,5,39,7,12,2,Uncurated genome,partial,Bacteria,unknown,unknown,unknown,unknown,unknown,unknown,1,NA,105,105_1,1.727034033,1.725895544,1.724773744,1.726066093,1.725874243,1.724148305,1.725894007,1.725369981,-0.007389959,-0.007728809,-0.025455989,0.019073123,0.044529112,1919,A,A3-18,1.133508391,0.011066576,d__Bacteria,p__Dormibacterota,c__Dormibacteria,o__Dormibacterales,f__Dormibacteraceae,g__,s__
A2-16-all-fractions_metab_conc_90,A2-16-all-fractions_Alphaproteobacteria_64_23,"Alphaproteobacteria, Proteobacteria, Bacteria",NA,5723394,64.32,0.6432,22.68,177,5431,158998,50,1,51,0,11,0,Uncurated genome,near complete,Bacteria,Proteobacteria,Alphaproteobacteria,unknown,unknown,unknown,unknown,1,NA,52,52_1,1.721450055,1.720960586,1.720722706,1.721579205,1.720698494,1.718815581,1.720957085,1.720451791,-0.007202216,-0.007472977,-0.027851257,0.012668797,0.040520054,1629,A,A2-16,2.2689585,0.016490032,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__BOG-931,s__
A1-18-all-fractions_metab_conc_44,A1-18-all-fractions_Alphaproteobacteria_65_25,"Alphaproteobacteria, Proteobacteria, Bacteria",NA,5063428,64.54,0.6454,25.38,125,4825,147901,51,1,51,0,11,0,Uncurated genome,near complete,Bacteria,Proteobacteria,Alphaproteobacteria,unknown,unknown,unknown,unknown,1,1,52,52_1,1.721585778,1.721085743,1.72082224,1.721693391,1.720850475,1.71897679,1.721086164,1.720585308,-0.007102327,-0.007406806,-0.027712392,0.012884821,0.040597213,343,A,A1-18,2.568962756,0.023003584,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__BOG-931,s__
A3-18-all-fractions_metab_conc_51,A3-18-all-fractions_Alphaproteobacteria_65_21,"Alphaproteobacteria, Proteobacteria, Bacteria",NA,5192387,64.52,0.6452,21.31,141,4972,186213,50,0,51,0,10,0,Uncurated genome,near complete,Bacteria,Proteobacteria,Alphaproteobacteria,unknown,unknown,unknown,unknown,1,NA,52,52_1,1.721560926,1.721075116,1.72081523,1.721678077,1.720826724,1.718967905,1.721067627,1.720573699,-0.007050237,-0.00730442,-0.027492903,0.012762038,0.040254941,1631,A,A3-18,2.399563504,0.023427221,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__BOG-931,s__
A3-16-all-fractions_metab_conc_14,A3-16-all-fractions_Alphaproteobacteria_64_17,"Alphaproteobacteria, Proteobacteria, Bacteria",NA,6167794,64.24,0.6424,16.9,226,5970,252415,50,2,51,3,10,0,Uncurated genome,near complete,Bacteria,Proteobacteria,Alphaproteobacteria,unknown,unknown,unknown,unknown,1,NA,52,52_1,1.721370935,1.720879927,1.720685157,1.721517206,1.720616424,1.718756262,1.720890839,1.720384465,-0.00699843,-0.007489213,-0.027515997,0.012307397,0.039823394,1628,A,A3-16,1.404391493,0.012443169,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__BOG-931,s__
A2-16-all-fractions_metab_conc_89,A2-16-all-fractions_Alphaproteobacteria_64_11,"Alphaproteobacteria, Proteobacteria, Bacteria",NA,5177889,63.98,0.6398,11.14,330,5109,97343,27,2,28,3,11,2,Uncurated genome,partial,Bacteria,Proteobacteria,Alphaproteobacteria,unknown,unknown,unknown,unknown,1,1,51,51_1,1.721028337,1.720636169,1.72047887,1.721959115,1.720343603,1.719143104,1.720616937,1.720579462,-0.000305683,-0.000554329,-0.01776084,0.021897819,0.039658659,340,A,A2-16,1.155245325,0.008395937,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__BOG-931,s__
A3-18-all-fractions_metab_conc_44,A3-18-all-fractions_Alphaproteobacteria_64_11,"Alphaproteobacteria, Proteobacteria, Bacteria",NA,4796860,64.04,0.6404,11.04,261,4715,87423,45,3,45,2,10,1,Uncurated genome,near complete,Bacteria,Proteobacteria,Alphaproteobacteria,unknown,unknown,unknown,unknown,1,NA,51,51_1,1.721091843,1.720688112,1.720535535,1.722060685,1.720430208,1.719269963,1.720685862,1.72067292,9.49E-05,-0.000191437,-0.017164458,0.022561407,0.039725864,1620,A,A3-18,1.166272175,0.011386452,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__BOG-931,s__
A1-16-all-fractions_metab_12,A1-16-all-fractions_Actinobacteria_71_8,"Actinobacteria, Actinobacteria, Bacteria",NA,5341751,70.72,0.7072,7.87,1126,5667,21824,36,8,37,13,10,1,Uncurated genome,partial,Bacteria,Actinobacteria,Actinobacteria,unknown,unknown,unknown,unknown,1,1,82,82_0,1.736658968,1.739898677,1.736135052,1.733851113,1.735845611,1.734943229,1.73621321,1.736231007,0.000265599,0.000260914,-0.033486126,0.047484901,0.080971027,121,A,A1-16,0.456594967,0.004961038,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Streptosporangiales,f__Streptosporangiaceae,g__,s__
A2-18-all-fractions_metab_conc_69,A2-18-all-fractions_Actinobacteria_69_12,"Actinobacteria, Actinobacteria, Bacteria",NA,2827530,68.7,0.687,11.76,135,3035,67012,22,1,23,1,11,3,Uncurated genome,partial,Bacteria,Actinobacteria,Actinobacteria,unknown,unknown,unknown,unknown,1,1,119,119_1,1.724569828,1.72354233,1.72283011,1.724902706,1.723850606,1.723012667,1.723750181,1.723819234,0.000827057,0.00101967,-0.015165261,0.030621192,0.045786454,31,A,A2-18,0.691230561,0.006019729,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__20CM-4-69-9,f__20CM-4-69-9,g__3-1-20CM-4-69-9,s__
A3-18-all-fractions_metab_141,A3-18-all-fractions_Actinobacteria_69_13,"Actinobacteria, Actinobacteria, Bacteria",NA,2942346,68.67,0.6867,12.72,200,3214,63071,24,1,29,1,11,2,Uncurated genome,partial,Bacteria,Actinobacteria,Actinobacteria,unknown,unknown,unknown,unknown,1,NA,119,119_1,1.72452387,1.723537467,1.722820794,1.724917037,1.723850727,1.723103062,1.723731797,1.723852522,0.002149443,0.001782698,-0.014559104,0.030970721,0.045529825,1134,A,A3-18,0.484434975,0.004729596,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__20CM-4-69-9,f__20CM-4-69-9,g__3-1-20CM-4-69-9,s__
A2-16-all-fractions_metab_22,A2-16-all-fractions_Alphaproteobacteria_65_9,"Alphaproteobacteria, Proteobacteria, Bacteria",NA,3702604,65.23,0.6523,8.53,868,4186,31899,40,11,41,14,13,4,Uncurated genome,megabin,Bacteria,Proteobacteria,Alphaproteobacteria,unknown,unknown,unknown,unknown,1,1,68,68_0,1.722011675,1.721696381,1.721055333,1.723600646,1.721144591,1.721036026,1.721403866,1.722111018,0.010672925,0.010455757,-0.004660203,0.037641946,0.042302149,339,A,A2-16,0.697272499,0.005067543,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__,s__
A3-16-all-fractions_metab_99,A3-16-all-fractions_Solirubrobacterales_71_15,"Solirubrobacterales, Thermoleophilia, Actinobacteria, Bacteria",NA,2255290,70.94,0.7094,15.25,281,2504,47601,40,3,42,4,10,1,Uncurated genome,near complete,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,unknown,unknown,unknown,1,1,160,160_0,1.72630011,1.726099902,1.724229004,1.726927849,1.725263241,1.725085169,1.725264119,1.72603764,0.011953507,0.01141254,-0.002952085,0.039842665,0.042794749,196,A,A3-16,0.939711425,0.008326017,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Thermoleophilaceae,g__,s__
A2-18-all-fractions_metab_conc_20,A2-18-all-fractions_Bacteria_69_14,Bacteria,NA,2074500,69.06,0.6906,13.77,288,2388,33055,23,0,26,2,8,2,Uncurated genome,partial,Bacteria,unknown,unknown,unknown,unknown,unknown,unknown,1,1,106,106_0,1.725106742,1.723082483,1.722839822,1.728359761,1.724613905,1.723795925,1.724186823,1.72507939,0.012662989,0.013176756,-0.029867759,0.081553337,0.111421095,368,A,A2-18,0.866113841,0.007542738,d__Bacteria,p__Dormibacterota,c__Dormibacteria,o__Dormibacterales,f__Dormibacteraceae,g__,s__
A1-16-all-fractions_metab_conc_50,A1-16-all-fractions_Actinobacteria_72_19,"Actinobacteria, Actinobacteria, Bacteria",NA,3762406,71.8,0.718,19.09,217,4000,51106,25,0,27,2,12,2,Uncurated genome,partial,Bacteria,Actinobacteria,Actinobacteria,unknown,unknown,unknown,unknown,1,NA,141,141_1,1.738474298,1.741133008,1.737459187,1.739747215,1.741322888,1.738876772,1.739085458,1.739918999,0.012753203,0.012200495,-0.035757672,0.038929086,0.074686758,806,A,A1-16,1.357547369,0.014750149,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,g__,s__
A2-18-all-fractions_metab_112,A2-18-all-fractions_Solirubrobacterales_74_16,"Solirubrobacterales, Thermoleophilia, Actinobacteria, Bacteria",NA,2700415,73.76,0.7376,16,664,3348,18734,44,3,48,8,13,2,Uncurated genome,near complete,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,unknown,unknown,unknown,1,1,151,151_1,1.727812168,1.728082405,1.725325954,1.728011965,1.726364815,1.726725756,1.726500979,1.727606708,0.0161572,0.016302989,0.003981368,0.039629799,0.035648432,23,A,A2-18,0.759758717,0.006616521,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,g__QHBW01,s__
A1-18-all-fractions_metab_41,A1-18-all-fractions_Solirubrobacterales_74_19,"Solirubrobacterales, Thermoleophilia, Actinobacteria, Bacteria",NA,2390617,73.67,0.7367,19.25,678,2975,17861,35,4,39,8,11,2,Uncurated genome,partial,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,unknown,unknown,unknown,1,1,151,151_3,1.72779052,1.72804035,1.725352402,1.728018404,1.726318094,1.72669849,1.726487006,1.727585748,0.016424157,0.016200082,0.003680757,0.039333926,0.035653169,194,A,A1-18,1.255129535,0.011238963,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,g__QHBW01,s__
