isolate,class,phylum,response,mingt,rrn,genomesize,monomer,ontology,BGE,rgrowth,BP,BR
Paenibacillus sp. URHA0014,Bacilli,Firmicutes,negative,1.43,23,7371174,"2,3-Dihydroxybenzoic acid",Organic acids,0.29158000355103064,0.01627890560210967,1.4168870112335618e-9,3.4406456941347116e-9
Pseudomonas sp. URHB0015,Gammaproteobacteria,Proteobacteria,positive,0.96,8,6208105,"2,3-Dihydroxybenzoic acid",Organic acids,0.5058290129971982,0.07584326928622682,9.05821826065115e-9,7.627941616808893e-9
Rhodospirillales bacterium URHD0017,Alphaproteobacteria,Proteobacteria,positive,7.05,3,8179139,"2,3-Dihydroxybenzoic acid",Organic acids,0.6279607414970826,0.027150988674697014,2.876287608007692e-9,1.6221039751892761e-9
Rhodospirillales bacterium URHD0088,Alphaproteobacteria,Proteobacteria,undefined,7.49,9,6646877,"2,3-Dihydroxybenzoic acid",Organic acids,0.36687970876983494,0.006575007160606345,4.501509307805426e-10,7.774309264441e-10
Solirubrobacter sp. URHD0082,Thermoleophilia,Actinobacteria,negative,6.11,3,6640086,"2,3-Dihydroxybenzoic acid",Organic acids,NaN,0.013661684409074707,NaN,4.804461181003153e-10
Solirubrobacterales bacterium URHD0059,Thermoleophilia,Actinobacteria,negative,4.74,3,6572728,"2,3-Dihydroxybenzoic acid",Organic acids,NaN,0.008542427006897871,NaN,3.1121218459490155e-10
Sphingomonas sp. URHD0007,Alphaproteobacteria,Proteobacteria,positive,6.3,3,2934896,"2,3-Dihydroxybenzoic acid",Organic acids,0.597348673922903,0.010983227934497774,9.376176485809218e-10,6.320154774479408e-10
Sphingomonas sp. URHD0057,Alphaproteobacteria,Proteobacteria,positive,6.78,3,2785891,"2,3-Dihydroxybenzoic acid",Organic acids,0.6356928941541167,0.021956710875494306,2.3123544428469597e-9,1.2029680828908932e-9
Staphylococcus sp. URHA0057,Bacilli,Firmicutes,undefined,0.75,13,2549675,"2,3-Dihydroxybenzoic acid",Organic acids,0.43913534088618933,0.08437071833307369,1.1865586667468122e-8,8.582639040944063e-9
Streptomyces sp. URHA0041,Actinobacteria,Actinobacteria,positive,4.04,14,8015544,"2,3-Dihydroxybenzoic acid",Organic acids,0.22684130541441078,0.005120357944887609,2.3852823962300294e-10,8.421917204303089e-10
Variovorax sp. URHB0020,Betaproteobacteria,Proteobacteria,positive,8.33,12,6632341,"2,3-Dihydroxybenzoic acid",Organic acids,0.4344479921843576,0.027153288490339926,2.9126813239441456e-9,3.5652160574584024e-9
Acidobacteriaceae bacterium URHE0068,Acidobacteria,Acidobacteria,positive,7.0,3,6679185,3-Dehydroshikimic acid,Organic acids,NaN,0.01068332459640509,NaN,3.7024677467301395e-10
Bacillus sp. URHB0009,Bacilli,Firmicutes,negative,1.31,20,5377210,3-Dehydroshikimic acid,Organic acids,0.3580335616310914,0.04285020244923059,4.88208883835461e-9,7.79385639702771e-9
Blastococcus sp. URHD0036,Actinobacteria,Actinobacteria,undefined,2.78,8,5177578,3-Dehydroshikimic acid,Organic acids,0.2559028637908996,0.00518600856648778,1.622982084933124e-10,5.308949581407478e-10
Bradyrhizobium sp. URHA0002,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6972827,3-Dehydroshikimic acid,Organic acids,0.6296592943324533,0.022742639932885833,2.291174707808475e-9,1.3231559647225679e-9
Bradyrhizobium sp. URHA0013,Alphaproteobacteria,Proteobacteria,positive,5.73,3,7193102,3-Dehydroshikimic acid,Organic acids,0.6229891058213364,0.020296159758438917,2.010464642367438e-9,1.1959094079896059e-9
Bradyrhizobium sp. URHD0069,Alphaproteobacteria,Proteobacteria,positive,5.32,3,6793945,3-Dehydroshikimic acid,Organic acids,0.628950695716535,0.022113455895274504,2.2320431224323683e-9,1.2833957421496927e-9
Burkholderia sp. URHA0054,Betaproteobacteria,Proteobacteria,positive,2.43,10,7244804,3-Dehydroshikimic acid,Organic acids,0.44095407080162236,0.02315018382996019,2.2886152843689545e-9,2.8535722494186943e-9
Caulobacter sp. URHA0033,Alphaproteobacteria,Proteobacteria,positive,2.9,3,5642219,3-Dehydroshikimic acid,Organic acids,0.6390479027342107,0.031947944097664466,3.3819519899298678e-9,1.8244749841627375e-9
Cellulomonas sp. URHD0024,Actinobacteria,Actinobacteria,undefined,2.52,8,4210445,3-Dehydroshikimic acid,Organic acids,NaN,0.009419136495419748,NaN,7.667687205806096e-10
Cellulomonas sp. URHE0023,Actinobacteria,Actinobacteria,undefined,3.57,5,4467545,3-Dehydroshikimic acid,Organic acids,NaN,0.005487910911078218,NaN,3.2594604458052467e-10
Comamonadaceae bacterium URHA0028,Betaproteobacteria,Proteobacteria,positive,6.24,5,4904121,3-Dehydroshikimic acid,Organic acids,0.5733006558230683,0.03667406434391642,4.2335795911664175e-9,2.6252885630932927e-9
Dongia sp. URHE0060,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6067264,3-Dehydroshikimic acid,Organic acids,0.33539464080689496,0.009880260722119847,1.0927088144807553e-10,4.018079330153415e-10
Flavobacterium sp. URHB0058,Flavobacteria,Bacteroidetes,undefined,3.33,8,5264264,3-Dehydroshikimic acid,Organic acids,0.49940882573529255,0.04008107811382186,4.6361656805454374e-9,4.0444839272054195e-9
Geodermatophilaceae bacterium URHA0031,Actinobacteria,Actinobacteria,negative,2.72,9,5236918,3-Dehydroshikimic acid,Organic acids,0.441380465941031,0.015801739451046327,1.4379042099184953e-9,1.8173434571724094e-9
Geodermatophilaceae bacterium URHB0048,Actinobacteria,Actinobacteria,negative,3.6,7,4705879,3-Dehydroshikimic acid,Organic acids,0.39098321370527706,0.006454944813074312,4.10590981654425e-10,6.402526511613151e-10
Geodermatophilaceae bacterium URHB0062,Actinobacteria,Actinobacteria,negative,2.24,9,5093035,3-Dehydroshikimic acid,Organic acids,0.4458073773145134,0.017821251253882044,1.6521747827490662e-9,2.045874277081952e-9
Intrasporangiaceae bacterium URHB0013,Actinobacteria,Actinobacteria,undefined,2.25,6,4567713,3-Dehydroshikimic acid,Organic acids,0.5121691652990393,0.019408000936740527,1.8468088913148069e-9,1.738389053585932e-9
Lysobacter sp. URHA0019,Gammaproteobacteria,Proteobacteria,undefined,5.26,5,3223982,3-Dehydroshikimic acid,Organic acids,0.5538630330191263,0.020691687245353484,2.190447400473423e-9,1.5913860911549408e-9
Marmoricola sp. URHB0036,Actinobacteria,Actinobacteria,undefined,3.88,3,4829548,3-Dehydroshikimic acid,Organic acids,0.4787618337709717,0.0055303211143839515,2.790848964729261e-10,3.1273987254848054e-10
Mesorhizobium sp. URHA0056,Alphaproteobacteria,Proteobacteria,positive,4.7,4,6306952,3-Dehydroshikimic acid,Organic acids,0.44573467648805515,0.005705906361888795,3.241913731885615e-10,4.088479239339701e-10
Mesorhizobium sp. URHB0007,Alphaproteobacteria,Proteobacteria,positive,5.01,4,6069513,3-Dehydroshikimic acid,Organic acids,0.34287101099717093,0.00939915733292295,1.512997884172743e-10,5.026722185638855e-10
Mesorhizobium sp. URHC0008,Alphaproteobacteria,Proteobacteria,positive,5.12,3,7106298,3-Dehydroshikimic acid,Organic acids,NaN,0.006333478934216602,NaN,2.6605844825837746e-10
Microbacterium sp. URHA0036,Actinobacteria,Actinobacteria,undefined,1.82,6,4034872,3-Dehydroshikimic acid,Organic acids,0.4935294077735122,0.01520100272947032,1.3304879185563772e-9,1.365380386747809e-9
Micromonosporaceae bacterium URHE0070,Actinobacteria,Actinobacteria,negative,4.16,10,7372737,3-Dehydroshikimic acid,Organic acids,NaN,0.008113636037345185,NaN,8.014383909817602e-10
Mycobacterium sp. URHB0044,Actinobacteria,Actinobacteria,positive,4.36,8,7485871,3-Dehydroshikimic acid,Organic acids,0.41764423390426875,0.009526582514644964,7.628152360625116e-10,1.0636640332868106e-9
Mycobacterium sp. URHD0025,Actinobacteria,Actinobacteria,positive,3.83,7,6657122,3-Dehydroshikimic acid,Organic acids,0.4434808745977785,0.009727538507858534,7.793702698210113e-10,9.7802554722907e-10
Nocardioides sp. URHA0020,Actinobacteria,Actinobacteria,undefined,6.28,12,4684622,3-Dehydroshikimic acid,Organic acids,0.3520133583069632,0.007764916301111974,5.789648840062824e-10,1.0658846575913013e-9
Nocardioides sp. URHA0032,Actinobacteria,Actinobacteria,undefined,4.82,5,4560838,3-Dehydroshikimic acid,Organic acids,NaN,0.005968148105012138,NaN,3.384583844502407e-10
Paenibacillus sp. URHA0014,Bacilli,Firmicutes,negative,1.43,23,7371174,3-Dehydroshikimic acid,Organic acids,0.29157282554290065,0.016276663480276995,1.416678587990346e-9,3.4401850846278533e-9
Pseudomonas sp. URHB0015,Gammaproteobacteria,Proteobacteria,positive,0.96,8,6208105,3-Dehydroshikimic acid,Organic acids,0.5058207657674485,0.07552700137524876,9.055536385942242e-9,7.594320276884484e-9
Rhodospirillales bacterium URHD0017,Alphaproteobacteria,Proteobacteria,positive,7.05,3,8179139,3-Dehydroshikimic acid,Organic acids,0.6279551442716453,0.02727138368528658,2.8758290586801803e-9,1.6317901002830755e-9
Rhodospirillales bacterium URHD0088,Alphaproteobacteria,Proteobacteria,undefined,7.49,9,6646877,3-Dehydroshikimic acid,Organic acids,0.36687050276966454,0.006574614518082812,4.5010716616678623e-10,7.773862384156143e-10
Solirubrobacter sp. URHD0082,Thermoleophilia,Actinobacteria,negative,6.11,3,6640086,3-Dehydroshikimic acid,Organic acids,NaN,0.013661587145566203,NaN,4.804405172412698e-10
Solirubrobacterales bacterium URHD0059,Thermoleophilia,Actinobacteria,negative,4.74,3,6572728,3-Dehydroshikimic acid,Organic acids,NaN,0.008542359001451751,NaN,3.1120825841455864e-10
Sphingomonas sp. URHD0007,Alphaproteobacteria,Proteobacteria,positive,6.3,3,2934896,3-Dehydroshikimic acid,Organic acids,0.5973451420811795,0.010982712454034397,9.375602389753166e-10,6.319860838852739e-10
Sphingomonas sp. URHD0057,Alphaproteobacteria,Proteobacteria,positive,6.78,3,2785891,3-Dehydroshikimic acid,Organic acids,0.6356911889371599,0.022039726139793648,2.312265154257001e-9,1.216557898886669e-9
Staphylococcus sp. URHA0057,Bacilli,Firmicutes,undefined,0.75,13,2549675,3-Dehydroshikimic acid,Organic acids,0.4391317484931513,0.08532293102706866,1.1864143209802255e-8,8.760475031330335e-9
Streptomyces sp. URHA0041,Actinobacteria,Actinobacteria,positive,4.04,14,8015544,3-Dehydroshikimic acid,Organic acids,0.22682617333800628,0.005120052389650201,2.3849403375018733e-10,8.421455090424081e-10
Variovorax sp. URHB0020,Betaproteobacteria,Proteobacteria,positive,8.33,12,6632341,3-Dehydroshikimic acid,Organic acids,0.43444337151771895,0.027068432703596306,2.912288095750798e-9,3.5522604792352905e-9
Acidobacteriaceae bacterium URHE0068,Acidobacteria,Acidobacteria,positive,7.0,3,6679185,5-aminovaleric acid,Amino acids,0.6322329453703411,0.059682350607819484,7.9011524526698e-9,2.509825573664666e-9
Bacillus sp. URHB0009,Bacilli,Firmicutes,negative,1.31,20,5377210,5-aminovaleric acid,Amino acids,0.40667329834857757,0.13357892990445788,3.21186578030487e-8,1.7017883180057334e-8
Blastococcus sp. URHD0036,Actinobacteria,Actinobacteria,undefined,2.78,8,5177578,5-aminovaleric acid,Amino acids,0.5074696115946241,0.1012364552104458,1.5633651166941248e-8,7.242790766614005e-9
Bradyrhizobium sp. URHA0002,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6972827,5-aminovaleric acid,Amino acids,0.6307042103458247,0.059654217987432784,7.457711097330498e-9,3.097752669496604e-9
Bradyrhizobium sp. URHA0013,Alphaproteobacteria,Proteobacteria,positive,5.73,3,7193102,5-aminovaleric acid,Amino acids,0.6308614959954734,0.061378118739412464,7.882081611516518e-9,2.9863804898512743e-9
Bradyrhizobium sp. URHD0069,Alphaproteobacteria,Proteobacteria,positive,5.32,3,6793945,5-aminovaleric acid,Amino acids,0.6345381565288981,0.07170175286296084,9.43413914842223e-9,3.118341498123811e-9
Burkholderia sp. URHA0054,Betaproteobacteria,Proteobacteria,positive,2.43,10,7244804,5-aminovaleric acid,Amino acids,0.4718794542870539,0.09713392892507904,1.4083097710870997e-8,1.0395905579970027e-8
Caulobacter sp. URHA0033,Alphaproteobacteria,Proteobacteria,positive,2.9,3,5642219,5-aminovaleric acid,Amino acids,0.6258606160283382,0.05825647825503613,7.421270140223431e-9,3.0526738407343636e-9
Cellulomonas sp. URHD0024,Actinobacteria,Actinobacteria,undefined,2.52,8,4210445,5-aminovaleric acid,Amino acids,0.4988948919598968,0.08293267922853395,1.232819514852838e-8,5.9854649508054395e-9
Cellulomonas sp. URHE0023,Actinobacteria,Actinobacteria,undefined,3.57,5,4467545,5-aminovaleric acid,Amino acids,0.5596567236675768,0.06513551573086716,8.89075597142783e-9,3.5714680106998203e-9
Comamonadaceae bacterium URHA0028,Betaproteobacteria,Proteobacteria,positive,6.24,5,4904121,5-aminovaleric acid,Amino acids,0.5571146199182124,0.0494195137703753,6.177616564772157e-9,3.2498808213551517e-9
Dongia sp. URHE0060,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6067264,5-aminovaleric acid,Amino acids,0.6279901169848393,0.05002528239693553,6.2323543582963374e-9,2.4812366207730717e-9
