monomer,ontology,isolate,response,percent_uptake
"2,3-Dihydroxybenzoic acid",Organic acids,Comamonadaceae bacterium URHA0028,positive,0.9999999501139336
"2,3-Dihydroxybenzoic acid",Organic acids,Dongia sp. URHE0060,positive,0.9928743154926765
"2,3-Dihydroxybenzoic acid",Organic acids,Flavobacterium sp. URHB0058,undefined,0.9999998919308263
"2,3-Dihydroxybenzoic acid",Organic acids,Geodermatophilaceae bacterium URHA0031,negative,0.9729936530946671
"2,3-Dihydroxybenzoic acid",Organic acids,Geodermatophilaceae bacterium URHB0048,negative,0.9286938979395648
"2,3-Dihydroxybenzoic acid",Organic acids,Geodermatophilaceae bacterium URHB0062,negative,0.994097283672918
"2,3-Dihydroxybenzoic acid",Organic acids,Intrasporangiaceae bacterium URHB0013,undefined,0.9999088673792372
"2,3-Dihydroxybenzoic acid",Organic acids,Lysobacter sp. URHA0019,undefined,0.9999851462838936
"2,3-Dihydroxybenzoic acid",Organic acids,Marmoricola sp. URHB0036,undefined,0.8465018070643722
"2,3-Dihydroxybenzoic acid",Organic acids,Mesorhizobium sp. URHA0056,positive,0.9999898289887809
"2,3-Dihydroxybenzoic acid",Organic acids,Mesorhizobium sp. URHB0007,positive,0.9987466845057206
"2,3-Dihydroxybenzoic acid",Organic acids,Mesorhizobium sp. URHC0008,positive,0.7528727978596897
"2,3-Dihydroxybenzoic acid",Organic acids,Microbacterium sp. URHA0036,undefined,0.9999647935614739
"2,3-Dihydroxybenzoic acid",Organic acids,Micromonosporaceae bacterium URHE0070,negative,0.7964150019309828
"2,3-Dihydroxybenzoic acid",Organic acids,Mycobacterium sp. URHB0044,positive,0.9211482814962048
"2,3-Dihydroxybenzoic acid",Organic acids,Mycobacterium sp. URHD0025,positive,0.8907562403588865
"2,3-Dihydroxybenzoic acid",Organic acids,Nocardioides sp. URHA0020,undefined,0.974500405156658
"2,3-Dihydroxybenzoic acid",Organic acids,Nocardioides sp. URHA0032,undefined,0.5478871987651867
"2,3-Dihydroxybenzoic acid",Organic acids,Paenibacillus sp. URHA0014,negative,0.9999990629767089
"2,3-Dihydroxybenzoic acid",Organic acids,Pseudomonas sp. URHB0015,positive,0.9976203382839302
"2,3-Dihydroxybenzoic acid",Organic acids,Rhodospirillales bacterium URHD0017,positive,0.9999999992175771
"2,3-Dihydroxybenzoic acid",Organic acids,Rhodospirillales bacterium URHD0088,undefined,0.9999965209532861
"2,3-Dihydroxybenzoic acid",Organic acids,Solirubrobacter sp. URHD0082,negative,0.9337067726970839
"2,3-Dihydroxybenzoic acid",Organic acids,Solirubrobacterales bacterium URHD0059,negative,0.6483380649238502
"2,3-Dihydroxybenzoic acid",Organic acids,Sphingomonas sp. URHD0007,positive,0.998588244165271
"2,3-Dihydroxybenzoic acid",Organic acids,Sphingomonas sp. URHD0057,positive,0.9999917808830963
"2,3-Dihydroxybenzoic acid",Organic acids,Staphylococcus sp. URHA0057,undefined,0.9999965010901685
"2,3-Dihydroxybenzoic acid",Organic acids,Streptomyces sp. URHA0041,positive,0.9576265012657561
"2,3-Dihydroxybenzoic acid",Organic acids,Variovorax sp. URHB0020,positive,0.9999998614356432
3-Dehydroshikimic acid,Organic acids,Acidobacteriaceae bacterium URHE0068,positive,0.48330971711764426
3-Dehydroshikimic acid,Organic acids,Bacillus sp. URHB0009,negative,0.9967565949964198
3-Dehydroshikimic acid,Organic acids,Blastococcus sp. URHD0036,undefined,0.6587772269773582
3-Dehydroshikimic acid,Organic acids,Bradyrhizobium sp. URHA0002,positive,0.9999656111219019
3-Dehydroshikimic acid,Organic acids,Bradyrhizobium sp. URHA0013,positive,0.999979249412322
3-Dehydroshikimic acid,Organic acids,Bradyrhizobium sp. URHD0069,positive,0.9999995188105102
3-Dehydroshikimic acid,Organic acids,Burkholderia sp. URHA0054,positive,0.9997914896123555
3-Dehydroshikimic acid,Organic acids,Caulobacter sp. URHA0033,positive,0.9838851951715117
3-Dehydroshikimic acid,Organic acids,Cellulomonas sp. URHD0024,undefined,0.683839459079636
3-Dehydroshikimic acid,Organic acids,Cellulomonas sp. URHE0023,undefined,0.9652948601794962
3-Dehydroshikimic acid,Organic acids,Comamonadaceae bacterium URHA0028,positive,0.9999999434273469
3-Dehydroshikimic acid,Organic acids,Dongia sp. URHE0060,positive,0.9912400498277919
3-Dehydroshikimic acid,Organic acids,Flavobacterium sp. URHB0058,undefined,0.9999998460944385
3-Dehydroshikimic acid,Organic acids,Geodermatophilaceae bacterium URHA0031,negative,0.9685887829480324
3-Dehydroshikimic acid,Organic acids,Geodermatophilaceae bacterium URHB0048,negative,0.920370138987491
3-Dehydroshikimic acid,Organic acids,Geodermatophilaceae bacterium URHB0062,negative,0.9926896637664319
3-Dehydroshikimic acid,Organic acids,Intrasporangiaceae bacterium URHB0013,undefined,0.9998702625258397
3-Dehydroshikimic acid,Organic acids,Lysobacter sp. URHA0019,undefined,0.9999764436004457
3-Dehydroshikimic acid,Organic acids,Marmoricola sp. URHB0036,undefined,0.8339775983801019
3-Dehydroshikimic acid,Organic acids,Mesorhizobium sp. URHA0056,positive,0.9999858232262555
3-Dehydroshikimic acid,Organic acids,Mesorhizobium sp. URHB0007,positive,0.9983489206252529
3-Dehydroshikimic acid,Organic acids,Mesorhizobium sp. URHC0008,positive,0.7380122838722787
3-Dehydroshikimic acid,Organic acids,Microbacterium sp. URHA0036,undefined,0.9999464394223622
3-Dehydroshikimic acid,Organic acids,Micromonosporaceae bacterium URHE0070,negative,0.7824173695028794
3-Dehydroshikimic acid,Organic acids,Mycobacterium sp. URHB0044,positive,0.9123089791459822
3-Dehydroshikimic acid,Organic acids,Mycobacterium sp. URHD0025,positive,0.8801617494565238
3-Dehydroshikimic acid,Organic acids,Nocardioides sp. URHA0020,undefined,0.9702708335735334
3-Dehydroshikimic acid,Organic acids,Nocardioides sp. URHA0032,undefined,0.53264308448877
3-Dehydroshikimic acid,Organic acids,Paenibacillus sp. URHA0014,negative,0.9999984383010893
3-Dehydroshikimic acid,Organic acids,Pseudomonas sp. URHB0015,positive,0.99693787645908
3-Dehydroshikimic acid,Organic acids,Rhodospirillales bacterium URHD0017,positive,0.9999999982980959
3-Dehydroshikimic acid,Organic acids,Rhodospirillales bacterium URHD0088,undefined,0.9999941779281786
3-Dehydroshikimic acid,Organic acids,Solirubrobacter sp. URHD0082,negative,0.9257379957488014
3-Dehydroshikimic acid,Organic acids,Solirubrobacterales bacterium URHD0059,negative,0.6326452517830878
3-Dehydroshikimic acid,Organic acids,Sphingomonas sp. URHD0007,positive,0.9981502191229973
3-Dehydroshikimic acid,Organic acids,Sphingomonas sp. URHD0057,positive,0.9999866523995655
3-Dehydroshikimic acid,Organic acids,Staphylococcus sp. URHA0057,undefined,0.999994975444108
3-Dehydroshikimic acid,Organic acids,Streptomyces sp. URHA0041,positive,0.9516318147695774
3-Dehydroshikimic acid,Organic acids,Variovorax sp. URHB0020,positive,0.9999998182276378
5-aminovaleric acid,Amino acids,Acidobacteriaceae bacterium URHE0068,positive,0.9997099340972962
5-aminovaleric acid,Amino acids,Bacillus sp. URHB0009,negative,0.9982277314181744
5-aminovaleric acid,Amino acids,Blastococcus sp. URHD0036,undefined,0.997573881120238
5-aminovaleric acid,Amino acids,Bradyrhizobium sp. URHA0002,positive,0.9999970721306304
5-aminovaleric acid,Amino acids,Bradyrhizobium sp. URHA0013,positive,0.9999977429451349
5-aminovaleric acid,Amino acids,Bradyrhizobium sp. URHD0069,positive,0.9999999949309736
5-aminovaleric acid,Amino acids,Burkholderia sp. URHA0054,positive,0.9999571604790815
5-aminovaleric acid,Amino acids,Caulobacter sp. URHA0033,positive,0.9926252414285066
5-aminovaleric acid,Amino acids,Cellulomonas sp. URHD0024,undefined,0.9999956826148921
5-aminovaleric acid,Amino acids,Cellulomonas sp. URHE0023,undefined,0.9999999999738964
5-aminovaleric acid,Amino acids,Comamonadaceae bacterium URHA0028,positive,0.9999999536676444
5-aminovaleric acid,Amino acids,Dongia sp. URHE0060,positive,0.9999999998875617
5-aminovaleric acid,Amino acids,Flavobacterium sp. URHB0058,undefined,0.9999998980407541
5-aminovaleric acid,Amino acids,Geodermatophilaceae bacterium URHA0031,negative,0.9989021165642771
5-aminovaleric acid,Amino acids,Geodermatophilaceae bacterium URHB0048,negative,0.9999799182703619
5-aminovaleric acid,Amino acids,Geodermatophilaceae bacterium URHB0062,negative,0.9998974666190019
5-aminovaleric acid,Amino acids,Intrasporangiaceae bacterium URHB0013,undefined,0.9999998093961028
5-aminovaleric acid,Amino acids,Lysobacter sp. URHA0019,undefined,0.9999999994644518
5-aminovaleric acid,Amino acids,Marmoricola sp. URHB0036,undefined,0.9999164679261157
5-aminovaleric acid,Amino acids,Mesorhizobium sp. URHA0056,positive,0.9999999737266082
5-aminovaleric acid,Amino acids,Mesorhizobium sp. URHB0007,positive,0.9999999613760954
5-aminovaleric acid,Amino acids,Mesorhizobium sp. URHC0008,positive,0.9999885829050073
5-aminovaleric acid,Amino acids,Microbacterium sp. URHA0036,undefined,0.9999999997780855
5-aminovaleric acid,Amino acids,Micromonosporaceae bacterium URHE0070,negative,0.9998632358984222
5-aminovaleric acid,Amino acids,Mycobacterium sp. URHB0044,positive,0.9889291984811643
5-aminovaleric acid,Amino acids,Mycobacterium sp. URHD0025,positive,0.9896289604515155
5-aminovaleric acid,Amino acids,Nocardioides sp. URHA0020,undefined,0.9999261193893335
5-aminovaleric acid,Amino acids,Nocardioides sp. URHA0032,undefined,0.9999988963245974
5-aminovaleric acid,Amino acids,Paenibacillus sp. URHA0014,negative,0.9999999057479012
5-aminovaleric acid,Amino acids,Pseudomonas sp. URHB0015,positive,0.9963004867552709
5-aminovaleric acid,Amino acids,Rhodospirillales bacterium URHD0017,positive,0.9999999994781447
5-aminovaleric acid,Amino acids,Rhodospirillales bacterium URHD0088,undefined,0.9999999999932762
5-aminovaleric acid,Amino acids,Solirubrobacter sp. URHD0082,negative,0.99999978717822
5-aminovaleric acid,Amino acids,Solirubrobacterales bacterium URHD0059,negative,0.9999876838601337
5-aminovaleric acid,Amino acids,Sphingomonas sp. URHD0007,positive,0.9999985076059038
5-aminovaleric acid,Amino acids,Sphingomonas sp. URHD0057,positive,0.9999999796906557
5-aminovaleric acid,Amino acids,Staphylococcus sp. URHA0057,undefined,0.9999992670531351
5-aminovaleric acid,Amino acids,Streptomyces sp. URHA0041,positive,0.9994638364524384
5-aminovaleric acid,Amino acids,Variovorax sp. URHB0020,positive,0.999999811653501
abscisic acid,Organic acids,Acidobacteriaceae bacterium URHE0068,positive,0.40429469668385065
abscisic acid,Organic acids,Bacillus sp. URHB0009,negative,0.9994363178373047
abscisic acid,Organic acids,Blastococcus sp. URHD0036,undefined,0.5864296112506385
abscisic acid,Organic acids,Bradyrhizobium sp. URHA0002,positive,0.9999879740204706
abscisic acid,Organic acids,Bradyrhizobium sp. URHA0013,positive,0.9999900232710942
abscisic acid,Organic acids,Bradyrhizobium sp. URHD0069,positive,0.999999873053162
abscisic acid,Organic acids,Burkholderia sp. URHA0054,positive,0.9999641653041319
abscisic acid,Organic acids,Caulobacter sp. URHA0033,positive,0.9902150726656287
abscisic acid,Organic acids,Cellulomonas sp. URHD0024,undefined,0.5957692044407583
abscisic acid,Organic acids,Cellulomonas sp. URHE0023,undefined,0.9265389171624119
abscisic acid,Organic acids,Comamonadaceae bacterium URHA0028,positive,0.9999999623789949
abscisic acid,Organic acids,Dongia sp. URHE0060,positive,0.9794048766994518
abscisic acid,Organic acids,Flavobacterium sp. URHB0058,undefined,0.9999999716092168
abscisic acid,Organic acids,Geodermatophilaceae bacterium URHA0031,negative,0.9646353562448811
abscisic acid,Organic acids,Geodermatophilaceae bacterium URHB0048,negative,0.8784284650241508
abscisic acid,Organic acids,Geodermatophilaceae bacterium URHB0062,negative,0.9919543788379642
abscisic acid,Organic acids,Intrasporangiaceae bacterium URHB0013,undefined,0.9997982040399339
abscisic acid,Organic acids,Lysobacter sp. URHA0019,undefined,0.9999310397832374
abscisic acid,Organic acids,Marmoricola sp. URHB0036,undefined,0.7664166699777576
abscisic acid,Organic acids,Mesorhizobium sp. URHA0056,positive,0.9999547542605711
abscisic acid,Organic acids,Mesorhizobium sp. URHB0007,positive,0.9951654133550935
abscisic acid,Organic acids,Mesorhizobium sp. URHC0008,positive,0.6558836148258123
abscisic acid,Organic acids,Microbacterium sp. URHA0036,undefined,0.9998389094635568
abscisic acid,Organic acids,Micromonosporaceae bacterium URHE0070,negative,0.7130511756917627
abscisic acid,Organic acids,Mycobacterium sp. URHB0044,positive,0.9066557785204965
abscisic acid,Organic acids,Mycobacterium sp. URHD0025,positive,0.8634404972872582
abscisic acid,Organic acids,Nocardioides sp. URHA0020,undefined,0.9513097154851372
abscisic acid,Organic acids,Nocardioides sp. URHA0032,undefined,0.4449167375282977
abscisic acid,Organic acids,Paenibacillus sp. URHA0014,negative,0.9999997933158299
abscisic acid,Organic acids,Pseudomonas sp. URHB0015,positive,0.9998126134578204
abscisic acid,Organic acids,Rhodospirillales bacterium URHD0017,positive,0.9999999999675369
abscisic acid,Organic acids,Rhodospirillales bacterium URHD0088,undefined,0.9999843933962053
abscisic acid,Organic acids,Solirubrobacter sp. URHD0082,negative,0.8736143477633652
abscisic acid,Organic acids,Solirubrobacterales bacterium URHD0059,negative,0.5442651983308989
abscisic acid,Organic acids,Sphingomonas sp. URHD0007,positive,0.9941318069585253
abscisic acid,Organic acids,Sphingomonas sp. URHD0057,positive,0.9999391883190477
abscisic acid,Organic acids,Staphylococcus sp. URHA0057,undefined,0.9999988679626363
abscisic acid,Organic acids,Streptomyces sp. URHA0041,positive,0.9387229272306038
abscisic acid,Organic acids,Variovorax sp. URHB0020,positive,0.9999999572878346
adenine,Nucleotides,Acidobacteriaceae bacterium URHE0068,positive,0.8348729475436124
adenine,Nucleotides,Bacillus sp. URHB0009,negative,0.9943484629535326
adenine,Nucleotides,Blastococcus sp. URHD0036,undefined,0.9392158495737478
adenine,Nucleotides,Bradyrhizobium sp. URHA0002,positive,0.8894229558741433
adenine,Nucleotides,Bradyrhizobium sp. URHA0013,positive,0.9534024988916348
adenine,Nucleotides,Bradyrhizobium sp. URHD0069,positive,0.6414596862518898
adenine,Nucleotides,Burkholderia sp. URHA0054,positive,0.9980775076029667
adenine,Nucleotides,Caulobacter sp. URHA0033,positive,0.9685066362359753
adenine,Nucleotides,Cellulomonas sp. URHD0024,undefined,0.9940479680546517
adenine,Nucleotides,Cellulomonas sp. URHE0023,undefined,0.9999995461752277
adenine,Nucleotides,Comamonadaceae bacterium URHA0028,positive,0.9978804519449301
adenine,Nucleotides,Dongia sp. URHE0060,positive,0.6080840230880092
adenine,Nucleotides,Flavobacterium sp. URHB0058,undefined,0.9999501682079108
adenine,Nucleotides,Geodermatophilaceae bacterium URHA0031,negative,0.9569552156555151
adenine,Nucleotides,Geodermatophilaceae bacterium URHB0048,negative,0.9959080100736448
adenine,Nucleotides,Geodermatophilaceae bacterium URHB0062,negative,0.9963239808679782
adenine,Nucleotides,Intrasporangiaceae bacterium URHB0013,undefined,0.9992680829553272
adenine,Nucleotides,Lysobacter sp. URHA0019,undefined,0.0
adenine,Nucleotides,Marmoricola sp. URHB0036,undefined,0.9246267259077017
adenine,Nucleotides,Mesorhizobium sp. URHA0056,positive,0.9998630496880152
adenine,Nucleotides,Mesorhizobium sp. URHB0007,positive,0.9903150487597319
adenine,Nucleotides,Mesorhizobium sp. URHC0008,positive,0.9000990235346581
adenine,Nucleotides,Microbacterium sp. URHA0036,undefined,0.9999986297731135
adenine,Nucleotides,Micromonosporaceae bacterium URHE0070,negative,0.8848073327987349
adenine,Nucleotides,Mycobacterium sp. URHB0044,positive,0.9310650459706777
adenine,Nucleotides,Mycobacterium sp. URHD0025,positive,0.9382337019714341
adenine,Nucleotides,Nocardioides sp. URHA0020,undefined,0.9395058837543784
adenine,Nucleotides,Nocardioides sp. URHA0032,undefined,0.9903406281727537
adenine,Nucleotides,Paenibacillus sp. URHA0014,negative,0.999885032525962
adenine,Nucleotides,Pseudomonas sp. URHB0015,positive,0.9923465747182
adenine,Nucleotides,Rhodospirillales bacterium URHD0017,positive,0.7303947029802175
adenine,Nucleotides,Rhodospirillales bacterium URHD0088,undefined,0.843874115614452
adenine,Nucleotides,Solirubrobacter sp. URHD0082,negative,0.9786552277584696
adenine,Nucleotides,Solirubrobacterales bacterium URHD0059,negative,0.5515101013168769
adenine,Nucleotides,Sphingomonas sp. URHD0007,positive,0.993542155054314
adenine,Nucleotides,Sphingomonas sp. URHD0057,positive,0.0
adenine,Nucleotides,Staphylococcus sp. URHA0057,undefined,0.9999905241850133
adenine,Nucleotides,Streptomyces sp. URHA0041,positive,0.974928094507663
adenine,Nucleotides,Variovorax sp. URHB0020,positive,0.9959259305454661
adenosine,Nucleotides,Acidobacteriaceae bacterium URHE0068,positive,0.6548664621241959
adenosine,Nucleotides,Bacillus sp. URHB0009,negative,0.9973970997763014
adenosine,Nucleotides,Blastococcus sp. URHD0036,undefined,0.8677892733359865
adenosine,Nucleotides,Bradyrhizobium sp. URHA0002,positive,0.7139900459564754
adenosine,Nucleotides,Bradyrhizobium sp. URHA0013,positive,0.8316346489042802
adenosine,Nucleotides,Bradyrhizobium sp. URHD0069,positive,0.4190061897259672
adenosine,Nucleotides,Burkholderia sp. URHA0054,positive,0.9954872233498936
adenosine,Nucleotides,Caulobacter sp. URHA0033,positive,0.946634808116361
adenosine,Nucleotides,Cellulomonas sp. URHD0024,undefined,0.9674135218168399
adenosine,Nucleotides,Cellulomonas sp. URHE0023,undefined,0.9999561452131751
adenosine,Nucleotides,Comamonadaceae bacterium URHA0028,positive,0.9683342540697706
adenosine,Nucleotides,Dongia sp. URHE0060,positive,0.3879053555658502
adenosine,Nucleotides,Flavobacterium sp. URHB0058,undefined,0.999364768739116
adenosine,Nucleotides,Geodermatophilaceae bacterium URHA0031,negative,0.8950514701892659
adenosine,Nucleotides,Geodermatophilaceae bacterium URHB0048,negative,0.9805748167200891
adenosine,Nucleotides,Geodermatophilaceae bacterium URHB0062,negative,0.9900970709210728
adenosine,Nucleotides,Intrasporangiaceae bacterium URHB0013,undefined,0.9921724932722762
adenosine,Nucleotides,Lysobacter sp. URHA0019,undefined,0.0
adenosine,Nucleotides,Marmoricola sp. URHB0036,undefined,0.7833024800838783
adenosine,Nucleotides,Mesorhizobium sp. URHA0056,positive,0.9956386140658131
adenosine,Nucleotides,Mesorhizobium sp. URHB0007,positive,0.9271716037219199
adenosine,Nucleotides,Mesorhizobium sp. URHC0008,positive,0.7385561663689099
adenosine,Nucleotides,Microbacterium sp. URHA0036,undefined,0.9999515667783967
adenosine,Nucleotides,Micromonosporaceae bacterium URHE0070,negative,0.7292039829369577
adenosine,Nucleotides,Mycobacterium sp. URHB0044,positive,0.8807320034955083
adenosine,Nucleotides,Mycobacterium sp. URHD0025,positive,0.8952113174382024
adenosine,Nucleotides,Nocardioides sp. URHA0020,undefined,0.8111218721499519
adenosine,Nucleotides,Nocardioides sp. URHA0032,undefined,0.9444124280847511
adenosine,Nucleotides,Paenibacillus sp. URHA0014,negative,0.9992007564984813
adenosine,Nucleotides,Pseudomonas sp. URHB0015,positive,0.9981367656829696
adenosine,Nucleotides,Rhodospirillales bacterium URHD0017,positive,0.5019377239211407
adenosine,Nucleotides,Rhodospirillales bacterium URHD0088,undefined,0.6286511117391461
adenosine,Nucleotides,Solirubrobacter sp. URHD0082,negative,0.888473970461233
adenosine,Nucleotides,Solirubrobacterales bacterium URHD0059,negative,0.3481155786123227
adenosine,Nucleotides,Sphingomonas sp. URHD0007,positive,0.9402551918921784
adenosine,Nucleotides,Sphingomonas sp. URHD0057,positive,0.0
adenosine,Nucleotides,Staphylococcus sp. URHA0057,undefined,0.9999913716298425
adenosine,Nucleotides,Streptomyces sp. URHA0041,positive,0.9365197580000247
adenosine,Nucleotides,Variovorax sp. URHB0020,positive,0.9629337761965215
alanine,Amino acids,Acidobacteriaceae bacterium URHE0068,positive,0.9972604787342819
alanine,Amino acids,Bacillus sp. URHB0009,negative,0.9865397803737707
alanine,Amino acids,Blastococcus sp. URHD0036,undefined,0.986005799486874
alanine,Amino acids,Bradyrhizobium sp. URHA0002,positive,0.9999310881834208
alanine,Amino acids,Bradyrhizobium sp. URHA0013,positive,0.999971970434059
alanine,Amino acids,Bradyrhizobium sp. URHD0069,positive,0.999999271207218
alanine,Amino acids,Burkholderia sp. URHA0054,positive,0.9991068375661346
alanine,Amino acids,Caulobacter sp. URHA0033,positive,0.9742174632606977
alanine,Amino acids,Cellulomonas sp. URHD0024,undefined,0.9999062773085425
alanine,Amino acids,Cellulomonas sp. URHE0023,undefined,0.9999999997561232
alanine,Amino acids,Comamonadaceae bacterium URHA0028,positive,0.9999999037948631
alanine,Amino acids,Dongia sp. URHE0060,positive,0.9999999818245336
alanine,Amino acids,Flavobacterium sp. URHB0058,undefined,0.9999984422452992
alanine,Amino acids,Geodermatophilaceae bacterium URHA0031,negative,0.9922353166129816
alanine,Amino acids,Geodermatophilaceae bacterium URHB0048,negative,0.9997129780850379
alanine,Amino acids,Geodermatophilaceae bacterium URHB0062,negative,0.9986172068299896
alanine,Amino acids,Intrasporangiaceae bacterium URHB0013,undefined,0.9999968483075751
alanine,Amino acids,Lysobacter sp. URHA0019,undefined,0.9999999753649105
alanine,Amino acids,Marmoricola sp. URHB0036,undefined,0.9994468290818266
alanine,Amino acids,Mesorhizobium sp. URHA0056,positive,0.9999999266276026
alanine,Amino acids,Mesorhizobium sp. URHB0007,positive,0.9999998464072002
alanine,Amino acids,Mesorhizobium sp. URHC0008,positive,0.9997486928108219
alanine,Amino acids,Microbacterium sp. URHA0036,undefined,0.9999999927558817
alanine,Amino acids,Micromonosporaceae bacterium URHE0070,negative,0.9981746389041507
alanine,Amino acids,Mycobacterium sp. URHB0044,positive,0.9615133651029009
alanine,Amino acids,Mycobacterium sp. URHD0025,positive,0.9628367929848474
alanine,Amino acids,Nocardioides sp. URHA0020,undefined,0.999562222955681
alanine,Amino acids,Nocardioides sp. URHA0032,undefined,0.9999744832801406
alanine,Amino acids,Paenibacillus sp. URHA0014,negative,0.9999921910660554
alanine,Amino acids,Pseudomonas sp. URHB0015,positive,0.9768291059320916
alanine,Amino acids,Rhodospirillales bacterium URHD0017,positive,0.9999998622751659
alanine,Amino acids,Rhodospirillales bacterium URHD0088,undefined,0.9999999982589539
alanine,Amino acids,Solirubrobacter sp. URHD0082,negative,0.99999807771445
alanine,Amino acids,Solirubrobacterales bacterium URHD0059,negative,0.9997967716544526
alanine,Amino acids,Sphingomonas sp. URHD0007,positive,0.9999987712615149
alanine,Amino acids,Sphingomonas sp. URHD0057,positive,0.9999999627838155
alanine,Amino acids,Staphylococcus sp. URHA0057,undefined,0.9999820814439542
alanine,Amino acids,Streptomyces sp. URHA0041,positive,0.9948112970496581
