,BGE,BP,BR,rgrowth,xenzyme,rGco2,rMco2,rXco2,jEX,jDE,jDEco2,jD,jED,jV,jE,dreserve,response,isolate,class,phylum,mingt,rrn,genomesize,kM,alphaenz,gV0,kE,yEV,NSB,KD,yDE,monomer,ontology,eta
52,0.441384333,1.44E-09,1.81E-09,0.015773096,6.08E-05,0.000478608,7.93E-06,1.84E-06,2.62E-06,0.001175267,0.00023159,0.001406857,2.00E-06,0.000947478,2.00E-06,0.015912214,negative,Geodermatophilaceae bacterium URHA0031,Actinobacteria,Actinobacteria,2.72,9,5236918,2.43E-05,0.003851715,0.287819287,1.713242229,1.704336196,7.23E-09,0.00189753,0.164615385,"2,3-Dihydroxybenzoic acid",Organic acids,0.093505142
53,0.390992057,4.11E-10,6.40E-10,0.006455261,1.67E-05,7.51E-07,2.28E-10,1.95E-09,3.36E-09,2.16E-07,4.25E-08,2.58E-07,3.81E-09,5.80E-08,3.81E-09,0.0068998,negative,Geodermatophilaceae bacterium URHB0048,Actinobacteria,Actinobacteria,3.6,7,4705879,1.08E-05,0.002592987,0.272466395,1.49028861,1.580239892,2.71E-09,0.001415317,0.164615385,"2,3-Dihydroxybenzoic acid",Organic acids,0.093505142
54,0.445811014,1.65E-09,2.04E-09,0.017787004,5.31E-05,0.000498519,6.64E-06,1.49E-06,2.11E-06,0.001220408,0.000240486,0.001460893,2.00E-06,0.001013511,2.00E-06,0.016470879,negative,Geodermatophilaceae bacterium URHB0062,Actinobacteria,Actinobacteria,2.24,9,5093035,1.99E-05,0.002982621,0.301987954,1.865010579,1.704336196,8.17E-09,0.001960263,0.164615385,"2,3-Dihydroxybenzoic acid",Organic acids,0.093505142
55,0.512172248,1.85E-09,1.74E-09,0.019431361,7.10E-05,0.000497667,3.69E-06,1.82E-06,3.55E-06,0.001480233,0.000291685,0.001771918,2.43E-06,0.001262335,2.43E-06,0.016019173,undefined,Intrasporangiaceae bacterium URHB0013,Actinobacteria,Actinobacteria,2.25,6,4567713,8.87E-06,0.003652758,0.301622692,1.861580257,1.51268153,7.97E-09,0.001818433,0.164615385,"2,3-Dihydroxybenzoic acid",Organic acids,0.093505142
56,0.553865067,2.19E-09,1.66E-09,0.021232769,4.26E-05,0.000445873,4.17E-07,8.95E-07,2.04E-06,0.001464822,0.000288648,0.001753471,3.20E-06,0.00140622,3.20E-06,0.026076396,undefined,Lysobacter sp. URHA0019,Gammaproteobacteria,Proteobacteria,5.26,5,3223982,7.71E-07,0.002008287,0.258279697,1.196038209,1.439874503,8.66E-09,0.001636513,0.164615385,"2,3-Dihydroxybenzoic acid",Organic acids,0.093505142
57,0.478774627,2.79E-10,3.13E-10,0.005530565,1.51E-05,2.47E-07,3.52E-10,6.74E-10,2.51E-09,1.80E-07,3.54E-08,2.15E-07,2.27E-09,7.31E-08,2.27E-09,0.004945471,undefined,Marmoricola sp. URHB0036,Actinobacteria,Actinobacteria,3.88,3,4829548,1.31E-05,0.002732841,0.269155142,1.430956861,1.268776278,1.77E-09,0.00134552,0.164615385,"2,3-Dihydroxybenzoic acid",Organic acids,0.093505142
58,0.445747202,3.24E-10,4.09E-10,0.005706202,1.37E-05,1.12E-06,8.13E-09,2.70E-09,7.49E-09,5.54E-07,1.09E-07,6.63E-07,8.94E-09,1.90E-07,8.94E-09,0.006185697,positive,Mesorhizobium sp. URHA0056,Alphaproteobacteria,Proteobacteria,4.7,4,6306952,0.000113467,0.002408548,0.261873106,1.281439027,1.359773371,2.04E-09,0.001513302,0.164615385,"2,3-Dihydroxybenzoic acid",Organic acids,0.093505142
59,0.342893157,1.51E-10,5.03E-10,0.009399356,2.62E-05,3.22E-07,5.28E-09,8.99E-10,2.50E-09,3.44E-07,6.77E-08,4.11E-07,2.65E-09,1.63E-07,2.65E-09,0.010561782,positive,Mesorhizobium sp. URHB0007,Alphaproteobacteria,Proteobacteria,5.01,4,6069513,8.51E-05,0.002789973,0.259778595,1.232718085,1.359773371,1.46E-09,0.001409781,0.164615385,"2,3-Dihydroxybenzoic acid",Organic acids,0.093505142
61,0.493533295,1.33E-09,1.37E-09,0.015201841,4.69E-05,2.87E-06,5.37E-10,8.84E-09,1.73E-08,3.49E-06,6.88E-07,4.18E-06,3.68E-08,4.89E-07,3.68E-08,0.011501126,undefined,Microbacterium sp. URHA0036,Actinobacteria,Actinobacteria,1.82,6,4034872,3.58E-06,0.003085924,0.321573906,2.021099712,1.51268153,6.14E-09,0.001593009,0.164615385,"2,3-Dihydroxybenzoic acid",Organic acids,0.093505142
63,0.417651594,7.63E-10,1.06E-09,0.009527233,1.62E-05,9.96E-06,4.25E-08,1.69E-08,2.62E-08,2.01E-06,3.96E-07,2.41E-06,6.04E-08,3.33E-07,6.04E-08,0.012052176,positive,Mycobacterium sp. URHB0044,Actinobacteria,Actinobacteria,4.36,8,7485871,0.000341132,0.001696574,0.264536854,1.339486862,1.643835616,4.27E-09,0.001933881,0.164615385,"2,3-Dihydroxybenzoic acid",Organic acids,0.093505142
64,0.443487304,7.79E-10,9.78E-10,0.009728145,1.35E-05,6.92E-06,1.35E-08,9.57E-09,1.65E-08,1.48E-06,2.91E-07,1.77E-06,4.24E-08,2.58E-07,4.24E-08,0.01085384,positive,Mycobacterium sp. URHD0025,Actinobacteria,Actinobacteria,3.83,7,6657122,0.000142938,0.001384077,0.269708105,1.441204817,1.580239892,4.13E-09,0.001786458,0.164615385,"2,3-Dihydroxybenzoic acid",Organic acids,0.093505142
65,0.352019364,5.79E-10,1.07E-09,0.00776532,2.27E-05,1.62E-06,2.01E-10,4.74E-09,5.44E-09,2.86E-07,5.64E-08,3.43E-07,8.83E-09,5.00E-08,8.83E-09,0.013784897,undefined,Nocardioides sp. URHA0020,Actinobacteria,Actinobacteria,6.28,12,4684622,1.03E-05,0.002923702,0.253460556,1.066517473,1.872678994,3.88E-09,0.001502128,0.164615385,"2,3-Dihydroxybenzoic acid",Organic acids,0.093505142
67,0.291580004,1.42E-09,3.44E-09,0.016278906,0.000162789,0.000369816,2.48E-05,3.70E-06,2.62E-06,0.000715482,0.000140988,0.00085647,1.16E-06,0.000273744,1.16E-06,0.018385407,negative,Paenibacillus sp. URHA0014,Bacilli,Firmicutes,1.43,23,7371174,0.000323379,0.01,0.352352262,2.190244495,2.41130031,1.07E-08,0.003103304,0.164615385,"2,3-Dihydroxybenzoic acid",Organic acids,0.093505142
68,0.505829013,9.06E-09,7.63E-09,0.075843244,0.000115608,0.000831565,3.26E-05,1.27E-06,1.97E-06,0.002194461,0.000432426,0.002626886,3.97E-06,0.001295358,3.97E-06,0.053050319,positive,Pseudomonas sp. URHB0015,Gammaproteobacteria,Proteobacteria,0.96,8,6208105,0.000110284,0.001524297,0.434182184,2.431609475,1.643835616,3.89E-08,0.007592067,0.164615385,"2,3-Dihydroxybenzoic acid",Organic acids,0.093505142
69,0.627960741,2.88E-09,1.62E-09,0.027150959,5.04E-05,0.000201546,0.000343769,3.74E-07,1.39E-06,0.001505172,0.000296599,0.001801771,3.87E-06,0.001114287,3.87E-06,0.036810646,positive,Rhodospirillales bacterium URHD0017,Alphaproteobacteria,Proteobacteria,7.05,3,8179139,0.000779474,0.001857236,0.250785955,0.985893885,1.268776278,1.00E-08,0.003569793,0.164615385,"2,3-Dihydroxybenzoic acid",Organic acids,0.093505142
70,0.366879709,4.50E-10,7.77E-10,0.006575007,1.38E-05,3.34E-06,1.20E-08,7.01E-09,9.96E-09,8.28E-07,1.63E-07,9.92E-07,2.21E-08,1.82E-07,2.21E-08,0.012142686,undefined,Rhodospirillales bacterium URHD0088,Alphaproteobacteria,Proteobacteria,7.49,9,6646877,0.000166234,0.002098048,0.249514533,0.945063193,1.704336196,3.03E-09,0.001703916,0.164615385,"2,3-Dihydroxybenzoic acid",Organic acids,0.093505142
73,0.597348674,9.38E-10,6.32E-10,0.010983228,4.47E-05,3.20E-07,6.61E-12,1.30E-09,4.84E-09,2.44E-07,4.81E-08,2.92E-07,7.22E-09,4.43E-08,7.22E-09,0.013284671,positive,Sphingomonas sp. URHD0007,Alphaproteobacteria,Proteobacteria,6.3,3,2934896,3.83E-07,0.004072804,0.253382415,1.064257172,1.268776278,3.74E-09,0.001359773,0.164615385,"2,3-Dihydroxybenzoic acid",Organic acids,0.093505142
74,0.635692894,2.31E-09,1.20E-09,0.021956449,4.51E-05,0.000345499,1.73E-07,7.10E-07,2.64E-06,0.001637223,0.00032262,0.001959843,4.12E-06,0.001685303,4.12E-06,0.028175049,positive,Sphingomonas sp. URHD0057,Alphaproteobacteria,Proteobacteria,6.78,3,2785891,2.60E-07,0.002055932,0.25165153,1.012740988,1.268776278,8.02E-09,0.001516442,0.164615385,"2,3-Dihydroxybenzoic acid",Organic acids,0.093505142
75,0.439135341,1.19E-08,8.58E-09,0.084371419,0.00014833,0.001096336,5.27E-08,1.93E-06,2.08E-06,0.002279101,0.000449105,0.002728206,4.70E-06,0.002100631,4.70E-06,0.065918198,undefined,Staphylococcus sp. URHA0057,Bacilli,Firmicutes,0.75,13,2549675,1.31E-07,0.001758056,0.518724026,2.553415178,1.925598275,5.97E-08,0.003194866,0.164615385,"2,3-Dihydroxybenzoic acid",Organic acids,0.093505142
76,0.226841305,2.39E-10,8.42E-10,0.005120358,2.88E-05,1.90E-06,5.41E-08,1.07E-08,1.10E-08,9.74E-07,1.92E-07,1.17E-06,7.96E-09,2.57E-07,7.96E-09,0.007712186,positive,Streptomyces sp. URHA0041,Actinobacteria,Actinobacteria,4.04,14,8015544,0.000569173,0.005623291,0.267484565,1.399116158,1.977331951,2.71E-09,0.001722912,0.164615385,"2,3-Dihydroxybenzoic acid",Organic acids,0.093505142
77,0.434447992,2.91E-09,3.57E-09,0.027153299,5.71E-05,0.00045507,5.34E-05,9.57E-07,1.10E-06,0.001062674,0.000209403,0.001272077,3.04E-06,0.000816305,3.04E-06,0.060236028,positive,Variovorax sp. URHB0020,Betaproteobacteria,Proteobacteria,8.33,12,6632341,0.000163299,0.002102646,0.247473855,0.875808688,1.872678994,1.48E-08,0.003650982,0.164615385,"2,3-Dihydroxybenzoic acid",Organic acids,0.093505142
79,0.358033562,4.88E-09,7.79E-09,0.042850206,0.000140896,0.000722563,6.88E-06,2.38E-06,1.87E-06,0.001309224,0.000257987,0.001567211,2.16E-06,0.000818286,2.16E-06,0.044294086,negative,Bacillus sp. URHB0009,Bacilli,Firmicutes,1.31,20,5377210,3.11E-05,0.00328811,0.366392402,2.247728614,2.270981174,2.93E-08,0.004503198,0.164615385,3-Dehydroshikimic acid,Organic acids,0.093505142
80,0.255902864,1.62E-10,5.31E-10,0.005186009,1.20E-05,2.71E-07,6.03E-10,6.27E-10,9.73E-10,1.95E-07,3.85E-08,2.34E-07,1.19E-09,7.84E-08,1.19E-09,0.005066843,undefined,Blastococcus sp. URHD0036,Actinobacteria,Actinobacteria,2.78,8,5177578,2.23E-05,0.002308658,0.286429607,1.695966091,1.643835616,1.91E-09,0.001439069,0.164615385,3-Dehydroshikimic acid,Organic acids,0.093505142
81,0.629659294,2.29E-09,1.32E-09,0.022742608,3.33E-05,0.000289319,0.000115032,4.24E-07,1.58E-06,0.001541229,0.000303704,0.001844934,3.64E-06,0.001236235,3.64E-06,0.027338638,positive,Bradyrhizobium sp. URHA0002,Alphaproteobacteria,Proteobacteria,6.09,3,6972827,0.000238226,0.001464266,0.254229781,1.088478186,1.268776278,8.01E-09,0.002768167,0.164615385,3-Dehydroshikimic acid,Organic acids,0.093505142
82,0.622989106,2.01E-09,1.20E-09,0.020296161,3.86E-05,0.000280965,0.000145667,5.35E-07,1.99E-06,0.00147802,0.000291249,0.001769269,3.38E-06,0.001248276,3.38E-06,0.023464332,positive,Bradyrhizobium sp. URHA0013,Alphaproteobacteria,Proteobacteria,5.73,3,7193102,0.000300641,0.001904107,0.255834623,1.132663739,1.268776278,7.15E-09,0.002678417,0.164615385,3-Dehydroshikimic acid,Organic acids,0.093505142
83,0.628950696,2.23E-09,1.28E-09,0.022113453,3.73E-05,0.000299426,9.92E-05,5.05E-07,1.88E-06,0.001559031,0.000307212,0.001866243,3.43E-06,0.001309369,3.43E-06,0.024283616,positive,Bradyrhizobium sp. URHD0069,Alphaproteobacteria,Proteobacteria,5.32,3,6793945,0.000196846,0.00168609,0.257942124,1.187556721,1.268776278,7.82E-09,0.002671771,0.164615385,3-Dehydroshikimic acid,Organic acids,0.093505142
84,0.440954071,2.29E-09,2.85E-09,0.023150196,4.14E-05,0.000441077,7.55E-05,7.88E-07,1.03E-06,0.001124227,0.000221533,0.001345759,1.87E-06,0.000692102,1.87E-06,0.02316116,positive,Burkholderia sp. URHA0054,Betaproteobacteria,Proteobacteria,2.43,10,7244804,0.00032562,0.0017874,0.295626127,1.801882877,1.762357889,1.12E-08,0.003582105,0.164615385,3-Dehydroshikimic acid,Organic acids,0.093505142
85,0.639047903,3.38E-09,1.82E-09,0.031947873,0.00023125,0.000366064,2.65E-05,2.65E-06,9.86E-06,0.001779581,0.000350672,0.002130253,3.07E-06,0.001506523,3.07E-06,0.025071406,positive,Caulobacter sp. URHA0033,Alphaproteobacteria,Proteobacteria,2.9,3,5642219,5.03E-05,0.007238338,0.283840831,1.662426368,1.268776278,1.15E-08,0.002809195,0.164615385,3-Dehydroshikimic acid,Organic acids,0.093505142
88,0.573300656,4.23E-09,2.63E-09,0.036673732,7.82E-05,0.000445726,9.19E-06,9.51E-07,2.16E-06,0.001476134,0.000290877,0.001767011,3.54E-06,0.001351713,3.54E-06,0.051175451,positive,Comamonadaceae bacterium URHA0028,Betaproteobacteria,Proteobacteria,6.24,5,4904121,1.73E-05,0.002132716,0.253618415,1.071066953,1.439874503,1.61E-08,0.002947917,0.164615385,3-Dehydroshikimic acid,Organic acids,0.093505142
89,0.335394641,1.09E-10,4.02E-10,0.009880259,2.43E-05,2.10E-07,5.53E-09,5.17E-10,1.92E-09,3.02E-07,5.95E-08,3.61E-07,2.40E-09,1.68E-07,2.40E-09,0.011753107,positive,Dongia sp. URHE0060,Alphaproteobacteria,Proteobacteria,6.09,3,6067264,8.46E-05,0.002462653,0.254229781,1.088478186,1.268776278,1.22E-09,0.001433704,0.164615385,3-Dehydroshikimic acid,Organic acids,0.093505142
90,0.499408826,4.64E-09,4.04E-09,0.040081875,0.000288203,0.00053891,1.28E-05,3.87E-06,6.02E-06,0.001404883,0.000276837,0.00168172,2.53E-06,0.001194914,2.53E-06,0.0439033,undefined,Flavobacterium sp. URHB0058,Flavobacteria,Bacteroidetes,3.33,8,5264264,2.98E-05,0.007190364,0.276235383,1.552321204,1.643835616,2.01E-08,0.003664937,0.164615385,3-Dehydroshikimic acid,Organic acids,0.093505142
91,0.441380466,1.44E-09,1.82E-09,0.015801739,6.09E-05,0.000475549,6.44E-06,1.83E-06,2.60E-06,0.001167755,0.00023011,0.001397866,1.99E-06,0.00077026,1.99E-06,0.015941352,negative,Geodermatophilaceae bacterium URHA0031,Actinobacteria,Actinobacteria,2.72,9,5236918,2.43E-05,0.003851715,0.287819287,1.713242229,1.704336196,7.23E-09,0.001980254,0.164615385,3-Dehydroshikimic acid,Organic acids,0.093505142
92,0.390983214,4.11E-10,6.40E-10,0.006454945,1.67E-05,7.51E-07,2.28E-10,1.95E-09,3.36E-09,2.16E-07,4.25E-08,2.58E-07,3.81E-09,5.80E-08,3.81E-09,0.00689946,negative,Geodermatophilaceae bacterium URHB0048,Actinobacteria,Actinobacteria,3.6,7,4705879,1.08E-05,0.002592987,0.272466395,1.49028861,1.580239892,2.71E-09,0.001477018,0.164615385,3-Dehydroshikimic acid,Organic acids,0.093505142
93,0.445807377,1.65E-09,2.05E-09,0.017821251,5.32E-05,0.000497605,6.23E-06,1.48E-06,2.11E-06,0.00121817,0.000240045,0.001458214,2.00E-06,0.00095244,2.00E-06,0.016502878,negative,Geodermatophilaceae bacterium URHB0062,Actinobacteria,Actinobacteria,2.24,9,5093035,1.99E-05,0.002982621,0.301987954,1.865010579,1.704336196,8.17E-09,0.002045722,0.164615385,3-Dehydroshikimic acid,Organic acids,0.093505142
94,0.512169165,1.85E-09,1.74E-09,0.019408001,7.09E-05,0.000491342,3.56E-06,1.79E-06,3.50E-06,0.001461421,0.000287978,0.001749399,2.40E-06,0.001218617,2.40E-06,0.015999717,undefined,Intrasporangiaceae bacterium URHB0013,Actinobacteria,Actinobacteria,2.25,6,4567713,8.87E-06,0.003652758,0.301622692,1.861580257,1.51268153,7.97E-09,0.001897709,0.164615385,3-Dehydroshikimic acid,Organic acids,0.093505142
95,0.553863033,2.19E-09,1.59E-09,0.020692804,4.16E-05,0.000445524,4.14E-07,8.95E-07,2.03E-06,0.001463675,0.000288422,0.001752097,3.20E-06,0.00139769,3.20E-06,0.025401595,undefined,Lysobacter sp. URHA0019,Gammaproteobacteria,Proteobacteria,5.26,5,3223982,7.71E-07,0.002008287,0.258279697,1.196038209,1.439874503,8.66E-09,0.001707858,0.164615385,3-Dehydroshikimic acid,Organic acids,0.093505142
96,0.478761834,2.79E-10,3.13E-10,0.005530321,1.51E-05,2.47E-07,3.52E-10,6.74E-10,2.51E-09,1.80E-07,3.54E-08,2.15E-07,2.27E-09,7.31E-08,2.27E-09,0.004945252,undefined,Marmoricola sp. URHB0036,Actinobacteria,Actinobacteria,3.88,3,4829548,1.31E-05,0.002732841,0.269155142,1.430956861,1.268776278,1.77E-09,0.001404179,0.164615385,3-Dehydroshikimic acid,Organic acids,0.093505142
97,0.445734676,3.24E-10,4.09E-10,0.005705906,1.37E-05,1.12E-06,8.13E-09,2.70E-09,7.49E-09,5.54E-07,1.09E-07,6.63E-07,8.94E-09,1.90E-07,8.94E-09,0.006185379,positive,Mesorhizobium sp. URHA0056,Alphaproteobacteria,Proteobacteria,4.7,4,6306952,0.000113467,0.002408548,0.261873106,1.281439027,1.359773371,2.04E-09,0.001579275,0.164615385,3-Dehydroshikimic acid,Organic acids,0.093505142
98,0.342871011,1.51E-10,5.03E-10,0.009399162,2.62E-05,3.22E-07,5.28E-09,8.99E-10,2.50E-09,3.44E-07,6.77E-08,4.11E-07,2.65E-09,1.63E-07,2.65E-09,0.010561564,positive,Mesorhizobium sp. URHB0007,Alphaproteobacteria,Proteobacteria,5.01,4,6069513,8.51E-05,0.002789973,0.259778595,1.232718085,1.359773371,1.46E-09,0.001471241,0.164615385,3-Dehydroshikimic acid,Organic acids,0.093505142
100,0.493529408,1.33E-09,1.37E-09,0.015201003,4.69E-05,2.87E-06,5.37E-10,8.84E-09,1.73E-08,3.49E-06,6.88E-07,4.18E-06,3.68E-08,4.89E-07,3.68E-08,0.011500487,undefined,Microbacterium sp. URHA0036,Actinobacteria,Actinobacteria,1.82,6,4034872,3.58E-06,0.003085924,0.321573906,2.021099712,1.51268153,6.14E-09,0.001662457,0.164615385,3-Dehydroshikimic acid,Organic acids,0.093505142
102,0.417644234,7.63E-10,1.06E-09,0.009526583,1.62E-05,9.96E-06,4.25E-08,1.69E-08,2.62E-08,2.01E-06,3.96E-07,2.41E-06,6.03E-08,3.33E-07,6.03E-08,0.012051365,positive,Mycobacterium sp. URHB0044,Actinobacteria,Actinobacteria,4.36,8,7485871,0.000341132,0.001696574,0.264536854,1.339486862,1.643835616,4.27E-09,0.002018189,0.164615385,3-Dehydroshikimic acid,Organic acids,0.093505142
103,0.443480875,7.79E-10,9.78E-10,0.009727539,1.35E-05,6.92E-06,1.35E-08,9.57E-09,1.65E-08,1.48E-06,2.91E-07,1.77E-06,4.24E-08,2.58E-07,4.24E-08,0.010853165,positive,Mycobacterium sp. URHD0025,Actinobacteria,Actinobacteria,3.83,7,6657122,0.000142938,0.001384077,0.269708105,1.441204817,1.580239892,4.13E-09,0.00186434,0.164615385,3-Dehydroshikimic acid,Organic acids,0.093505142
104,0.352013358,5.79E-10,1.07E-09,0.007764916,2.27E-05,1.62E-06,2.01E-10,4.74E-09,5.44E-09,2.86E-07,5.64E-08,3.43E-07,8.83E-09,5.00E-08,8.83E-09,0.013784176,undefined,Nocardioides sp. URHA0020,Actinobacteria,Actinobacteria,6.28,12,4684622,1.03E-05,0.002923702,0.253460556,1.066517473,1.872678994,3.88E-09,0.001567614,0.164615385,3-Dehydroshikimic acid,Organic acids,0.093505142
106,0.291572826,1.42E-09,3.44E-09,0.016276663,0.000162767,0.000379828,2.48E-05,3.80E-06,2.69E-06,0.000734841,0.000144803,0.000879644,1.20E-06,0.000273695,1.20E-06,0.018382876,negative,Paenibacillus sp. URHA0014,Bacilli,Firmicutes,1.43,23,7371174,0.000323379,0.01,0.352352262,2.190244495,2.41130031,1.07E-08,0.003238595,0.164615385,3-Dehydroshikimic acid,Organic acids,0.093505142
107,0.505820766,9.06E-09,7.59E-09,0.07552693,0.000115125,0.000829412,3.18E-05,1.26E-06,1.96E-06,0.002188779,0.000431306,0.002620086,3.95E-06,0.001262908,3.95E-06,0.052822168,positive,Pseudomonas sp. URHB0015,Gammaproteobacteria,Proteobacteria,0.96,8,6208105,0.000110284,0.001524297,0.434182184,2.431609475,1.643835616,3.89E-08,0.007923047,0.164615385,3-Dehydroshikimic acid,Organic acids,0.093505142
108,0.627955144,2.88E-09,1.63E-09,0.027271394,5.06E-05,0.000202397,0.00033356,3.76E-07,1.40E-06,0.001486024,0.000292826,0.00177885,3.83E-06,0.00108131,3.83E-06,0.036975016,positive,Rhodospirillales bacterium URHD0017,Alphaproteobacteria,Proteobacteria,7.05,3,8179139,0.000779474,0.001857236,0.250785955,0.985893885,1.268776278,1.00E-08,0.00372542,0.164615385,3-Dehydroshikimic acid,Organic acids,0.093505142
109,0.366870503,4.50E-10,7.77E-10,0.006574615,1.38E-05,3.34E-06,1.20E-08,7.01E-09,9.96E-09,8.28E-07,1.63E-07,9.91E-07,2.21E-08,1.82E-07,2.21E-08,0.012141966,undefined,Rhodospirillales bacterium URHD0088,Alphaproteobacteria,Proteobacteria,7.49,9,6646877,0.000166234,0.002098048,0.249514533,0.945063193,1.704336196,3.03E-09,0.001778199,0.164615385,3-Dehydroshikimic acid,Organic acids,0.093505142
112,0.597345142,9.38E-10,6.32E-10,0.010982712,4.47E-05,3.20E-07,6.61E-12,1.30E-09,4.84E-09,2.44E-07,4.81E-08,2.92E-07,7.22E-09,4.43E-08,7.22E-09,0.013284041,positive,Sphingomonas sp. URHD0007,Alphaproteobacteria,Proteobacteria,6.3,3,2934896,3.83E-07,0.004072804,0.253382415,1.064257172,1.268776278,3.74E-09,0.001419053,0.164615385,3-Dehydroshikimic acid,Organic acids,0.093505142
