isolate,response,sample,relabundance,rgrowth,BR,BP,CUE,biomass,measurement
Variovorax sp. URHB0020,positive,week0,0.026543547804431987,0.8674989806113297,7.32500087960291e-8,-7.989714222274174e-8,-Inf,2.1677607909863623e-6,0.026543547804431994
Marmoricola sp. URHB0036,undefined,week0,0.002308134618591047,0.8674989806113297,7.567609544815987e-9,-8.117671689472019e-9,-Inf,1.8850094054361867e-7,0.002308134618591047
Mycobacterium sp. URHB0044,positive,week0,0.008944021535325149,0.8674989806113297,2.8217182003076032e-8,-3.035556319714034e-8,-Inf,7.30441135482959e-7,0.00894402153532515
Geodermatophilaceae bacterium URHB0048,negative,week0,0.08251581170372173,0.8674989806113297,1.9370970332068452e-7,-2.132664093190134e-7,-Inf,6.738908550042236e-6,0.08251581170372174
Flavobacterium sp. URHB0058,undefined,week0,0.0005770336718347089,0.8674989806113297,4.1914564115802085e-9,-4.36996235852506e-9,-Inf,4.7125236539529775e-8,0.000577033671834709
Geodermatophilaceae bacterium URHB0062,negative,week0,0.055106713425911565,0.8674989806113297,3.9693428450023656e-7,-4.1215653959110125e-7,-Inf,4.500459907053829e-6,0.05510671342591157
Mesorhizobium sp. URHC0008,positive,week0,0.001731100946756338,0.8674989806113297,1.0328697073906208e-8,-1.0734318289658984e-8,-Inf,1.4137570400408889e-7,0.0017311009467563382
Sphingomonas sp. URHD0007,positive,week0,0.12146558293699153,0.8674989806113297,7.066090441290886e-7,-7.353664747241017e-7,-Inf,9.919861884519735e-6,0.12146558293699156
Rhodospirillales bacterium URHD0017,positive,week0,0.002019617817047587,0.8674989806113297,1.273809873313603e-8,-1.3203702145697667e-8,-Inf,1.6493832508110402e-7,0.002019617817047587
Cellulomonas sp. URHD0024,undefined,week0,0.0005770336718347089,0.8674989806113297,2.2614348161692795e-9,-2.401587407179604e-9,-Inf,4.7125236539529775e-8,0.000577033671834709
Mycobacterium sp. URHD0025,positive,week0,0.008944021535325149,0.8674989806113297,1.7949787197249647e-7,-1.833614761990567e-7,-Inf,7.30441135482959e-7,0.00894402153532515
Blastococcus sp. URHD0036,undefined,week0,0.001154067274921629,0.8674989806113297,1.2493666139990734e-8,-1.2937309667519069e-8,-Inf,9.425046746455911e-8,0.0011540672749216292
Sphingomonas sp. URHD0057,positive,week0,0.07270623962627061,0.8674989806113297,1.385766217338193e-7,-1.5459839081671282e-7,-Inf,5.937779556942732e-6,0.07270623962627062
Solirubrobacterales bacterium URHD0059,negative,week0,0.021350244964162976,0.8674989806113297,9.778321313139175e-8,-1.0247643133921999e-7,-Inf,1.743633678974096e-6,0.02135024496416298
Bradyrhizobium sp. URHD0069,positive,week0,0.10992490998153187,0.8674989806113297,2.306564776746812e-7,-2.5733257222794784e-7,-Inf,8.977357193030642e-6,0.10992490998153188
Solirubrobacter sp. URHD0082,negative,week0,0.05828039844913299,0.8674989806113297,1.4342557957226497e-7,-1.5779755147032913e-7,-Inf,4.759648693984991e-6,0.058280398449133
Rhodospirillales bacterium URHD0088,undefined,week0,0.002019617817047587,0.8674989806113297,4.14982970172425e-9,-4.635379486649697e-9,-Inf,1.6493832508110402e-7,0.002019617817047587
Cellulomonas sp. URHE0023,undefined,week0,0.0014425841452128778,0.8674989806113297,2.8157156720818476e-9,-3.1372330760923876e-9,-Inf,1.178130885415742e-7,0.001442584145212878
Dongia sp. URHE0060,positive,week0,0.004616269168434305,0.8674989806113297,7.3504358026739e-8,-7.562270838398367e-8,-Inf,3.7700187547273684e-7,0.004616269168434306
Acidobacteriaceae bacterium URHE0068,positive,week0,0.0002885168702912489,0.8674989806113297,2.6549761504372488e-9,-2.7339390430365797e-9,-Inf,2.3562621077015113e-8,0.0002885168702912489
Micromonosporaceae bacterium URHE0070,negative,week0,0.004327752366890845,0.8674989806113297,2.2404866133572726e-8,-2.3343850170876578e-8,-Inf,3.534392600102222e-7,0.004327752366890846
Bradyrhizobium sp. URHA0002,positive,week3,0.00025515823298013736,-2.8116930122976194e-5,2.0053242356911025e-10,-2.732691133524684e-9,-0.34399429069562193,1.0558983070340812e-6,0.09814241483667702
Bradyrhizobium sp. URHA0013,positive,week3,0.012052134574388298,7.450408085868175e-5,2.2096693756971763e-8,-1.7532585623426477e-7,0.30366330983736056,4.9874261726189946e-5,0.09876160990833122
Paenibacillus sp. URHA0014,negative,week3,2.0930563124041763e-5,6.889029771228808e-5,2.1816317347009746e-11,-2.329676894058677e-10,0.45401549861312174,8.661506199435889e-8,0.0012383900695375053
Lysobacter sp. URHA0019,undefined,week3,1.5692566291970636e-6,-1.2852717422857529e-5,1.6218341860417932e-12,-1.7193409996544616e-11,-0.42855597573186266,6.4939132032638534e-9,0.0
Nocardioides sp. URHA0020,undefined,week3,5.7316016042693546e-6,-1.3366616776859563e-5,7.1711990757836e-12,-6.425725398727227e-11,-0.6600612783713036,2.3718570080444745e-8,0.0012383900695375053
Comamonadaceae bacterium URHA0028,positive,week3,4.024239300051975e-5,-2.289039298392815e-5,3.6429762207411424e-11,-4.4174757524850775e-10,-0.24023144771970562,1.6653146615714618e-7,0.04551083588542592
Geodermatophilaceae bacterium URHA0031,negative,week3,0.00019069058396604374,-1.9595246780271905e-5,2.7046140597136643e-10,-2.4104863735198626e-9,-0.22542804862055466,7.891176483917721e-7,0.026934984547279748
Nocardioides sp. URHA0032,undefined,week3,0.00019527192930966628,5.595243049724703e-5,1.4840853452631928e-10,-2.1301002534220143e-9,0.5648206138628316,8.080762167114002e-7,0.001857585141191707
Caulobacter sp. URHA0033,positive,week3,0.00010342066478721178,9.518290157514729e-5,1.2686667026271965e-10,-1.1604432398638346e-9,0.46257154806740663,4.2797641128694004e-7,0.016408668771783708
Microbacterium sp. URHA0036,undefined,week3,4.357346446472236e-5,6.355824948344306e-5,3.460534111848218e-11,-4.6024649999690454e-10,0.5224018629912515,1.8031613882312625e-7,0.001857585141191707
Streptomyces sp. URHA0041,positive,week3,3.57363499298254e-5,2.5699604723025594e-5,1.7001896458061273e-11,-3.630520020141694e-10,0.4931125935682539,1.478845144433083e-7,0.013003095988341947
Burkholderia sp. URHA0054,positive,week3,5.4396254639987866e-5,-9.98551969011151e-7,3.161584609918047e-11,-5.669891500217811e-10,0.27807755738042117,2.2510311547669762e-7,0.011455108346091893
Mesorhizobium sp. URHA0056,positive,week3,7.950677935784391e-5,5.2349106847707165e-5,7.430631403304278e-11,-8.664332066153773e-10,0.4198982453253439,3.2901573561302544e-7,0.01083591334820859
Staphylococcus sp. URHA0057,undefined,week3,2.5644648838687617e-8,9.652996377917498e-5,3.14296363753022e-14,-2.8836703667665885e-13,0.39874749702278567,1.0612293782173062e-10,0.0
Mesorhizobium sp. URHB0007,positive,week3,9.600253429494883e-5,8.922770337897555e-5,9.268096445648481e-11,-1.0108738425153173e-9,0.47777831052964104,3.9727863078950223e-7,0.013622290986225251
Bacillus sp. URHB0009,negative,week3,0.007636485593002558,7.155976885971626e-5,9.312449001417882e-9,-8.951658764665728e-8,0.4320157355673173,3.160137972098764e-5,0.12631578945349425
Intrasporangiaceae bacterium URHB0013,undefined,week3,0.0001955499203147786,6.0645759156504295e-5,1.9758393697655134e-10,-2.269261758215755e-9,0.5050704038530051,8.092266018204382e-7,0.004024767855095963
Pseudomonas sp. URHB0015,positive,week3,4.988237050371547e-6,9.160848860241919e-5,3.37628878478013e-12,-4.991445868208653e-11,0.5452452580329377,2.0642371578823435e-8,0.006811145493112626
Variovorax sp. URHB0020,positive,week3,0.0011094116966691454,7.609391234415795e-5,7.07933009562061e-10,-1.136663035409752e-8,0.6172559007479024,4.590978384804645e-6,0.056037151660921956
Marmoricola sp. URHB0036,undefined,week3,1.4196563248186401e-5,-9.215944524254803e-6,1.0289503489315184e-11,-1.5329296942098783e-10,0.1892985370885345,5.874835753635735e-8,0.0024767802128459085
Mycobacterium sp. URHB0044,positive,week3,5.683396733741607e-5,1.889582591417084e-7,3.6918691483962155e-11,-6.028883544431823e-10,0.2950957346663341,2.3519088211541036e-7,0.010216718276554387
Geodermatophilaceae bacterium URHB0048,negative,week3,0.0003113140825780145,-2.9182427141918606e-5,3.6296697186935657e-10,-3.5185824006203966e-9,-0.6332309823523739,1.2882829956561988e-6,0.08111455106701
Flavobacterium sp. URHB0058,undefined,week3,0.00010132563461052216,7.618461401091491e-5,1.1977513486488567e-10,-1.2403578926139445e-9,0.5098972592631601,4.193067368229219e-7,0.0
Geodermatophilaceae bacterium URHB0062,negative,week3,0.00017248868235721922,2.0229213808952353e-6,2.2555398553614557e-10,-1.970255661388454e-9,-0.25992576558894354,7.137943602929129e-7,0.055417956663038656
Mesorhizobium sp. URHC0008,positive,week3,1.2058594431575608e-5,4.1882701546389445e-5,1.8399585376431358e-11,-1.3640245790876e-10,-0.18081510537173506,4.990099397068034e-8,0.004643962852979267
Sphingomonas sp. URHD0007,positive,week3,0.0012488033978224728,5.191676622078966e-5,1.3677104243273621e-9,-1.363591140291929e-8,0.2556228864504253,5.167810492251699e-6,0.06934984514820555
Rhodospirillales bacterium URHD0017,positive,week3,1.6270426074754666e-5,0.00015513481565343728,1.7052765829467888e-11,-1.6230419961880298e-10,0.3795840383223962,6.733043706410204e-8,0.0027863777117875604
Cellulomonas sp. URHD0024,undefined,week3,7.524449430328513e-6,8.365990051057737e-5,5.3624662584432475e-12,-7.618717239037743e-11,0.53159808903226,3.1137750571685105e-8,0.0
Mycobacterium sp. URHD0025,positive,week3,1.1156230667592995e-5,-3.742374729881484e-5,1.5767499666615267e-11,-1.6689914051283394e-10,-0.16940791407248756,4.616682337547829e-8,0.01052631577549604
Blastococcus sp. URHD0036,undefined,week3,0.00013117872569926993,2.2989650922523937e-6,1.615255421182955e-10,-2.301567439944675e-9,0.3413536011759005,5.428450917181637e-7,0.0009287925705958535
Sphingomonas sp. URHD0057,positive,week3,8.821401963623388e-5,-2.9541314095824454e-5,2.422775085930828e-10,-1.118783169370596e-9,-3.8522794773708045,3.65048122894868e-7,0.041486068104100854
Solirubrobacterales bacterium URHD0059,negative,week3,3.129255207178501e-5,-9.828052166097678e-6,2.4147803896028022e-11,-3.3087283545819626e-10,-0.19261763265421727,1.294951464801284e-7,0.01919504648357127
Bradyrhizobium sp. URHD0069,positive,week3,0.0006857979157150821,1.5411687488713587e-5,5.377937722685242e-10,-7.221526293551439e-9,0.12667771127444372,2.8379756738142425e-6,0.09876160990833122
Solirubrobacter sp. URHD0082,negative,week3,0.0004742452745763527,6.553938031846962e-6,3.72217370435467e-10,-5.0957625912996715e-9,0.21153216152951793,1.9625264554291876e-6,0.057585139303172016
Rhodospirillales bacterium URHD0088,undefined,week3,7.308254405504197e-5,0.00017895821084976948,4.9490251266295926e-11,-6.91346568969702e-10,0.6307515804877826,3.0243090195513916e-7,0.0024767802128459085
Cellulomonas sp. URHE0023,undefined,week3,2.057152205849741e-5,0.000141580558666792,1.1474616850063164e-11,-1.9685206890446888e-10,0.635297938849087,8.512927472880158e-8,0.0012383900695375053
Dongia sp. URHE0060,positive,week3,0.9744139916012121,0.00030651571923072515,3.7806672856291844e-6,-1.8714217878377643e-5,0.3939005163068863,0.004032329555135828,0.004334365354037615
Acidobacteriaceae bacterium URHE0068,positive,week3,7.118563622310226e-7,3.531530582672203e-6,1.3220375886060757e-12,-8.541854392647164e-12,-0.7533828352193888,2.945810993250169e-9,0.00030959757271254964
Micromonosporaceae bacterium URHE0070,negative,week3,8.115685892933839e-6,4.215586901540314e-5,7.104062612777998e-12,-8.438974496799331e-11,-0.041322415994954564,3.358441111103121e-8,0.003095975210729212
Bradyrhizobium sp. URHA0002,positive,week6,2.339548585828594e-5,0.0013356067435411985,3.114296904517252e-10,-7.677123139696958e-10,0.4551715206601322,4.0314209369091696e-7,0.08982376343317994
Bradyrhizobium sp. URHA0013,positive,week6,0.002583616104640916,0.005099316978284105,4.386861291193336e-7,-3.7662403457797634e-8,0.22638586301024421,4.4519887812016556e-5,0.09238203524876282
Paenibacillus sp. URHA0014,negative,week6,6.566963771513152e-6,0.004970943012968569,5.974187556835664e-10,1.5114236136959181e-10,0.4459713165782676,1.1315941631118466e-7,0.0017055144985674777
Lysobacter sp. URHA0019,undefined,week6,2.068335106434642e-7,0.0027383650856800776,5.025896873914971e-12,-2.9434008497631212e-12,0.5539405715813233,3.5640762081765865e-9,0.0
Nocardioides sp. URHA0020,undefined,week6,6.961207361600471e-7,0.002398644980146021,1.6537543338586983e-11,-1.2499747630400616e-11,0.5295658020199452,1.1995287156553389e-8,0.0011370096431344298
Comamonadaceae bacterium URHA0028,positive,week6,4.892453591589698e-6,0.0021572916246822976,1.0553455198903232e-10,-9.162934211215015e-11,0.5496386676436389,8.430489523262332e-8,0.04519613414430649
Geodermatophilaceae bacterium URHA0031,negative,week6,2.1591399343314534e-5,0.002324183267192611,1.1922534808881427e-9,-5.654302873936395e-10,0.3155412305807108,3.7205476260274744e-7,0.025298465016929804
Nocardioides sp. URHA0032,undefined,week6,8.861482816725193e-5,0.0047919868996882985,4.794563075122544e-9,4.212225938238407e-9,0.6444044863000702,1.5269769380213295e-6,0.0017055144985674777
Caulobacter sp. URHA0033,positive,week6,2.4093542099805334e-5,0.003873022966728178,1.8659924927858866e-9,9.01215988278222e-11,0.416767871434066,4.1517073273798644e-7,0.04206935760875389
Microbacterium sp. URHA0036,undefined,week6,6.3533876804684255e-6,0.002355173267697237,2.2643680272967137e-10,-1.107947128211348e-10,0.46033725454232044,1.0947915452788006e-7,0.0019897669601498342
Streptomyces sp. URHA0041,positive,week6,5.441447871158212e-6,0.003262087300366897,1.8273277395006032e-10,-8.268207366191568e-11,0.46466850372609836,9.376495537543084e-8,0.011938601489972342
Burkholderia sp. URHA0054,positive,week6,5.631062393546442e-6,0.0015498555405545089,8.315740604167637e-11,-1.580545428659352e-10,0.5252635115587896,9.70323205420628e-8,0.01392836838239051
Mesorhizobium sp. URHA0056,positive,week6,1.3815815421753276e-5,0.0032981013914865163,8.166321451475995e-10,-1.8401045581756425e-10,0.3743091314647491,2.3806886460535933e-7,0.02131893123209347
Staphylococcus sp. URHA0057,undefined,week6,7.442792793871383e-9,0.006102560125093893,8.502802928735293e-13,-4.0123595861638915e-14,0.28406574313799693,1.282513681487104e-10,0.0
Mesorhizobium sp. URHB0007,positive,week6,2.373765110714239e-5,0.0043941695103612,1.6427934785915338e-9,1.7807484222684304e-10,0.44396537905658995,4.0903815482201794e-7,0.030983513368065287
Bacillus sp. URHB0009,negative,week6,0.0019498658409808022,0.004214998981898739,1.785077702501812e-7,1.1998380342927007e-8,0.3924072975421412,3.359934486126514e-5,0.08186469586350725
Intrasporangiaceae bacterium URHB0013,undefined,week6,4.236248395994147e-5,0.0032505368972672827,2.649810663306336e-9,-2.623690850360524e-13,0.458321979710267,7.299741745482993e-7,0.003979533852568003
Pseudomonas sp. URHB0015,positive,week6,1.1578665430275616e-6,0.004483770469729628,5.781333403176643e-11,4.265845377227874e-12,0.49474458353139183,1.995191487786414e-8,0.0005685048554330477
Variovorax sp. URHB0020,positive,week6,0.00029957055096029543,0.003872023594911499,1.1580966417222452e-8,6.215767505955698e-9,0.6373962872525457,5.162085534526409e-6,0.06083001702526447
Marmoricola sp. URHB0036,undefined,week6,1.522135173846504e-6,0.0016519133256563507,3.1697362228766395e-11,-4.0734461630540376e-11,0.47695777790253724,2.62288530608881e-8,0.0017055144985674777
Mycobacterium sp. URHB0044,positive,week6,6.402579260750705e-6,0.0018313838490930626,1.3656218517641788e-10,-1.549105469382283e-10,0.4986139045445257,1.1032680508692752e-7,0.007390562849702958
Geodermatophilaceae bacterium URHB0048,negative,week6,2.8458814972371425e-5,0.0013021001847366286,4.690057218718871e-10,-8.913844375680311e-10,0.4580608084622201,4.903914507875405e-7,0.06281978398541431
Flavobacterium sp. URHB0058,undefined,week6,2.226507987484418e-5,0.003160637191139516,1.5016635157562222e-9,-3.21156252466013e-11,0.44887824589883274,3.8366336870756497e-7,0.0
Geodermatophilaceae bacterium URHB0062,negative,week6,1.976152094032701e-5,0.0026222110573268283,9.252503722002014e-10,-4.667538549763214e-10,0.33025017617536134,3.405229955324384e-7,0.04263786239645528
Mesorhizobium sp. URHC0008,positive,week6,2.390326117457016e-6,0.004677672577501833,1.6866475704525403e-10,5.811321140207538e-12,0.40835246125535374,4.118918843715361e-8,0.008811824886688078
Sphingomonas sp. URHD0007,positive,week6,0.0003375687039369194,0.005092297070632988,2.5559622272875496e-8,5.917557184808783e-9,0.46078744442748887,5.816855221301627e-6,0.1111426946652734
Rhodospirillales bacterium URHD0017,positive,week6,3.0869528220127635e-6,0.005561316966957592,2.3114342978736394e-10,-2.6879080873383187e-11,0.3228450047779269,5.3193194248220935e-8,0.0022740193540005255
Cellulomonas sp. URHD0024,undefined,week6,1.558430157897577e-6,0.003950694556171324,7.179158925634225e-11,4.31091730195705e-12,0.5129932224373644,2.6854274390005135e-8,0.0
Mycobacterium sp. URHD0025,positive,week6,7.256937294969187e-7,0.00162085706524254,4.4659892715070006e-11,-3.782440035063091e-11,0.1355275192767128,1.2504877704180828e-8,0.007390562849702958
Blastococcus sp. URHD0036,undefined,week6,2.1066322088145652e-5,0.0035178161178824443,2.021052671429332e-9,-1.1393461602759678e-10,0.4235241042740039,3.63006831506959e-7,0.0008527572492837388
Sphingomonas sp. URHD0057,positive,week6,7.551516693716739e-6,0.0020457987448973076,1.9247843409495034e-10,-2.4357230586003085e-10,0.3114005224705457,1.3012485694408735e-7,0.06537805566553385
Solirubrobacterales bacterium URHD0059,negative,week6,2.9900355524688365e-6,0.0020389724922492566,7.638537517315538e-11,-1.0168012664627505e-10,0.2722232658706608,5.1523152805379605e-8,0.016486640130241727
Bradyrhizobium sp. URHD0069,positive,week6,8.233773006214719e-5,0.0021907562180987538,1.614169980415047e-9,-1.5894835702318833e-9,0.5623444313288675,1.418812376373683e-6,0.09238203524876282
Solirubrobacter sp. URHD0082,negative,week6,6.155799158638925e-5,0.0021785535468144485,1.3541785112720368e-9,-8.701216691160879e-10,0.5899141638029186,1.0607438444265326e-6,0.04093234789788779
Rhodospirillales bacterium URHD0088,undefined,week6,1.693201635174104e-5,0.0043827312437413595,5.681623021893944e-10,1.489669597544094e-10,0.6137592761041856,2.9176605110050183e-7,0.0022740193540005255
Cellulomonas sp. URHE0023,undefined,week6,5.155404503702498e-6,0.004873929282298859,1.811175971981139e-10,6.059840910023186e-11,0.6137232363511289,8.883596511034278e-8,0.0008527572492837388
Dongia sp. URHE0060,positive,week6,0.9942760547651578,0.008470350027876989,0.0002852186934048095,3.5751644211721556e-5,0.30659363241640725,0.017132985946637546,0.007674815243553649
Acidobacteriaceae bacterium URHE0068,positive,week6,7.684536656007748e-8,0.003136765816446234,4.8733133637720465e-12,-2.439979180059397e-12,0.192835310341803,1.3241700622559894e-9,0.0005685048554330477
Micromonosporaceae bacterium URHE0070,negative,week6,9.198542210982485e-7,0.003494134426294519,3.8121579279453173e-11,-2.7904113086126328e-11,0.23729754231005473,1.5850577279318976e-8,0.0017055144985674777
Bradyrhizobium sp. URHA0002,positive,week9,1.1268096887915393e-6,0.00018351027362602755,3.611434587226194e-11,-4.4838623188347867e-10,-108.89558348559892,1.623879736547771e-7,0.0907542578774968
Bradyrhizobium sp. URHA0013,positive,week9,0.00032582804570915804,0.0005051413363304263,4.951792545502839e-8,-2.2209894380002163e-7,-29.13506669601939,4.695607131258415e-5,0.09245742087717804
Paenibacillus sp. URHA0014,negative,week9,9.740295696301126e-7,0.0005844091711486639,8.869119638944533e-11,-4.911278452884918e-10,-17.718048352896616,1.4037036570186106e-7,0.00048661802475564314
Lysobacter sp. URHA0019,undefined,week9,1.4709802758211443e-8,0.00043470286339745664,7.581510458854784e-13,-6.194883636421649e-12,-40.12748337547882,2.1198744442188746e-9,0.0
Nocardioides sp. URHA0020,undefined,week9,4.560375258533509e-8,0.0003689928762953754,2.5849552781483294e-12,-1.955448141861693e-11,-51.21319081349965,6.572095578383326e-9,0.0007299270081456302
Comamonadaceae bacterium URHA0028,positive,week9,3.2470331152848247e-7,0.000320635839721119,1.4197365753709402e-11,-1.3605583250290453e-10,-43.74317159092541,4.679398244672069e-8,0.035523114357770225
Geodermatophilaceae bacterium URHA0031,negative,week9,1.3309840200192034e-6,0.0002340920177124331,1.0676767825321467e-10,-6.784005904162083e-10,-45.466602313787035,1.918121579249156e-7,0.017518248195495127
Nocardioides sp. URHA0032,undefined,week9,2.112442563574997e-5,0.0005965175373059199,1.1371116326718997e-9,-9.821496208981962e-9,-12.209299605955723,3.0443052697651077e-6,0.0019464720410469036
Caulobacter sp. URHA0033,positive,week9,2.8388497067466256e-6,0.0004319466375671547,2.0963215397493606e-10,-1.415066806207157e-9,-21.598044723509553,4.0911527117187156e-7,0.03819951340696276
Microbacterium sp. URHA0036,undefined,week9,4.949983050007677e-7,0.000282665301271087,1.798877202788103e-11,-2.1464166014963221e-10,-35.16557926361095,7.133571224243768e-8,0.0014598540162912605
Streptomyces sp. URHA0041,positive,week9,4.898004188351953e-7,0.0006205583426485916,2.3387982307970998e-11,-2.0416794940218189e-10,-46.88922109607419,7.058662904754543e-8,0.014598540162912604
Burkholderia sp. URHA0054,positive,week9,3.044470991353059e-7,0.0002038408491316613,7.35959515349936e-12,-1.2013366992597164e-10,-53.22798179115347,4.387479802971728e-8,0.02092457419485762
Mesorhizobium sp. URHA0056,positive,week9,1.4292719324523089e-6,0.0004689228943940497,1.0145805176640818e-10,-6.759182385754314e-10,-41.655141705201736,2.0597672812122578e-7,0.03187347931704207
Staphylococcus sp. URHA0057,undefined,week9,1.0774617565876785e-9,0.0005937792132429053,1.0582047887535254e-13,-5.539903880637452e-13,-21.789472451123146,1.552762929562978e-10,0.0
Mesorhizobium sp. URHB0007,positive,week9,3.04342458155652e-6,0.0005957521202368107,2.2979657779386026e-10,-1.430679830752787e-9,-23.35273528384592,4.385971789966846e-7,0.04841849146302591
Bacillus sp. URHB0009,negative,week9,0.00027102795364645956,0.00047727871002527044,2.429276159619856e-8,-1.4278928693498956e-7,-24.166640318202052,3.905866326340368e-5,0.06885644769110355
Intrasporangiaceae bacterium URHB0013,undefined,week9,5.243699010065165e-6,0.0003590123730520587,3.0913811178794354e-10,-2.605843028229453e-9,-24.743361857564427,7.556854233417703e-7,0.003892944024118138
Pseudomonas sp. URHB0015,positive,week9,1.507682451457822e-7,0.0007581032423442412,9.175335014386102e-12,-6.567912607893182e-11,-27.057794561105847,2.172767066545842e-8,0.00048661802475564314
Variovorax sp. URHB0020,positive,week9,3.956833599543261e-5,0.0005041297069160849,1.4912760495869668e-9,-1.692123709655959e-8,-11.865600788385043,5.70231332504844e-6,0.051581508478998415
Marmoricola sp. URHB0036,undefined,week9,8.615868314675416e-8,0.00019969768464292466,2.8582611844040474e-12,-3.5717367120449704e-11,-50.916004527514716,1.2416590048999636e-8,0.0014598540162912605
Mycobacterium sp. URHB0044,positive,week9,3.7354581571617453e-7,0.0002278865054931855,1.161320362560946e-11,-1.5288701672727008e-10,-37.87801478557922,5.383282437553872e-8,0.009975669130648835
Geodermatophilaceae bacterium URHB0048,negative,week9,1.3395663588523983e-6,0.00013293676315128612,5.913282116717972e-11,-5.646598701864735e-10,-83.27273176737405,1.930489848941937e-7,0.05328467153665533
Flavobacterium sp. URHB0058,undefined,week9,2.887876935975391e-6,0.00031812976995627544,1.68113285587892e-10,-1.5174873160595295e-9,-27.234865798374663,4.1618073438856236e-7,0.0
Geodermatophilaceae bacterium URHB0062,negative,week9,1.1145953483782554e-6,0.0003113625745501213,8.297879058521545e-11,-5.139917447453467e-10,-37.53248094136272,1.606277278839318e-7,0.03430656932486895
Mesorhizobium sp. URHC0008,positive,week9,2.2965098082274658e-7,0.0006455818079931213,2.4386929148037632e-11,-1.1222805709876152e-10,-29.85288475002806,3.30957017805134e-8,0.009245742122503205
Sphingomonas sp. URHD0007,positive,week9,4.3926985957888764e-5,0.0006792616254825877,4.10007627992092e-9,-2.120526824201934e-8,-21.74131049922964,6.330451636525692e-6,0.13041362530075082
Rhodospirillales bacterium URHD0017,positive,week9,2.9156195607308174e-7,0.0009282731993942786,2.8911789267467916e-11,-1.3591966492732013e-10,-32.64733136111331,4.201788084757048e-8,0.0009732359915356172
Cellulomonas sp. URHD0024,undefined,week9,1.6330526020662718e-7,0.0005806060063669941,8.539408251252314e-12,-7.036835658500641e-11,-20.6349567016652,2.3534418061811943e-8,0.0
