Column1,cellulose breakdown,chitin breakdown,heteromannan breakdown,xylan and heteroxylan breakdown,xyloglucan breakdown,mixed linkage glucan breakdown,monosaccharide transport,amino sugar transport,amide transport,monocarboxylate transport,protein degradation,free amino acids transport,general,peptide transport,guild_id,mingentime,bin length,afe.median,rel.abund,class,id,totalcazy,color,spherical_equivalent_diameter,r_median,relabund_median,bge_median,J_DE_median
10,0.63028772,0.94543158,0.63028772,2.20600702,0.31514386,0.63028772,0.63028772,0.0,0.0,0.63028772,0.598773334,0.63028772,3.1514386,0.0,2,7.461894179,3.173154,0.167591279,0.018787441,Actinobacteria,H1-16-all-fractions_metab_conc_28,0.892907603,#5254a3,0.827954149,0.044539467195024454,3.3658523053684144e-6,NaN,1.2952303603357616e-7
11,0.992348661,0.992348661,0.330782887,1.984697322,0.330782887,0.661565774,0.0,0.0,0.0,0.330782887,0.893113795,0.992348661,2.315480209,0.0,2,13.35399351,3.023131,0.086802772,0.012559952,Actinobacteria,H1-16-all-fractions_metab_conc_37,0.882087699,#5254a3,0.827954149,0.08264227855698371,1.8334413486388424e-6,0.9985617426682061,NaN
12,0.199946694,0.599840083,0.0,0.599840083,0.0,0.0,0.599840083,0.0,0.0,0.399893388,0.559850744,1.199680165,1.799520248,0.199946694,1,8.151370035,5.001333,0.016610498,0.011241501,Actinobacteria,H1-16-all-fractions_metab_conc_39,0.233271143,#5254a3,0.827954149,0.08610277847252944,8.366730702985207e-6,NaN,2.3877231892004857e-7
13,0.616791564,0.616791564,0.154197891,1.696176802,0.770989455,0.308395782,0.616791564,0.154197891,0.0,0.308395782,0.462593673,0.616791564,1.541978911,0.154197891,1,17.86148423,6.485173,0.021865965,0.009178268,Ktedonobacteria,H1-16-all-fractions_metab_conc_42,0.69389051,#7f7f7f,1.081859716,0.06492115757219999,2.3930510841380067e-6,NaN,4.05305179814786e-8
14,0.756984698,0.504656465,0.504656465,1.766297628,1.00931293,0.756984698,1.00931293,0.252328233,0.0,0.504656465,0.555122112,1.513969396,1.261641163,0.0,1,3.73066915,3.963092,0.062885979,0.00815954,Actinobacteria,H1-16-all-fractions_metab_conc_51,0.883148814,#5254a3,0.827954149,0.051780241463527436,0.2752851741073456,0.4216778005906181,0.022671169556130247
15,0.750748214,1.126122322,0.375374107,1.126122322,0.375374107,0.375374107,0.375374107,0.0,0.0,0.375374107,0.938435268,0.750748214,2.627618751,0.375374107,3,8.584872802,2.664009,0.010661904,0.03683026,Thermoleophilia,H1-16-all-fractions_metab_conc_57,0.688185863,#d62728,0.94781419,0.0478875574679679,3.2566874192382694e-6,NaN,7.528693986616034e-8
16,0.399115029,0.266076686,0.266076686,1.064306744,0.266076686,0.266076686,0.133038343,0.0,0.133038343,0.133038343,0.439026532,0.931268401,1.33038343,0.133038343,1,8.651096908,7.51663,0.076197664,0.018273153,Unknown,H1-16-all-fractions_metab_conc_6,0.421288086,#c7c7c7,,0.012335929332446899,3.3135170584469395e-5,NaN,3.7386004388491913e-7
17,0.700588018,0.560470414,0.280235207,1.401176035,0.840705621,0.560470414,0.420352811,0.0,0.0,0.140117604,0.462388092,0.420352811,1.401176035,0.140117604,2,11.422852,7.136862,0.148088634,0.015029396,Unknown,H1-16-all-fractions_metab_conc_65,0.723940951,#c7c7c7,,0.025015416069631962,3.36009306717633e-5,NaN,1.01882137981676e-6
18,0.791858805,0.633487044,0.158371761,1.425345848,0.791858805,0.475115283,0.950230566,0.0,0.0,0.475115283,0.427603754,0.791858805,1.425345848,0.0,2,14.029076,6.314257,0.03030115,0.012167431,Ktedonobacteria,H1-16-all-fractions_metab_conc_68,0.712672924,#7f7f7f,1.081859716,0.03360819429782726,3.380561212519859e-6,NaN,8.165831862871329e-8
19,0.484355675,0.242177837,0.242177837,0.242177837,0.484355675,0.484355675,0.484355675,0.0,0.0,0.242177837,0.484355675,1.210889187,1.9374227,0.0,1,3.118811965,4.129197,0.361930294,0.020379413,Actinobacteria,H1-16-all-fractions_metab_conc_94,0.363266756,#5254a3,0.827954149,0.055682559472389224,1.0,0.5048510620044883,0.05052773453335455
20,0.503143135,0.335428757,0.167714378,0.838571892,0.838571892,0.335428757,0.670857514,0.0,0.0,0.0,0.436057384,1.341715027,2.012572541,0.0,1,19.08184402,5.962518,0.014034573,0.014351625,Alphaproteobacteria,H1-16-all-fractions_metab_conc_99,0.503143135,#e7ba52,0.960118077,0.08800270994452754,1.9046097568671948e-6,NaN,1.9228032559453194e-8
21,0.880967232,0.587311488,0.293655744,1.468278719,0.293655744,0.587311488,1.468278719,0.0,0.0,0.587311488,0.73413936,1.174622975,0.880967232,0.0,2,7.51568332,3.405348,0.006332061,0.004898034,Actinobacteria,H1-16-all-fractions_metab_maxb_54,0.685196736,#5254a3,0.827954149,0.047396442582495334,4.568145979184259e-6,0.14939281460166234,2.0353506396452049e-7
22,0.432696447,0.288464298,0.288464298,1.153857193,0.288464298,0.288464298,0.144232149,0.0,0.144232149,0.144232149,0.475966092,0.721160746,1.442321491,0.144232149,1,11.8458446,6.933267,0.085899703,0.004585616,Unknown,H1-18-all-fractions_conc_108,0.456735139,#c7c7c7,,0.015691507698526643,2.3184944614529775e-5,NaN,2.2045958953941723e-7
23,1.246420695,0.415473565,0.207736783,1.454157478,0.415473565,0.415473565,0.0,0.0,0.0,0.0,0.560889313,1.66189426,2.285104608,0.207736783,2,4.001467519,4.813784,0.079239471,0.002608014,Deltaproteobacteria,H1-18-all-fractions_conc_118,0.692455942,#8ca252,1.276667049,0.06584722223182293,5.236171184236967e-6,0.9994915788247467,NaN
24,0.642723915,0.42848261,0.214241305,1.713930441,0.642723915,0.42848261,0.214241305,0.0,0.0,0.214241305,0.449906741,0.642723915,1.285447831,0.0,2,6.405431167,4.667634,0.073486489,0.005459498,Actinobacteria,H1-18-all-fractions_conc_122,0.6784308,#5254a3,0.827954149,0.05761725409959589,2.9056336615269606e-6,0.7988372704671418,7.3462472432725e-8
25,0.771380994,0.482113121,0.289267873,1.157071491,0.67495837,0.385690497,0.482113121,0.096422624,0.096422624,0.192845248,0.35676371,0.771380994,0.771380994,0.192845248,1,4.727727783,10.37101,0.115015069,0.00127024,Actinobacteria,H1-18-all-fractions_conc_125,0.626747057,#5254a3,0.827954149,0.04345979139370317,4.554961518881202e-6,0.06665999097732267,5.47024887438168e-7
26,0.705352923,0.940470564,0.235117641,1.410705847,0.470235282,0.705352923,0.705352923,0.0,0.235117641,0.235117641,0.728864687,1.175588206,1.880941129,0.235117641,1,4.437995665,4.25319,0.197362366,0.011736712,Unknown,H1-18-all-fractions_conc_24,0.744539197,#c7c7c7,,0.043001813769560984,2.1410491636124572e-5,0.2786500098683194,1.275597245657303e-6
27,0.463621477,0.695432216,0.231810739,0.927242954,0.231810739,0.231810739,0.0,0.0,0.231810739,0.0,0.741794363,1.159053693,1.62267517,0.231810739,1,8.33625275,4.313864,0.103351453,0.008112138,Unknown,H1-18-all-fractions_conc_3,0.463621477,#c7c7c7,,0.028838320912621847,6.98649892053502e-6,0.9995908843754451,NaN
28,1.090326262,1.453768349,0.363442087,2.180652524,0.726884175,1.090326262,0.363442087,0.0,0.0,0.0,1.090326262,1.090326262,2.180652524,0.726884175,3,3.088058833,2.75147,0.211573018,0.00756984,Unknown,H1-18-all-fractions_conc_32,1.150899943,#c7c7c7,,0.08850080183805215,3.6547558849008197e-6,NaN,1.7976871217364275e-7
29,0.569178851,0.455343081,0.341507311,1.138357703,0.569178851,0.227671541,0.796850392,0.0,0.0,0.11383577,0.364274465,0.455343081,1.024521932,0.11383577,2,15.22329406,8.784585,0.073962215,0.003982748,Unknown,H1-18-all-fractions_conc_53,0.550206223,#c7c7c7,,0.026246524254537364,5.8782914073608384e-5,NaN,1.8927999082779407e-6
30,0.405234495,0.607851743,0.202617248,1.418320733,0.202617248,0.202617248,0.81046899,0.0,0.202617248,0.202617248,0.749683816,2.026172475,2.026172475,0.202617248,1,0.707483235,4.935414,0.305064588,0.01651335,Betaproteobacteria,H1-18-all-fractions_conc_55,0.506543119,#ff7f0e,0.898997439,0.08316298923678174,0.20948612442189035,0.7164639074148654,0.022418640703849142
31,1.005439427,0.670292952,0.167573238,2.178452092,0.670292952,0.502719714,0.670292952,0.167573238,0.167573238,0.335146476,0.586506333,1.340585903,1.508159141,0.167573238,1,5.042025073,5.96754,0.110967437,0.000403695,Actinobacteria,H1-18-all-fractions_conc_96,0.865795062,#5254a3,0.827954149,0.07208823044697374,3.1216223039053554e-6,NaN,1.389802077853617e-7
32,0.70130801,0.70130801,0.70130801,1.051962014,0.350654005,1.051962014,0.0,0.0,0.0,0.350654005,0.911700412,1.051962014,2.805232038,0.0,3,7.370276733,2.851814,0.047376322,0.006644548,Actinobacteria,H1-18-all-fractions_maxb_99,0.759750344,#5254a3,0.827954149,0.03677429973676409,2.2714957674325477e-6,0.9997851897796772,NaN
33,0.786591138,1.179886707,0.393295569,2.359773415,0.393295569,0.393295569,0.786591138,0.0,0.393295569,0.393295569,1.179886707,0.786591138,3.932955691,0.393295569,1,7.700285451,2.542617,0.233278178,0.038102702,Alphaproteobacteria,H1-18-all-fractions_metab_69,0.917689661,#e7ba52,0.960118077,0.04775377016504957,3.880484379113536e-6,NaN,1.6160750580667286e-7
34,0.833131993,0.499879196,0.333252797,1.333011189,0.833131993,0.499879196,0.333252797,0.0,0.0,0.333252797,0.433228636,0.499879196,0.999758392,0.0,2,14.58193191,6.00145,0.032034847,0.00145774,Ktedonobacteria,H1-18-all-fractions_metab_85,0.722047727,#7f7f7f,1.081859716,0.09952305029961885,2.6256940900728026e-6,NaN,4.672200720875593e-8
35,1.113134542,0.278283636,0.834850907,1.669701814,0.834850907,0.556567271,0.278283636,0.0,0.0,0.0,0.640052362,0.834850907,2.782836356,0.0,2,6.021960801,3.593456,0.173191597,0.006566371,Actinobacteria,H1-18-all-fractions_metab_conc_10,0.881231513,#5254a3,0.827954149,0.05377024815424917,2.824601419336226e-6,0.9760356217651114,7.310814079050881e-8
36,1.367151808,1.367151808,0.455717269,2.278586347,0.911434539,0.455717269,0.0,0.0,0.0,0.0,1.276008354,0.911434539,3.645738155,0.455717269,3,5.26297304,2.194343,0.232833238,0.010115831,Alphaproteobacteria,H1-18-all-fractions_metab_conc_103,1.139293173,#e7ba52,0.960118077,0.017947915635730144,2.8276163958763345e-6,0.999864524952506,NaN
37,1.2584695,1.0067756,0.2516939,2.516938999,1.0067756,0.5033878,0.0,0.0,0.0,0.0,0.65440414,0.5033878,2.768632899,0.0,2,15.6106122,3.97308,0.112339536,0.005688444,Unknown,H1-18-all-fractions_metab_conc_105,1.090673566,#c7c7c7,,0.028920398205284515,2.89749518306767e-6,0.9985493355053643,NaN
38,0.935338418,0.467669209,0.467669209,1.870676837,0.701503814,0.935338418,0.701503814,0.0,0.0,0.467669209,0.420902288,0.467669209,2.338346046,0.0,2,7.023739736,4.276527,0.16043056,0.02311264,Actinobacteria,H1-18-all-fractions_metab_conc_14,0.896365984,#5254a3,0.827954149,0.04146354125680159,5.507789092911757e-6,0.22381815954954148,2.9440770564281266e-7
39,0.879285528,0.879285528,0.586190352,1.758571056,0.586190352,0.879285528,0.293095176,0.0,0.0,0.0,0.674118905,1.758571056,2.344761407,0.293095176,3,21.98355354,3.411861,0.039201955,0.008474596,Unknown,H1-18-all-fractions_metab_conc_17,0.928134724,#c7c7c7,,0.08241119003345257,1.7575899651614051e-6,NaN,5.471498749650659e-9
40,1.151884848,0.767923232,0.383961616,1.535846465,0.767923232,0.767923232,1.151884848,0.0,0.0,0.0,0.998300202,1.919808081,2.687731313,0.0,3,10.29552293,2.604427,0.084928941,0.004466208,Alphaproteobacteria,H1-18-all-fractions_metab_conc_19,0.895910438,#e7ba52,0.960118077,0.03701892670451098,2.8295292215337593e-6,0.9729870090982511,5.8766654041407684e-8
41,0.493379829,0.493379829,0.164459943,0.657839773,0.493379829,0.164459943,1.809059375,0.164459943,0.164459943,0.328919886,0.559163807,3.782578692,1.809059375,0.657839773,1,1.788480965,6.080508,0.339751045,0.004186225,Betaproteobacteria,H1-18-all-fractions_metab_conc_2,0.411149858,#ff7f0e,0.898997439,0.04591176130072046,0.374539474677955,0.5466940463814531,0.03154794594169299
42,0.856586321,0.856586321,0.571057547,1.427643868,0.856586321,0.571057547,1.427643868,0.0,0.0,0.0,0.799480566,0.571057547,2.855287736,0.285528774,3,15.59378121,3.502274,0.161126865,0.004979885,Unknown,H1-18-all-fractions_metab_conc_20,0.856586321,#c7c7c7,,0.03064242499791199,4.583845761672069e-6,0.9318777511152737,1.2275095149277843e-7
43,1.119028862,1.119028862,1.119028862,1.492038483,0.373009621,0.746019241,0.746019241,0.0,0.0,0.373009621,0.89522309,1.492038483,2.984076965,0.373009621,3,14.35227192,2.680896,0.180396305,0.00499487,Unknown,H1-18-all-fractions_metab_conc_22,0.994692322,#c7c7c7,,0.07211344163965829,2.0295125369152817e-6,0.9759601896654506,2.3568364958979326e-8
44,0.767454113,1.151181169,0.383727056,1.918635282,0.767454113,0.383727056,1.534908226,0.0,0.0,0.0,0.61396329,1.151181169,2.686089395,0.383727056,3,5.25390499,2.606019,0.137968284,0.008903001,Unknown,H1-18-all-fractions_metab_conc_23,0.895363132,#c7c7c7,,0.05059764902049531,0.687164496996954,0.4414955908046557,0.04627707714616349
45,0.510678674,0.255339337,0.255339337,0.255339337,0.510678674,0.510678674,0.510678674,0.0,0.0,0.255339337,0.536212608,1.276696685,2.042714696,0.0,1,2.276947043,3.916357,0.361960111,0.015132966,Actinobacteria,H1-18-all-fractions_metab_conc_27,0.383009006,#5254a3,0.827954149,0.04800353587335305,0.6693352645494228,0.5390488503338124,0.041635769205856384
46,0.496351321,0.496351321,0.248175661,0.744526982,0.0,0.248175661,0.992702643,0.0,0.248175661,0.496351321,0.545986454,1.985405286,1.985405286,0.248175661,1,14.04808476,4.029404,0.019103693,0.003149952,Alphaproteobacteria,H1-18-all-fractions_metab_conc_36,0.372263491,#e7ba52,0.960118077,0.09390765185141699,4.0748993819340325e-6,NaN,6.04281349303645e-8
47,0.849926375,0.849926375,0.212481594,1.912334344,1.062407969,0.637444781,0.424963188,0.0,0.212481594,0.212481594,0.616196622,0.849926375,1.69985275,0.212481594,2,4.772964825,4.70629,0.206803706,0.007786584,Unknown,H1-18-all-fractions_metab_conc_37,0.920753573,#c7c7c7,,0.036570527562919404,1.7071865572828612e-5,NaN,8.371411108187256e-7
48,0.635239868,0.635239868,0.317619934,1.58809967,0.317619934,0.317619934,0.317619934,0.0,0.0,0.0,0.921097809,0.952859802,2.540959473,0.317619934,3,7.641611638,3.148417,0.088498895,0.010290479,Unknown,H1-18-all-fractions_metab_conc_40,0.635239868,#c7c7c7,,0.03834217705462077,4.347431924576154e-6,0.9812081310130883,8.909492438679952e-8
49,1.033577843,1.378103791,0.344525948,2.067155687,0.689051896,1.033577843,0.344525948,0.0,0.0,0.0,1.033577843,2.067155687,2.756207582,0.344525948,3,4.471106442,2.902539,0.215407537,0.008989133,Unknown,H1-18-all-fractions_metab_conc_44,1.090998835,#c7c7c7,,0.0654467039971628,3.476042941872854e-6,0.9498967619128034,6.964475462349904e-8
50,0.780277336,0.468166401,0.312110934,2.028721072,0.624221868,0.624221868,1.09238827,0.0,0.0,0.156055467,0.514983041,1.560554671,1.09238827,0.312110934,2,4.535545134,6.407978,0.312627664,0.003020021,Betaproteobacteria,H1-18-all-fractions_metab_conc_47,0.80628658,#ff7f0e,0.898997439,0.0448569858161475,9.57788945472255e-6,0.21787262395246404,7.541441956542479e-7
51,0.572100272,0.381400181,0.190700091,0.953500453,0.953500453,0.190700091,0.762800362,0.0,0.0,0.0,0.476750226,1.144200543,2.288401087,0.0,1,17.8708691,5.243836,0.01307092,0.014516277,Alphaproteobacteria,H1-18-all-fractions_metab_conc_5,0.540316923,#e7ba52,0.960118077,0.07165958567338052,2.1610332038988256e-6,NaN,2.640003399008863e-8
52,0.505692198,0.505692198,0.252846099,1.390653544,0.632115247,0.252846099,0.632115247,0.126423049,0.0,0.126423049,0.341342234,0.758538297,1.137807445,0.126423049,1,16.57048401,7.90995,0.01926603,0.004837107,Unknown,H1-18-all-fractions_metab_conc_56,0.589974231,#c7c7c7,,0.018982937604560227,2.910734446378484e-5,NaN,5.740900944671702e-7
53,0.552931078,0.552931078,0.184310359,0.737241438,0.368620719,0.184310359,0.184310359,0.0,0.0,0.184310359,0.534500042,1.105862157,1.658793235,0.0,1,12.57927237,5.425631,0.206300942,0.046634968,Unknown,H1-18-all-fractions_metab_conc_57,0.430057505,#c7c7c7,,0.03273693042552561,1.0453712763874148e-5,NaN,8.026200158192209e-8
54,1.232842936,0.410947645,0.821895291,1.643790581,0.821895291,1.232842936,0.0,0.0,0.0,0.410947645,0.986274349,0.821895291,2.465685872,0.0,3,5.859613724,2.4334,0.079818904,0.011779445,Actinobacteria,H1-18-all-fractions_metab_conc_61,1.027369113,#5254a3,0.827954149,0.032898195545146336,2.3221659694678016e-6,0.9980886013316885,NaN
55,0.555097292,0.832645938,0.277548646,1.38774323,0.555097292,0.277548646,0.277548646,0.0,0.277548646,0.0,0.832645938,1.38774323,3.053035105,0.277548646,1,5.565595628,3.602972,0.171958127,0.045656164,Alphaproteobacteria,H1-18-all-fractions_metab_conc_62,0.647613507,#e7ba52,0.960118077,0.11022632510488194,3.599760578334561e-6,NaN,6.483983297995225e-8
56,1.537843247,0.512614416,0.512614416,2.050457662,0.512614416,0.512614416,0.0,0.0,0.0,0.512614416,1.33279748,1.537843247,3.075686493,0.0,2,4.73066805,1.950784,0.108830027,0.005179379,Actinobacteria,H1-18-all-fractions_metab_conc_71,0.939793095,#5254a3,0.827954149,0.03989544272551759,2.481577964892962e-6,0.9998511279712408,NaN
57,0.823176366,0.823176366,0.411588183,1.646352732,0.0,0.411588183,0.411588183,0.0,0.0,0.0,0.823176366,1.234764549,3.704293647,0.0,3,14.59125587,2.429613,0.066556228,0.01711278,Thermoleophilia,H1-18-all-fractions_metab_conc_80,0.685980305,#d62728,0.94781419,0.09809637640635613,3.19615118265742e-6,NaN,3.246782280487152e-8
58,0.992604107,0.661736071,0.330868036,1.654340178,0.330868036,0.330868036,0.661736071,0.0,0.0,0.330868036,0.794083285,0.330868036,2.316076249,0.0,2,7.031418841,3.022353,0.010633481,0.009043234,Thermoleophilia,H1-18-all-fractions_metab_conc_86,0.716880744,#d62728,0.94781419,0.04713518575563089,0.007400292858322118,0.42752963229232294,0.0005147815404399668
59,0.791979466,0.791979466,0.197994866,1.583958931,0.593984599,0.197994866,0.791979466,0.0,0.0,0.0,0.514786653,0.593984599,1.583958931,0.197994866,2,24.72529222,5.050636,0.085802305,0.008030004,Unknown,H1-18-all-fractions_metab_maxb_101,0.692982032,#c7c7c7,,0.048954050540754926,5.458236192320568e-6,NaN,6.789390165559696e-8
60,0.784714186,0.523142791,0.261571395,1.830999768,0.523142791,0.523142791,1.307856977,0.0,0.0,0.523142791,0.627771349,1.307856977,1.830999768,0.0,2,6.233056462,3.823048,0.007049551,0.004892829,Actinobacteria,H1-18-all-fractions_metab_maxb_28,0.741118954,#5254a3,0.827954149,0.04370819013764041,5.397984636646242e-6,0.23421546606753665,2.754958006727374e-7
61,1.381179605,1.104943684,0.276235921,3.03859513,1.104943684,0.828707763,0.552471842,0.0,0.276235921,0.276235921,0.607719026,0.828707763,2.209887368,0.276235921,2,8.53937718,3.620094,0.234464561,0.002685764,Sphingobacteriia,H1-18-all-fractions_metab_maxb_45,1.289100964,#dbdb8d,0.851238818,0.09491311885932946,2.4807961203244995e-6,NaN,6.525087557260833e-8
62,0.97464272,0.97464272,0.97464272,0.97464272,0.0,0.97464272,0.0,0.0,0.0,0.48732136,0.925910584,0.48732136,3.898570881,0.0,3,12.85630405,2.052034,0.187526765,0.007159822,Unknown,H1-18-all-fractions_metab_maxbC_21,0.812202267,#c7c7c7,,0.10497051390539577,2.9181540202248287e-6,NaN,NaN
63,1.315848341,0.877232227,0.438616114,2.631696681,0.438616114,0.438616114,0.438616114,0.0,0.438616114,0.0,1.052678672,0.877232227,2.631696681,0.438616114,1,11.2120019,2.279898,0.175377141,0.009503544,Unknown,H1-18-all-fractions_metab_maxbC_65,1.023437598,#c7c7c7,,0.06361390662919728,1.6112616877851769e-6,0.9578560522802201,2.5303670410483724e-8
64,0.916190385,0.732952308,0.366476154,1.282666539,0.732952308,0.549714231,0.732952308,0.183238077,0.0,0.366476154,0.531390423,0.916190385,1.282666539,0.183238077,1,13.00466814,5.457381,-0.022577186,0.00684591,Ktedonobacteria,H2-16-all-fractions_maxb_conc_24,0.763491988,#7f7f7f,1.081859716,0.08860953002584494,3.1545351892216458e-6,NaN,6.839809834265263e-8
65,0.460818663,0.460818663,0.230409331,1.843274651,0.0,0.230409331,0.460818663,0.0,0.0,0.0,0.622105195,1.382455988,0.921637326,0.230409331,1,6.64767728,4.340102,-0.000647627,0.002065213,Unknown,H2-16-all-fractions_metab_114,0.537621773,#c7c7c7,,0.09152711525196307,7.13020269145111e-6,NaN,1.8683761207877403e-7
66,1.058215989,0.705477326,0.352738663,2.469170641,0.352738663,0.352738663,0.352738663,0.0,0.0,0.0,0.917120524,0.352738663,3.174647967,0.352738663,3,13.95146648,2.83496,0.237548963,0.004375154,Unknown,H2-16-all-fractions_metab_12,0.881846657,#c7c7c7,,0.05129066410549094,2.4464333352082997e-6,NaN,4.6396070272878754e-8
67,1.001528733,0.801222987,0.200305747,1.80275172,0.60091724,0.60091724,0.60091724,0.0,0.0,0.0,0.640978389,0.60091724,1.602445974,0.0,2,9.09779839,4.992368,0.128491341,0.005414039,Unknown,H2-16-all-fractions_metab_121,0.834607278,#c7c7c7,,0.04723987177165786,1.6102300099953574e-5,NaN,5.470825351807533e-7
68,0.838072283,1.257108424,0.419036141,2.514216849,0.838072283,0.419036141,0.838072283,0.0,0.0,0.838072283,0.963783125,0.0,2.095180707,0.0,2,10.13292711,2.386429,-0.134424825,0.004832345,Actinobacteria,H2-16-all-fractions_metab_123,1.047590354,#5254a3,0.827954149,0.041959045258229896,7.807991127636395e-6,0.31907231433314703,5.46015629004559e-7
69,0.875873794,0.437936897,0.437936897,1.31381069,0.875873794,0.656905345,0.437936897,0.0,0.0,0.0,0.591214811,1.094842242,1.751747587,0.0,2,5.553195286,4.566868,0.133919984,0.011229863,Actinobacteria,H2-16-all-fractions_metab_126,0.766389569,#5254a3,0.827954149,0.13374713822388376,3.128438809911628e-6,NaN,9.934068488167591e-8
70,0.740857083,0.740857083,0.370428541,1.481714165,0.0,0.370428541,0.370428541,0.0,0.0,0.370428541,0.666771374,0.740857083,2.963428331,0.0,2,14.29636386,2.699576,0.03353344,0.008341257,Actinobacteria,H2-16-all-fractions_metab_138,0.617380902,#5254a3,0.827954149,0.09532791680063575,3.5327095827321625e-6,NaN,4.981932795993439e-8
71,0.450143663,0.450143663,0.450143663,0.900287327,0.225071832,0.675215495,0.450143663,0.0,0.0,0.450143663,0.585186762,1.125359158,2.025646485,0.0,1,6.071742853,4.443026,0.071698532,0.017240024,Actinobacteria,H2-16-all-fractions_metab_56,0.525167607,#5254a3,0.827954149,0.11893973639268803,3.3157949207349657e-6,NaN,9.936548091758229e-8
72,0.921600661,1.228800881,0.30720022,2.150401541,0.61440044,0.61440044,0.61440044,0.0,0.0,0.30720022,0.860160617,0.921600661,2.764801982,0.30720022,3,6.509566531,3.255206,0.236190305,0.011101809,Alphaproteobacteria,H2-16-all-fractions_metab_57,0.972800697,#e7ba52,0.960118077,0.042748507085853704,3.6185435046915037e-6,NaN,1.47269809810551e-7
