isolate,response,sample,relabundance,rgrowth,BR,BP,CUE,biomass,measurement
Variovorax sp. URHB0020,positive,week0,0.026543547804431987,0.8674989806113297,7.32500087960291e-8,-7.989714222274174e-8,-Inf,2.1677607909863623e-6,0.026543547804431994
Marmoricola sp. URHB0036,undefined,week0,0.002308134618591047,0.8674989806113297,7.567609544815987e-9,-8.117671689472019e-9,-Inf,1.8850094054361867e-7,0.002308134618591047
Mycobacterium sp. URHB0044,positive,week0,0.008944021535325149,0.8674989806113297,2.8217182003076032e-8,-3.035556319714034e-8,-Inf,7.30441135482959e-7,0.00894402153532515
Geodermatophilaceae bacterium URHB0048,negative,week0,0.08251581170372173,0.8674989806113297,1.9370970332068452e-7,-2.132664093190134e-7,-Inf,6.738908550042236e-6,0.08251581170372174
Flavobacterium sp. URHB0058,undefined,week0,0.0005770336718347089,0.8674989806113297,4.1914564115802085e-9,-4.36996235852506e-9,-Inf,4.7125236539529775e-8,0.000577033671834709
Geodermatophilaceae bacterium URHB0062,negative,week0,0.055106713425911565,0.8674989806113297,3.9693428450023656e-7,-4.1215653959110125e-7,-Inf,4.500459907053829e-6,0.05510671342591157
Mesorhizobium sp. URHC0008,positive,week0,0.001731100946756338,0.8674989806113297,1.0328697073906208e-8,-1.0734318289658984e-8,-Inf,1.4137570400408889e-7,0.0017311009467563382
Sphingomonas sp. URHD0007,positive,week0,0.12146558293699153,0.8674989806113297,7.066090441290886e-7,-7.353664747241017e-7,-Inf,9.919861884519735e-6,0.12146558293699156
Rhodospirillales bacterium URHD0017,positive,week0,0.002019617817047587,0.8674989806113297,1.273809873313603e-8,-1.3203702145697667e-8,-Inf,1.6493832508110402e-7,0.002019617817047587
Cellulomonas sp. URHD0024,undefined,week0,0.0005770336718347089,0.8674989806113297,2.2614348161692795e-9,-2.401587407179604e-9,-Inf,4.7125236539529775e-8,0.000577033671834709
Mycobacterium sp. URHD0025,positive,week0,0.008944021535325149,0.8674989806113297,1.7949787197249647e-7,-1.833614761990567e-7,-Inf,7.30441135482959e-7,0.00894402153532515
Blastococcus sp. URHD0036,undefined,week0,0.001154067274921629,0.8674989806113297,1.2493666139990734e-8,-1.2937309667519069e-8,-Inf,9.425046746455911e-8,0.0011540672749216292
Sphingomonas sp. URHD0057,positive,week0,0.07270623962627061,0.8674989806113297,1.385766217338193e-7,-1.5459839081671282e-7,-Inf,5.937779556942732e-6,0.07270623962627062
Solirubrobacterales bacterium URHD0059,negative,week0,0.021350244964162976,0.8674989806113297,9.778321313139175e-8,-1.0247643133921999e-7,-Inf,1.743633678974096e-6,0.02135024496416298
Bradyrhizobium sp. URHD0069,positive,week0,0.10992490998153187,0.8674989806113297,2.306564776746812e-7,-2.5733257222794784e-7,-Inf,8.977357193030642e-6,0.10992490998153188
Solirubrobacter sp. URHD0082,negative,week0,0.05828039844913299,0.8674989806113297,1.4342557957226497e-7,-1.5779755147032913e-7,-Inf,4.759648693984991e-6,0.058280398449133
Rhodospirillales bacterium URHD0088,undefined,week0,0.002019617817047587,0.8674989806113297,4.14982970172425e-9,-4.635379486649697e-9,-Inf,1.6493832508110402e-7,0.002019617817047587
Cellulomonas sp. URHE0023,undefined,week0,0.0014425841452128778,0.8674989806113297,2.8157156720818476e-9,-3.1372330760923876e-9,-Inf,1.178130885415742e-7,0.001442584145212878
Dongia sp. URHE0060,positive,week0,0.004616269168434305,0.8674989806113297,7.3504358026739e-8,-7.562270838398367e-8,-Inf,3.7700187547273684e-7,0.004616269168434306
Acidobacteriaceae bacterium URHE0068,positive,week0,0.0002885168702912489,0.8674989806113297,2.6549761504372488e-9,-2.7339390430365797e-9,-Inf,2.3562621077015113e-8,0.0002885168702912489
Micromonosporaceae bacterium URHE0070,negative,week0,0.004327752366890845,0.8674989806113297,2.2404866133572726e-8,-2.3343850170876578e-8,-Inf,3.534392600102222e-7,0.004327752366890846
Bradyrhizobium sp. URHA0002,positive,week3,2.9371227224369085e-5,5.2062299358211855e-5,1.6177865641950057e-10,-2.141717807666741e-9,-1.427589771273273,8.057983247492642e-7,0.09814241483667702
Bradyrhizobium sp. URHA0013,positive,week3,0.003845508151288588,0.00018178564943495856,6.189551086904971e-8,-4.029515273412231e-7,-0.23175870318683245,0.0001055013466903083,0.09876160990833122
Paenibacillus sp. URHA0014,negative,week3,3.717551719811937e-6,0.00019786490174968056,3.471447519236061e-11,-2.939306916288675e-10,0.04917456451137148,1.0199086763074648e-7,0.0012383900695375053
Lysobacter sp. URHA0019,undefined,week3,1.8685257031288504e-7,7.927441668784296e-5,1.3711574515695745e-12,-1.39223154875538e-11,-1.1504672806131082,5.1262920334596645e-9,0.0
Nocardioides sp. URHA0020,undefined,week3,7.096240387443445e-7,7.597337255943122e-5,6.214932344399918e-12,-5.4185583780504464e-11,-1.5551540341291483,1.9468504235586387e-8,0.0012383900695375053
Comamonadaceae bacterium URHA0028,positive,week3,4.89097717102979e-6,5.761326622282478e-5,3.1411186423743804e-11,-3.65737870487269e-10,-0.969864818373658,1.3418374318158436e-7,0.04551083588542592
Geodermatophilaceae bacterium URHA0031,negative,week3,3.0074454312660907e-5,4.822593118535821e-5,3.26185284946476e-10,-2.632391956460022e-9,-1.0106472387557695,8.250913289310472e-7,0.026934984547279748
Nocardioides sp. URHA0032,undefined,week3,4.766054668749632e-5,0.00017889125179827717,2.881067281521868e-10,-3.6210855849281e-9,0.325932024827862,1.3075649983584773e-6,0.001857585141191707
Caulobacter sp. URHA0033,positive,week3,2.1725888411108212e-5,0.00022777034129909353,2.2701838942946416e-10,-1.7735341242222815e-9,-0.02114725350305946,5.960487912754047e-7,0.016408668771783708
Microbacterium sp. URHA0036,undefined,week3,7.7648517466402e-6,0.00018547245815280243,4.993031879123162e-11,-5.870685090815926e-10,0.03012862174510933,2.1302836553515766e-7,0.001857585141191707
Streptomyces sp. URHA0041,positive,week3,4.513310253810492e-6,0.00014412637446399305,1.8714557727315688e-11,-3.180109494791483e-10,-0.008183800246176265,1.238224679483849e-7,0.013003095988341947
Burkholderia sp. URHA0054,positive,week3,7.241811314800968e-6,9.597011201619972e-5,3.0729887238912075e-11,-5.191174890492377e-10,-0.3451523923711264,1.9867877433378972e-7,0.011455108346091893
Mesorhizobium sp. URHA0056,positive,week3,1.4987831695757712e-5,0.00016978678599587364,1.2107790954848156e-10,-1.165214100863459e-9,-0.13863857319019113,4.11190502181167e-7,0.01083591334820859
Staphylococcus sp. URHA0057,undefined,week3,4.607430935385309e-9,0.00026663040946397506,5.3872409848597117e-14,-3.759845472195632e-13,-0.16353108455218313,1.2640466470025642e-10,0.0
Mesorhizobium sp. URHB0007,positive,week3,1.73449287875925e-5,0.00023556169578870615,1.4784455185705626e-10,-1.3111447508869642e-9,0.009753787671887504,4.7585735703754026e-7,0.013622290986225251
Bacillus sp. URHB0009,negative,week3,0.0017240853569154568,0.00018977113499597944,1.8138877663870736e-8,-1.45315930144417e-7,-0.04039334206094303,4.730020580054447e-5,0.12631578945349425
Intrasporangiaceae bacterium URHB0013,undefined,week3,4.125292376653468e-5,0.0001676265014759151,3.3924333392256626e-10,-3.4292674273242155e-9,0.07419460429631419,1.131772145853766e-6,0.004024767855095963
Pseudomonas sp. URHB0015,positive,week3,7.299174867877091e-7,0.0002513218418731574,4.3290419058910646e-12,-5.184986649349427e-11,0.10471530408857876,2.0025254088488752e-8,0.006811145493112626
Variovorax sp. URHB0020,positive,week3,0.00021438400153323055,0.00021693624808406667,1.0924059597046197e-9,-1.545423494797252e-8,0.34436262981323984,5.881615635903401e-6,0.056037151660921956
Marmoricola sp. URHB0036,undefined,week3,1.9507134341042368e-6,7.594821729632759e-5,1.0543124105376188e-11,-1.4530440291217e-10,-0.4880197451447803,5.351773711256096e-8,0.0024767802128459085
Mycobacterium sp. URHB0044,positive,week3,7.869649493689788e-6,9.396834890735236e-5,3.902794787390928e-11,-5.768220107727454e-10,-0.3049875988102395,2.15903487107878e-7,0.010216718276554387
Geodermatophilaceae bacterium URHB0048,negative,week3,3.908112584512398e-5,4.480495357246561e-5,3.149925074527566e-10,-3.0134740429205867e-9,-1.792657192117669,1.072188965573349e-6,0.08111455106701
Flavobacterium sp. URHB0058,undefined,week3,2.4772164200965873e-5,0.00018153559319695732,2.307224256652316e-10,-2.1926709544592984e-9,0.08009328827256312,6.796232333455307e-7,0.0
Geodermatophilaceae bacterium URHB0062,negative,week3,2.24342172316057e-5,9.618846988976978e-5,2.3013340616975843e-10,-1.7793339202614228e-9,-1.0962632902201346,6.154817612554582e-7,0.055417956663038656
Mesorhizobium sp. URHC0008,positive,week3,1.8303632934621425e-6,0.00016958555170633582,2.2167363172356686e-11,-1.4414535014006365e-10,-0.779128430245744,5.021593630689779e-8,0.004643962852979267
Sphingomonas sp. URHD0007,positive,week3,0.00020193266560709637,0.000183255538987328,1.879311873922946e-9,-1.541576289600672e-8,-0.184747908377082,5.5400137833991e-6,0.06934984514820555
Rhodospirillales bacterium URHD0017,positive,week3,2.502982156063792e-6,0.000374896369950113,2.544634583487927e-11,-1.818891944630079e-10,-0.28766998658488707,6.866920516552672e-8,0.0027863777117875604
Cellulomonas sp. URHD0024,undefined,week3,1.1951455796232086e-6,0.0002363097963694838,7.39557254515091e-12,-8.577937370696924e-11,0.10562076681770793,3.278876631660926e-8,0.0
Mycobacterium sp. URHD0025,positive,week3,1.3464166729143236e-6,9.45092651220505e-6,1.4810951517409097e-11,-1.3933807972811993e-10,-1.0579266508281697,3.69388820957632e-8,0.01052631577549604
Blastococcus sp. URHD0036,undefined,week3,6.040775717425854e-5,6.88473927428764e-5,5.949949229447045e-10,-7.305499635424082e-9,-0.04023602829722761,1.6572841563968215e-6,0.0009287925705958535
Sphingomonas sp. URHD0057,positive,week3,9.22968979971353e-6,5.191560158672575e-5,1.7151302569190406e-10,-7.908517202972778e-10,-6.365773552945176,2.532161329777153e-7,0.041486068104100854
Solirubrobacterales bacterium URHD0059,negative,week3,3.477518590173083e-6,8.653119221430674e-5,2.1388817392287193e-11,-2.5292059927762263e-10,-1.2808354664545445,9.540556929541395e-8,0.01919504648357127
Bradyrhizobium sp. URHD0069,positive,week3,9.412943413235881e-5,0.00012646534440246743,5.365051235612581e-10,-6.820512026789244e-9,-0.4920197361015899,2.5824368779020345e-6,0.09876160990833122
Solirubrobacter sp. URHD0082,negative,week3,6.842724582651136e-5,0.00010495433362444536,3.910746400290841e-10,-5.0623283631407365e-9,-0.3056270595739663,1.8772984742176822e-6,0.057585139303172016
Rhodospirillales bacterium URHD0088,undefined,week3,1.3725550172729474e-5,0.0004110219710619586,7.613116063479507e-11,-9.342012257151691e-10,0.29753330402316236,3.765598642153762e-7,0.0024767802128459085
Cellulomonas sp. URHE0023,undefined,week3,3.3022448554077978e-6,0.00034965932318896625,1.5324917659873876e-11,-2.2377084757483138e-10,0.31467382851198533,9.059694210501749e-8,0.0012383900695375053
Dongia sp. URHE0060,positive,week3,0.9934251824555065,0.0004880844700016582,3.095313119737965e-5,-0.00014534921268642193,-0.07918251623276329,0.027254576108491992,0.004334365354037615
Acidobacteriaceae bacterium URHE0068,positive,week3,9.050195321304184e-8,9.995815200535097e-5,1.2939124128797483e-12,-7.551086968720396e-12,-1.790650723144858,2.482917098714179e-9,0.00030959757271254964
Micromonosporaceae bacterium URHE0070,negative,week3,9.57344118823057e-7,0.00018338150694561278,7.19313557511605e-12,-6.938013345305705e-11,-1.001292882732621,2.6264693717535005e-8,0.003095975210729212
Bradyrhizobium sp. URHA0002,positive,week6,3.752020199528226e-5,0.0009563206465399657,1.593042312970242e-10,-4.219890047979267e-10,0.5248214244664262,2.3478062346033035e-7,0.08982376343317994
Bradyrhizobium sp. URHA0013,positive,week6,0.004205838481976954,0.0036115198570677203,1.9353138703606594e-7,-1.8985557695481266e-9,0.33178045947556045,2.6317805567682153e-5,0.09238203524876282
Paenibacillus sp. URHA0014,negative,week6,6.207740250889295e-6,0.0034842229858537818,1.5307428746150052e-10,4.46101981692453e-11,0.507333246112559,3.884459701381231e-8,0.0017055144985674777
Lysobacter sp. URHA0019,undefined,week6,2.569908043880406e-7,0.001891168137244116,1.8462752103053397e-12,-1.4183110823204895e-12,0.5959969797815368,1.6081059820888647e-9,0.0
Nocardioides sp. URHA0020,undefined,week6,9.304600919821191e-7,0.0016796092105700853,6.689057740647534e-12,-6.241471613233306e-12,0.5696038051915036,5.822303422779716e-9,0.0011370096431344298
Comamonadaceae bacterium URHA0028,positive,week6,6.560958213491796e-6,0.0015263996027474818,4.2858040830308635e-11,-4.463025609347805e-11,0.5938375264565159,4.105483920514247e-8,0.04519613414430649
Geodermatophilaceae bacterium URHA0031,negative,week6,3.383225293229125e-5,0.0016397545547303192,5.277414599772061e-10,-2.783198720681713e-10,0.40271631510226713,2.1170348276668901e-7,0.025298465016929804
Nocardioides sp. URHA0032,undefined,week6,8.749174267975924e-5,0.0033314791365556904,1.3182503170933782e-9,1.1761866146571768e-9,0.6776716655450468,5.474748216059047e-7,0.0017055144985674777
Caulobacter sp. URHA0033,positive,week6,3.285775615111963e-5,0.002810048374996865,7.23417064425945e-10,7.675735968812357e-11,0.4884879413395753,2.056056221562284e-7,0.04206935760875389
Microbacterium sp. URHA0036,undefined,week6,1.1023298538405793e-5,0.001746949510917252,1.1873254421101634e-10,-5.195212707098258e-11,0.5398474801205062,6.89776911052259e-8,0.0019897669601498342
Streptomyces sp. URHA0041,positive,week6,6.9299889844093825e-6,0.002350617751689088,6.794085415108406e-11,-2.8807981156055868e-11,0.549001832250263,4.3364029184529347e-8,0.011938601489972342
Burkholderia sp. URHA0054,positive,week6,9.710107422055534e-6,0.0011162306921019469,4.4809256728910213e-11,-9.23289438024084e-11,0.5888873143617448,6.076046911217672e-8,0.01392836838239051
Mesorhizobium sp. URHA0056,positive,week6,2.1830253213071793e-5,0.0023815528393274204,3.68932632852044e-10,-5.661378065439501e-11,0.4707893520993963,1.3660162224889743e-7,0.02131893123209347
Staphylococcus sp. URHA0057,undefined,week6,7.460633267665262e-9,0.0037622017721513825,2.0774148883786764e-13,2.6495408538255643e-14,0.44021565961389264,4.668450692806976e-11,0.0
Mesorhizobium sp. URHB0007,positive,week6,2.8662505046304244e-5,0.003138191496500542,5.561972750911562e-10,9.184352593379264e-11,0.5139841313155119,1.7935406652534334e-7,0.030983513368065287
Bacillus sp. URHB0009,negative,week6,0.002556562167518909,0.003018938877123525,6.52841391796802e-8,8.809488042190665e-9,0.47006429022364415,1.5997548725368142e-5,0.08186469586350725
Intrasporangiaceae bacterium URHB0013,undefined,week6,5.8923726123422096e-5,0.0023872283543398907,1.0758953708401248e-9,7.723174175132214e-11,0.5289209352473172,3.687120116678018e-7,0.003979533852568003
Pseudomonas sp. URHB0015,positive,week6,1.2597393706597905e-6,0.0032509972518520547,1.8274082545938128e-11,2.8505550095844293e-12,0.562661220956839,7.882750601348536e-9,0.0005685048554330477
Variovorax sp. URHB0020,positive,week6,0.00036883547287336853,0.0027548174234946084,4.104959802278652e-9,2.052420362549407e-9,0.6708121782240634,2.3079679124964094e-6,0.06083001702526447
Marmoricola sp. URHB0036,undefined,week6,2.552754970786884e-6,0.0011883379464577746,1.6143626528532663e-11,-2.2878714139003544e-11,0.5472199687124575,1.597372539887077e-8,0.0017055144985674777
Mycobacterium sp. URHB0044,positive,week6,1.061253852767365e-5,0.0013113667937543771,6.787657357718212e-11,-8.722682482297737e-11,0.563565455794939,6.640738267713187e-8,0.007390562849702958
Geodermatophilaceae bacterium URHB0048,negative,week6,4.702194048477221e-5,0.0009268241768538207,2.459008381838875e-10,-5.181768659250519e-10,0.5082506200956387,2.94237235309061e-7,0.06281978398541431
Flavobacterium sp. URHB0058,undefined,week6,3.3131233797602255e-5,0.0023632271389065485,6.652674622315292e-10,5.0228911173227714e-11,0.5223808655508916,2.0731689365609207e-7,0.0
Geodermatophilaceae bacterium URHB0062,negative,week6,2.8483358111215186e-5,0.0018281278206569937,3.7207106790364236e-10,-2.275175118013118e-10,0.40640707984367086,1.7823306432187694e-7,0.04263786239645528
Mesorhizobium sp. URHC0008,positive,week6,2.6855251755508767e-6,0.0031900904526580105,5.098486434568549e-11,6.909271120521638e-13,0.47305081649651715,1.6804527734512924e-8,0.008811824886688078
Sphingomonas sp. URHD0007,positive,week6,0.0003316650987162547,0.0034947949792586736,6.722537770174955e-9,1.6380183144863123e-9,0.521080742551336,2.075376317708134e-6,0.1111426946652734
Rhodospirillales bacterium URHD0017,positive,week6,4.115015614493552e-6,0.003916112949947916,8.415105939335999e-11,-5.408256568203777e-12,0.4196885617367888,2.5749486413779698e-8,0.0022740193540005255
Cellulomonas sp. URHD0024,undefined,week6,1.965152877116165e-6,0.002821189592288129,2.577618321836661e-11,1.7801974976425678e-12,0.5715615766369144,1.2296837254293257e-8,0.0
Mycobacterium sp. URHD0025,positive,week6,1.0735007125750638e-6,0.0011819124291718287,1.903047337107091e-11,-1.750845612965183e-11,0.2556768863489398,6.7173723269179935e-9,0.007390562849702958
Blastococcus sp. URHD0036,undefined,week6,4.615115032105318e-5,0.002467534261749401,1.2127008107640016e-9,-9.337073976608376e-11,0.4926656340181761,2.8878831321725607e-7,0.0008527572492837388
Sphingomonas sp. URHD0057,positive,week6,9.727646090908501e-6,0.0014286901710426456,7.980316242548074e-11,-1.1247406647203179e-10,0.3454243358048108,6.087021637868882e-8,0.06537805566553385
Solirubrobacterales bacterium URHD0059,negative,week6,4.578712417840902e-6,0.0014427022044238332,3.400860845220369e-11,-5.0490358070306596e-11,0.39187110517943413,2.8651043942711493e-8,0.016486640130241727
Bradyrhizobium sp. URHD0069,positive,week6,0.00012995109863463958,0.0015513131127932005,7.695442659968764e-10,-9.151285667564029e-10,0.6057058675860376,8.131619323539849e-7,0.09238203524876282
Solirubrobacter sp. URHD0082,negative,week6,9.433822276475546e-5,0.001540503633484421,6.182622794363423e-10,-5.35029164460975e-10,0.6252816033499704,5.903162983939631e-7,0.04093234789788779
Rhodospirillales bacterium URHD0088,undefined,week6,2.418091381598315e-5,0.0031651922907648135,2.396280243431296e-10,6.845720136160835e-11,0.6568149070226654,1.5131075313162982e-7,0.0022740193540005255
Cellulomonas sp. URHE0023,undefined,week6,5.996929288983128e-6,0.0035181229806196994,6.227610104470266e-11,2.3822645639778777e-11,0.6577288518854045,3.7525458884576624e-8,0.0008527572492837388
Dongia sp. URHE0060,positive,week6,0.9917450822863391,0.006363564849796691,8.227407820500339e-5,2.2003219616685148e-5,0.39933425775064657,0.006205790916642202,0.007674815243553649
Acidobacteriaceae bacterium URHE0068,positive,week6,1.0760117199165726e-7,0.002096705184990854,1.835724258926958e-12,-1.0164590159282845e-12,0.30684830188767787,6.733084818797089e-10,0.0005685048554330477
Micromonosporaceae bacterium URHE0070,negative,week6,1.33801534680166e-6,0.0024447863803703047,1.5485948992385968e-11,-1.1870359469717717e-11,0.37071996541603847,8.372558265040348e-9,0.0017055144985674777
Bradyrhizobium sp. URHA0002,positive,week9,4.0629492582181407e-7,0.00016609194625053555,2.3101745514459313e-11,-2.9279620604982885e-10,-252.036226298337,1.0618571268666565e-7,0.0907542578774968
Bradyrhizobium sp. URHA0013,positive,week9,0.0002210544772699097,0.00048290787406664564,5.874869533591988e-8,-2.7258311647710597e-7,-112.25784417368405,5.7772878073741953e-5,0.09245742087717804
Paenibacillus sp. URHA0014,negative,week9,3.070862538555138e-7,0.000531434445988544,4.694037173960904e-11,-2.791862977690002e-10,-85.10200464457233,8.025739591989588e-8,0.00048661802475564314
Lysobacter sp. URHA0019,undefined,week9,4.723325527951309e-9,0.0004119610153328106,4.326629408863534e-13,-3.6063492192002573e-12,-146.85292453794008,1.2344473326171741e-9,0.0
Nocardioides sp. URHA0020,undefined,week9,1.555348164798128e-8,0.00034996883044176503,1.5735431960747235e-12,-1.209090685972881e-11,-174.78910743169595,4.064922864122057e-9,0.0007299270081456302
Comamonadaceae bacterium URHA0028,positive,week9,1.1004735708246626e-7,0.00030104269279807163,8.53471912518378e-12,-8.356601219107169e-11,-139.94720287697731,2.8761021362620885e-8,0.035523114357770225
Geodermatophilaceae bacterium URHA0031,negative,week9,5.743178464490527e-7,0.00022190583298827975,8.162880745516669e-11,-5.302297225766704e-10,-158.24642927545824,1.5009872375469722e-7,0.017518248195495127
Nocardioides sp. URHA0032,undefined,week9,8.487999928794052e-6,0.0005638302686516068,7.92815652557629e-10,-7.168544663042551e-9,-54.32378696356672,2.2183499336111387e-6,0.0019464720410469036
Caulobacter sp. URHA0033,positive,week9,1.1783912881300022e-6,0.00038368205794097845,1.4415505044779347e-10,-1.0567600779052601e-9,-84.01806400639843,3.079741114185583e-7,0.03819951340696276
Microbacterium sp. URHA0036,undefined,week9,2.2234099584211436e-7,0.00025209169104140354,1.3584180660423412e-11,-1.7401693411199375e-10,-88.14356061630583,5.810911139291979e-8,0.0014598540162912605
Streptomyces sp. URHA0041,positive,week9,1.6578440992199475e-7,0.0005859703384932115,1.3711711283822828e-11,-1.2485704505371955e-10,-114.22433018420952,4.3327973354079675e-8,0.014598540162912604
Burkholderia sp. URHA0054,positive,week9,1.2123922239758194e-7,0.00018465607021632776,5.129288254447216e-12,-8.662919259626376e-11,-124.11609617921357,3.168603006750422e-8,0.02092457419485762
Mesorhizobium sp. URHA0056,positive,week9,6.74358816225208e-7,0.0004478975592396706,8.382134571197693e-11,-5.766052476787938e-10,-109.64168070499228,1.762445626476128e-7,0.03187347931704207
Staphylococcus sp. URHA0057,undefined,week9,3.6921548687670943e-10,0.0005466593107036712,6.147752219755527e-14,-3.4220404570161745e-13,-93.97032398154664,9.64949526003967e-11,0.0
Mesorhizobium sp. URHB0007,positive,week9,1.1227351538008002e-6,0.0005487202684331641,1.436984858010131e-10,-9.518940322072283e-10,-95.86225828137252,2.9342830758609063e-7,0.04841849146302591
Bacillus sp. URHB0009,negative,week9,0.00012148004162072714,0.0004392251227244898,1.8509283488772055e-8,-1.1541147050504711e-7,-92.62833766117545,3.1748968487880986e-5,0.06885644769110355
Intrasporangiaceae bacterium URHB0013,undefined,week9,2.3252284676928435e-6,0.0003242390901857918,2.3095477029262955e-10,-2.0845017879711637e-9,-77.6888222288162,6.077015151047492e-7,0.003892944024118138
Pseudomonas sp. URHB0015,positive,week9,4.751965258912465e-8,0.0006967967344803616,4.877314800871905e-12,-3.7308656929953847e-11,-94.71290884021518,1.2419323639330672e-8,0.00048661802475564314
Variovorax sp. URHB0020,positive,week9,1.4676684583505005e-5,0.00045656635225184476,9.281423261777422e-10,-1.1366792487433656e-8,-50.97290718516367,3.835770799314284e-6,0.051581508478998415
Marmoricola sp. URHB0036,undefined,week9,3.448286718849611e-8,0.00018171321422821819,2.001740991861925e-12,-2.5876036491017163e-11,-134.15248305016237,9.012142646093333e-9,0.0014598540162912605
Mycobacterium sp. URHB0044,positive,week9,1.477806603929479e-7,0.00020726984562111303,7.986489398715644e-12,-1.0948785505786274e-10,-116.33508033691582,3.862266975988101e-8,0.009975669130648835
Geodermatophilaceae bacterium URHB0048,negative,week9,5.077462999619211e-7,0.00011780962193919616,3.995583300518738e-11,-3.877622387586182e-10,-242.28407234860597,1.327001626132033e-7,0.05328467153665533
Flavobacterium sp. URHB0058,undefined,week9,1.425426425543908e-6,0.0002831267904989879,1.3870273046482337e-10,-1.3500402504749614e-9,-76.39266804409199,3.7253706915642627e-7,0.0
Geodermatophilaceae bacterium URHB0062,negative,week9,3.9442409960191977e-7,0.0002856488069904275,5.115148397325711e-11,-3.288117065960211e-10,-164.22708121392844,1.0308325665724468e-7,0.03430656932486895
Mesorhizobium sp. URHC0008,positive,week9,7.711945412922759e-8,0.0006197807815946739,1.4477626369948408e-11,-6.835360406712978e-11,-144.23741641271553,2.015527066244986e-8,0.009245742122503205
Sphingomonas sp. URHD0007,positive,week9,1.4007852672323903e-5,0.000644423797688926,2.2792556103038345e-9,-1.2254283582376781e-8,-106.75039194911653,3.6609707005616436e-6,0.13041362530075082
Rhodospirillales bacterium URHD0017,positive,week9,1.0449008406845864e-7,0.0008697047889804293,1.7740459241503055e-11,-8.771157021865221e-11,-134.00982957558702,2.7308620758815238e-8,0.0009732359915356172
Cellulomonas sp. URHD0024,undefined,week9,5.705205669876281e-8,0.0005308590282824909,5.029278163893168e-12,-4.4391870893362437e-11,-86.154883611165,1.4910629977828103e-8,0.0
