isolate,class,phylum,response,mingt,rrn,genomesize,monomer,ontology,BGE,rgrowth,BP,BR
Paenibacillus sp. URHA0014,Bacilli,Firmicutes,negative,1.43,23,7371174,2-aminoisobutyric acid ,Amino acids,0.318095515994003,0.07636259932319078,9.745149216355434e-9,1.7201526879094678e-8
Pseudomonas sp. URHB0015,Gammaproteobacteria,Proteobacteria,positive,0.96,8,6208105,2-aminoisobutyric acid ,Amino acids,0.512436167833296,0.17138102609525085,5.4141866759176625e-8,1.1642517168938604e-8
Rhodospirillales bacterium URHD0017,Alphaproteobacteria,Proteobacteria,positive,7.05,3,8179139,2-aminoisobutyric acid ,Amino acids,0.5826362877307749,0.0497560400968049,6.008845503641244e-9,2.966099011112271e-9
Rhodospirillales bacterium URHD0088,Alphaproteobacteria,Proteobacteria,undefined,7.49,9,6646877,2-aminoisobutyric acid ,Amino acids,0.4527684920359482,0.058009534914048394,7.500425448759608e-9,6.42386078072363e-9
Solirubrobacter sp. URHD0082,Thermoleophilia,Actinobacteria,negative,6.11,3,6640086,2-aminoisobutyric acid ,Amino acids,0.5843251037257933,0.04521440566031679,5.500787268415322e-9,2.877585030377002e-9
Solirubrobacterales bacterium URHD0059,Thermoleophilia,Actinobacteria,negative,4.74,3,6572728,2-aminoisobutyric acid ,Amino acids,0.5860270524572383,0.05176944443181157,6.4006961484533415e-9,3.2981989849337536e-9
Sphingomonas sp. URHD0007,Alphaproteobacteria,Proteobacteria,positive,6.3,3,2934896,2-aminoisobutyric acid ,Amino acids,0.5699646469137692,0.02469659976869735,2.7246489061013034e-9,1.6718709488114771e-9
Sphingomonas sp. URHD0057,Alphaproteobacteria,Proteobacteria,positive,6.78,3,2785891,2-aminoisobutyric acid ,Amino acids,0.5810522570531114,0.03593614561444304,4.1800424199129e-9,1.9850748668625586e-9
Staphylococcus sp. URHA0057,Bacilli,Firmicutes,undefined,0.75,13,2549675,2-aminoisobutyric acid ,Amino acids,0.4762249587899129,0.318675694022812,6.975842862678365e-8,2.5959919425142717e-8
Streptomyces sp. URHA0041,Actinobacteria,Actinobacteria,positive,4.04,14,8015544,2-aminoisobutyric acid ,Amino acids,0.38936268936514,0.0613746358935153,8.488926875076397e-9,9.382918255948836e-9
Variovorax sp. URHB0020,Betaproteobacteria,Proteobacteria,positive,8.33,12,6632341,2-aminoisobutyric acid ,Amino acids,0.39891804835520406,0.03552572371409414,4.092621548648574e-9,5.388463538591897e-9
Acidobacteriaceae bacterium URHE0068,Acidobacteria,Acidobacteria,positive,7.0,3,6679185,"2,3-Dihydroxybenzoic acid",Organic acids,NaN,0.010683381620013838,NaN,3.702499982049357e-10
Bacillus sp. URHB0009,Bacilli,Firmicutes,negative,1.31,20,5377210,"2,3-Dihydroxybenzoic acid",Organic acids,0.35803785813219263,0.0435031489280564,4.882866560148498e-9,7.932698250840643e-9
Blastococcus sp. URHD0036,Actinobacteria,Actinobacteria,undefined,2.78,8,5177578,"2,3-Dihydroxybenzoic acid",Organic acids,0.25592115497694,0.0051862173846947334,1.6232152544839596e-10,5.309173529144206e-10
Bradyrhizobium sp. URHA0002,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6972827,"2,3-Dihydroxybenzoic acid",Organic acids,0.6296627995043955,0.02273580312557993,2.2914274329495827e-9,1.3226299730785531e-9
Bradyrhizobium sp. URHA0013,Alphaproteobacteria,Proteobacteria,positive,5.73,3,7193102,"2,3-Dihydroxybenzoic acid",Organic acids,0.6229929808717596,0.02032017866614854,2.0105474530224396e-9,1.19737427196989e-9
Bradyrhizobium sp. URHD0069,Alphaproteobacteria,Proteobacteria,positive,5.32,3,6793945,"2,3-Dihydroxybenzoic acid",Organic acids,0.6289540834911798,0.022143031048212563,2.2322948737115717e-9,1.285241422354595e-9
Burkholderia sp. URHA0054,Betaproteobacteria,Proteobacteria,positive,2.43,10,7244804,"2,3-Dihydroxybenzoic acid",Organic acids,0.44095931922186193,0.023351978539773655,2.2889402727386444e-9,2.87868806674145e-9
Caulobacter sp. URHA0033,Alphaproteobacteria,Proteobacteria,positive,2.9,3,5642219,"2,3-Dihydroxybenzoic acid",Organic acids,0.6390502130903413,0.031758266647867,3.3821399398069693e-9,1.8093227761573127e-9
Cellulomonas sp. URHD0024,Actinobacteria,Actinobacteria,undefined,2.52,8,4210445,"2,3-Dihydroxybenzoic acid",Organic acids,NaN,0.00941925878616091,NaN,7.667816080367082e-10
Cellulomonas sp. URHE0023,Actinobacteria,Actinobacteria,undefined,3.57,5,4467545,"2,3-Dihydroxybenzoic acid",Organic acids,NaN,0.0054879906459873295,NaN,3.259523796478288e-10
Comamonadaceae bacterium URHA0028,Betaproteobacteria,Proteobacteria,positive,6.24,5,4904121,"2,3-Dihydroxybenzoic acid",Organic acids,0.573303169413265,0.03630090783853104,4.234057142399405e-9,2.534605422358692e-9
Dongia sp. URHE0060,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6067264,"2,3-Dihydroxybenzoic acid",Organic acids,0.33542363146145476,0.009880427204147422,1.0929011476824325e-10,4.0181758930779384e-10
Flavobacterium sp. URHB0058,Flavobacteria,Bacteroidetes,undefined,3.33,8,5264264,"2,3-Dihydroxybenzoic acid",Organic acids,0.49941304030710965,0.039303779559769346,4.6368294142987274e-9,3.897536503832264e-9
Geodermatophilaceae bacterium URHA0031,Actinobacteria,Actinobacteria,negative,2.72,9,5236918,"2,3-Dihydroxybenzoic acid",Organic acids,0.4413843329537984,0.015773096053864292,1.4379698860103002e-9,1.814051332744652e-9
Geodermatophilaceae bacterium URHB0048,Actinobacteria,Actinobacteria,negative,3.6,7,4705879,"2,3-Dihydroxybenzoic acid",Organic acids,0.39099205677851834,0.006455261479136082,4.106262634356942e-10,6.402838412348388e-10
Geodermatophilaceae bacterium URHB0062,Actinobacteria,Actinobacteria,negative,2.24,9,5093035,"2,3-Dihydroxybenzoic acid",Organic acids,0.4458110143766923,0.01778700434126199,1.6522811294002542e-9,2.0419370059859834e-9
Intrasporangiaceae bacterium URHB0013,Actinobacteria,Actinobacteria,undefined,2.25,6,4567713,"2,3-Dihydroxybenzoic acid",Organic acids,0.512172248307914,0.019431360898540573,1.8468787255263935e-9,1.7405341244188465e-9
Lysobacter sp. URHA0019,Gammaproteobacteria,Proteobacteria,undefined,5.26,5,3223982,"2,3-Dihydroxybenzoic acid",Organic acids,0.5538650670620524,0.021232768773612413,2.1905283357667733e-9,1.6607634512108109e-9
Marmoricola sp. URHB0036,Actinobacteria,Actinobacteria,undefined,3.88,3,4829548,"2,3-Dihydroxybenzoic acid",Organic acids,0.4787746273008232,0.005530565054082243,2.7911215353366677e-10,3.1275393962765773e-10
Mesorhizobium sp. URHA0056,Alphaproteobacteria,Proteobacteria,positive,4.7,4,6306952,"2,3-Dihydroxybenzoic acid",Organic acids,0.4457472023755807,0.005706202036146531,3.2422436614144224e-10,4.08868481258166e-10
Mesorhizobium sp. URHB0007,Alphaproteobacteria,Proteobacteria,positive,5.01,4,6069513,"2,3-Dihydroxybenzoic acid",Organic acids,0.34289315705492607,0.009399356125001899,1.5132186707605887e-10,5.026859202794732e-10
Mesorhizobium sp. URHC0008,Alphaproteobacteria,Proteobacteria,positive,5.12,3,7106298,"2,3-Dihydroxybenzoic acid",Organic acids,NaN,0.006333550277512633,NaN,2.660626837226867e-10
Microbacterium sp. URHA0036,Actinobacteria,Actinobacteria,undefined,1.82,6,4034872,"2,3-Dihydroxybenzoic acid",Organic acids,0.4935332947162622,0.015201840804436269,1.330582735019032e-9,1.3654549534967867e-9
Micromonosporaceae bacterium URHE0070,Actinobacteria,Actinobacteria,negative,4.16,10,7372737,"2,3-Dihydroxybenzoic acid",Organic acids,NaN,0.00811373881577971,NaN,8.014509989172568e-10
Mycobacterium sp. URHB0044,Actinobacteria,Actinobacteria,positive,4.36,8,7485871,"2,3-Dihydroxybenzoic acid",Organic acids,0.41765159435069943,0.009527233291573099,7.6288885147885e-10,1.0637329390625625e-9
Mycobacterium sp. URHD0025,Actinobacteria,Actinobacteria,positive,3.83,7,6657122,"2,3-Dihydroxybenzoic acid",Organic acids,0.44348730378170764,0.009728145209968155,7.79437982630809e-10,9.780848598866539e-10
Nocardioides sp. URHA0020,Actinobacteria,Actinobacteria,undefined,6.28,12,4684622,"2,3-Dihydroxybenzoic acid",Organic acids,0.3520193635470617,0.00776531985387475,5.790098746925486e-10,1.0659393487924048e-9
Nocardioides sp. URHA0032,Actinobacteria,Actinobacteria,undefined,4.82,5,4560838,"2,3-Dihydroxybenzoic acid",Organic acids,NaN,0.005968208543347295,NaN,3.384633096136455e-10
Paenibacillus sp. URHA0014,Bacilli,Firmicutes,negative,1.43,23,7371174,"2,3-Dihydroxybenzoic acid",Organic acids,0.2915800035509529,0.01627890558911281,1.4168870111071473e-9,3.4406456914607382e-9
Pseudomonas sp. URHB0015,Gammaproteobacteria,Proteobacteria,positive,0.96,8,6208105,"2,3-Dihydroxybenzoic acid",Organic acids,0.5058290130295411,0.07584324389406116,9.058218261780772e-9,7.627937917219969e-9
Rhodospirillales bacterium URHD0017,Alphaproteobacteria,Proteobacteria,positive,7.05,3,8179139,"2,3-Dihydroxybenzoic acid",Organic acids,0.6279607414942977,0.0271509594095438,2.8762876089089923e-9,1.622101645150929e-9
Rhodospirillales bacterium URHD0088,Alphaproteobacteria,Proteobacteria,undefined,7.49,9,6646877,"2,3-Dihydroxybenzoic acid",Organic acids,0.36687970876984477,0.006575007158029984,4.501509307805855e-10,7.774309262476474e-10
Solirubrobacter sp. URHD0082,Thermoleophilia,Actinobacteria,negative,6.11,3,6640086,"2,3-Dihydroxybenzoic acid",Organic acids,NaN,0.01366169033959796,NaN,4.804462901211384e-10
Solirubrobacterales bacterium URHD0059,Thermoleophilia,Actinobacteria,negative,4.74,3,6572728,"2,3-Dihydroxybenzoic acid",Organic acids,NaN,0.008542424616932316,NaN,3.112121146337491e-10
Sphingomonas sp. URHD0007,Alphaproteobacteria,Proteobacteria,positive,6.3,3,2934896,"2,3-Dihydroxybenzoic acid",Organic acids,0.5973486739227075,0.010983227934490815,9.376176485806172e-10,6.320154774482414e-10
Sphingomonas sp. URHD0057,Alphaproteobacteria,Proteobacteria,positive,6.78,3,2785891,"2,3-Dihydroxybenzoic acid",Organic acids,0.6356928941541118,0.02195644941528358,2.3123544429418655e-9,1.2029337430507242e-9
Staphylococcus sp. URHA0057,Bacilli,Firmicutes,undefined,0.75,13,2549675,"2,3-Dihydroxybenzoic acid",Organic acids,0.43913534088152756,0.08437141860785424,1.1865586670195712e-8,8.58272800828405e-9
Streptomyces sp. URHA0041,Actinobacteria,Actinobacteria,positive,4.04,14,8015544,"2,3-Dihydroxybenzoic acid",Organic acids,0.22684130541434128,0.005120358109670535,2.3852823962294763e-10,8.421917381313754e-10
Variovorax sp. URHB0020,Betaproteobacteria,Proteobacteria,positive,8.33,12,6632341,"2,3-Dihydroxybenzoic acid",Organic acids,0.4344479921762255,0.02715329901801185,2.9126813226173446e-9,3.565217911996958e-9
Acidobacteriaceae bacterium URHE0068,Acidobacteria,Acidobacteria,positive,7.0,3,6679185,3-Dehydroshikimic acid,Organic acids,NaN,0.010683323036132317,NaN,3.702467293694047e-10
Bacillus sp. URHB0009,Bacilli,Firmicutes,negative,1.31,20,5377210,3-Dehydroshikimic acid,Organic acids,0.35803356163151534,0.04285020628938518,4.882088838439292e-9,7.793857287661489e-9
Blastococcus sp. URHD0036,Actinobacteria,Actinobacteria,undefined,2.78,8,5177578,3-Dehydroshikimic acid,Organic acids,0.25590286379064786,0.0051860086140369304,1.622982084931521e-10,5.308949615162237e-10
Bradyrhizobium sp. URHA0002,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6972827,3-Dehydroshikimic acid,Organic acids,0.6296592943321156,0.022742608361661,2.291174707718915e-9,1.3231539320407096e-9
Bradyrhizobium sp. URHA0013,Alphaproteobacteria,Proteobacteria,positive,5.73,3,7193102,3-Dehydroshikimic acid,Organic acids,0.6229891058213365,0.02029616106252396,2.010464641906359e-9,1.1959094913359218e-9
Bradyrhizobium sp. URHD0069,Alphaproteobacteria,Proteobacteria,positive,5.32,3,6793945,3-Dehydroshikimic acid,Organic acids,0.6289506957164333,0.022113453169677288,2.2320431224109026e-9,1.283395558508535e-9
Burkholderia sp. URHA0054,Betaproteobacteria,Proteobacteria,positive,2.43,10,7244804,3-Dehydroshikimic acid,Organic acids,0.44095407080244364,0.02315019636683971,2.288615284731646e-9,2.8535738355453717e-9
Caulobacter sp. URHA0033,Alphaproteobacteria,Proteobacteria,positive,2.9,3,5642219,3-Dehydroshikimic acid,Organic acids,0.6390479027334031,0.03194787314913537,3.3819519898857385e-9,1.824469271285484e-9
Cellulomonas sp. URHD0024,Actinobacteria,Actinobacteria,undefined,2.52,8,4210445,3-Dehydroshikimic acid,Organic acids,NaN,0.009419145557825097,NaN,7.667693564744918e-10
Cellulomonas sp. URHE0023,Actinobacteria,Actinobacteria,undefined,3.57,5,4467545,3-Dehydroshikimic acid,Organic acids,NaN,0.005487914604621934,NaN,3.259462242168055e-10
Comamonadaceae bacterium URHA0028,Betaproteobacteria,Proteobacteria,positive,6.24,5,4904121,3-Dehydroshikimic acid,Organic acids,0.5733006558231581,0.03667373177942414,4.233579592381389e-9,2.625223606934301e-9
Dongia sp. URHE0060,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6067264,3-Dehydroshikimic acid,Organic acids,0.3353946408074159,0.009880259396071834,1.0927088144824769e-10,4.0180789458041477e-10
Flavobacterium sp. URHB0058,Flavobacteria,Bacteroidetes,undefined,3.33,8,5264264,3-Dehydroshikimic acid,Organic acids,0.49940882572435463,0.04008187458523209,4.6361656806814714e-9,4.044623839527405e-9
Geodermatophilaceae bacterium URHA0031,Actinobacteria,Actinobacteria,negative,2.72,9,5236918,3-Dehydroshikimic acid,Organic acids,0.4413804659410046,0.015801739498820553,1.4379042100571591e-9,1.817343462609138e-9
Geodermatophilaceae bacterium URHB0048,Actinobacteria,Actinobacteria,negative,3.6,7,4705879,3-Dehydroshikimic acid,Organic acids,0.390983213705225,0.006454944818735316,4.105909816543801e-10,6.402526515216978e-10
Geodermatophilaceae bacterium URHB0062,Actinobacteria,Actinobacteria,negative,2.24,9,5093035,3-Dehydroshikimic acid,Organic acids,0.4458073773145535,0.01782125124867916,1.652174782567817e-9,2.0458742764244255e-9
Intrasporangiaceae bacterium URHB0013,Actinobacteria,Actinobacteria,undefined,2.25,6,4567713,3-Dehydroshikimic acid,Organic acids,0.5121691652990654,0.019408000504252197,1.846808891319825e-9,1.7383890133381696e-9
Lysobacter sp. URHA0019,Gammaproteobacteria,Proteobacteria,undefined,5.26,5,3223982,3-Dehydroshikimic acid,Organic acids,0.5538630330193397,0.02069280386565587,2.1904474005969275e-9,1.5915443547715695e-9
Marmoricola sp. URHB0036,Actinobacteria,Actinobacteria,undefined,3.88,3,4829548,3-Dehydroshikimic acid,Organic acids,0.47876183377245607,0.0055303207745750005,2.790848964738147e-10,3.1273986249863614e-10
Mesorhizobium sp. URHA0056,Alphaproteobacteria,Proteobacteria,positive,4.7,4,6306952,3-Dehydroshikimic acid,Organic acids,0.4457346764881248,0.0057059060579533185,3.241913731886236e-10,4.088479119344432e-10
Mesorhizobium sp. URHB0007,Alphaproteobacteria,Proteobacteria,positive,5.01,4,6069513,3-Dehydroshikimic acid,Organic acids,0.34287101099189243,0.009399162493000194,1.5129978841492066e-10,5.026724196840185e-10
Mesorhizobium sp. URHC0008,Alphaproteobacteria,Proteobacteria,positive,5.12,3,7106298,3-Dehydroshikimic acid,Organic acids,NaN,0.006333475814230836,NaN,2.660583561345136e-10
Microbacterium sp. URHA0036,Actinobacteria,Actinobacteria,undefined,1.82,6,4034872,3-Dehydroshikimic acid,Organic acids,0.4935294077732832,0.015201002729472947,1.3304879185581413e-9,1.3653803867478445e-9
Micromonosporaceae bacterium URHE0070,Actinobacteria,Actinobacteria,negative,4.16,10,7372737,3-Dehydroshikimic acid,Organic acids,NaN,0.008113637330555045,NaN,8.014384982174653e-10
Mycobacterium sp. URHB0044,Actinobacteria,Actinobacteria,positive,4.36,8,7485871,3-Dehydroshikimic acid,Organic acids,0.41764423390442446,0.009526582514570139,7.628152360600886e-10,1.063664033281561e-9
Mycobacterium sp. URHD0025,Actinobacteria,Actinobacteria,positive,3.83,7,6657122,3-Dehydroshikimic acid,Organic acids,0.4434808745977489,0.009727538507855753,7.793702698209834e-10,9.78025547228885e-10
Nocardioides sp. URHA0020,Actinobacteria,Actinobacteria,undefined,6.28,12,4684622,3-Dehydroshikimic acid,Organic acids,0.3520133583069549,0.007764916300422194,5.789648840061333e-10,1.065884657526276e-9
Nocardioides sp. URHA0032,Actinobacteria,Actinobacteria,undefined,4.82,5,4560838,3-Dehydroshikimic acid,Organic acids,NaN,0.005968145987632364,NaN,3.3845828193957463e-10
Paenibacillus sp. URHA0014,Bacilli,Firmicutes,negative,1.43,23,7371174,3-Dehydroshikimic acid,Organic acids,0.29157282553424657,0.016276663483373706,1.4166785880328806e-9,3.4401850852307505e-9
Pseudomonas sp. URHB0015,Gammaproteobacteria,Proteobacteria,positive,0.96,8,6208105,3-Dehydroshikimic acid,Organic acids,0.5058207657973222,0.07552692989125985,9.05553639142474e-9,7.594309943897945e-9
Rhodospirillales bacterium URHD0017,Alphaproteobacteria,Proteobacteria,positive,7.05,3,8179139,3-Dehydroshikimic acid,Organic acids,0.6279551443112973,0.027271393830746178,2.875829059950682e-9,1.631790872780683e-9
Rhodospirillales bacterium URHD0088,Alphaproteobacteria,Proteobacteria,undefined,7.49,9,6646877,3-Dehydroshikimic acid,Organic acids,0.36687050276964484,0.006574614508576255,4.5010716616679786e-10,7.773862376907169e-10
Solirubrobacter sp. URHD0082,Thermoleophilia,Actinobacteria,negative,6.11,3,6640086,3-Dehydroshikimic acid,Organic acids,NaN,0.013661583355735814,NaN,4.804404073133684e-10
Solirubrobacterales bacterium URHD0059,Thermoleophilia,Actinobacteria,negative,4.74,3,6572728,3-Dehydroshikimic acid,Organic acids,NaN,0.008542356611485868,NaN,3.1120818845338164e-10
Sphingomonas sp. URHD0007,Alphaproteobacteria,Proteobacteria,positive,6.3,3,2934896,3-Dehydroshikimic acid,Organic acids,0.5973451420812363,0.010982712454030595,9.375602389753981e-10,6.31986083885359e-10
Sphingomonas sp. URHD0057,Alphaproteobacteria,Proteobacteria,positive,6.78,3,2785891,3-Dehydroshikimic acid,Organic acids,0.6356911889371795,0.022039640442806128,2.3122651543256993e-9,1.216547722822336e-9
Staphylococcus sp. URHA0057,Bacilli,Firmicutes,undefined,0.75,13,2549675,3-Dehydroshikimic acid,Organic acids,0.4391317485135416,0.08531521456382188,1.1864143217308353e-8,8.759209335894023e-9
Streptomyces sp. URHA0041,Actinobacteria,Actinobacteria,positive,4.04,14,8015544,3-Dehydroshikimic acid,Organic acids,0.2268261733379506,0.005120052695205884,2.38494033750133e-10,8.421455418653909e-10
Variovorax sp. URHB0020,Betaproteobacteria,Proteobacteria,positive,8.33,12,6632341,3-Dehydroshikimic acid,Organic acids,0.43444337151549733,0.027068471630942136,2.912288095397671e-9,3.5522673470886106e-9
Acidobacteriaceae bacterium URHE0068,Acidobacteria,Acidobacteria,positive,7.0,3,6679185,5-aminovaleric acid,Amino acids,0.632232945487476,0.05968237845773691,7.901152463434324e-9,2.5098300171390866e-9
Bacillus sp. URHB0009,Bacilli,Firmicutes,negative,1.31,20,5377210,5-aminovaleric acid,Amino acids,0.4066732981524782,0.13357863952670174,3.211865773723044e-8,1.7017847288281746e-8
Blastococcus sp. URHD0036,Actinobacteria,Actinobacteria,undefined,2.78,8,5177578,5-aminovaleric acid,Amino acids,0.507469611576234,0.10123645513204463,1.5633651163350996e-8,7.242790756978017e-9
Bradyrhizobium sp. URHA0002,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6972827,5-aminovaleric acid,Amino acids,0.6307042103652059,0.059654246038358984,7.457711104976794e-9,3.0977576424166397e-9
Bradyrhizobium sp. URHA0013,Alphaproteobacteria,Proteobacteria,positive,5.73,3,7193102,5-aminovaleric acid,Amino acids,0.6308614960134328,0.06137811754911056,7.882081598461386e-9,2.9863803736493368e-9
Bradyrhizobium sp. URHD0069,Alphaproteobacteria,Proteobacteria,positive,5.32,3,6793945,5-aminovaleric acid,Amino acids,0.6345381566009066,0.07170177354606744,9.43413915703937e-9,3.1183429944520644e-9
Burkholderia sp. URHA0054,Betaproteobacteria,Proteobacteria,positive,2.43,10,7244804,5-aminovaleric acid,Amino acids,0.4718794544970898,0.0971339289098552,1.4083097712125524e-8,1.0395905576256329e-8
Caulobacter sp. URHA0033,Alphaproteobacteria,Proteobacteria,positive,2.9,3,5642219,5-aminovaleric acid,Amino acids,0.6258606160317903,0.058256478170203414,7.421270141490386e-9,3.052673827270221e-9
Cellulomonas sp. URHD0024,Actinobacteria,Actinobacteria,undefined,2.52,8,4210445,5-aminovaleric acid,Amino acids,0.49889489201404646,0.08293268054184663,1.2328195152870328e-8,5.985465121050598e-9
Cellulomonas sp. URHE0023,Actinobacteria,Actinobacteria,undefined,3.57,5,4467545,5-aminovaleric acid,Amino acids,0.5596567236652896,0.06513550868260581,8.890755971137678e-9,3.571466971492193e-9
Comamonadaceae bacterium URHA0028,Betaproteobacteria,Proteobacteria,positive,6.24,5,4904121,5-aminovaleric acid,Amino acids,0.557114619942166,0.049419524338914465,6.177616566585366e-9,3.2498832466898285e-9
Dongia sp. URHE0060,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6067264,5-aminovaleric acid,Amino acids,0.6279901170198662,0.05002529939912037,6.232354363071641e-9,2.481239925999726e-9
